Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Harilaid,Mark Holland,Rick Johnson,Kevin Norng,Bala Thavarajasoorier,Stephanie Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax--Pickering/Ajax--Pickering"," 1","Pickering",21,71,96,4,9,0,0,201,309
35001,"Ajax--Pickering/Ajax--Pickering"," 2","Pickering",28,103,167,7,15,3,1,324,475
35001,"Ajax--Pickering/Ajax--Pickering"," 3","Pickering",21,97,165,6,10,0,3,302,464
35001,"Ajax--Pickering/Ajax--Pickering"," 4","Pickering",2,34,32,4,4,0,0,76,152
35001,"Ajax--Pickering/Ajax--Pickering"," 5","Pickering",31,65,119,6,10,1,1,233,376
35001,"Ajax--Pickering/Ajax--Pickering"," 6","Pickering",26,107,97,1,9,0,0,240,424
35001,"Ajax--Pickering/Ajax--Pickering"," 7","Pickering",6,16,28,1,5,0,0,56,145
35001,"Ajax--Pickering/Ajax--Pickering"," 8","Pickering",13,62,46,0,3,0,0,124,228
35001,"Ajax--Pickering/Ajax--Pickering"," 9","Pickering",33,71,105,2,12,0,0,223,412
35001,"Ajax--Pickering/Ajax--Pickering"," 9-1","Pickering",15,110,94,2,28,0,2,251,528
35001,"Ajax--Pickering/Ajax--Pickering"," 10","Pickering",25,47,39,1,5,1,2,120,296
35001,"Ajax--Pickering/Ajax--Pickering"," 11","Pickering",9,75,68,1,28,1,1,183,376
35001,"Ajax--Pickering/Ajax--Pickering"," 12","Pickering",14,76,70,0,9,1,0,170,350
35001,"Ajax--Pickering/Ajax--Pickering"," 13","Pickering",21,85,134,0,6,0,1,247,429
35001,"Ajax--Pickering/Ajax--Pickering"," 14","Pickering",12,122,135,1,12,0,1,283,460
35001,"Ajax--Pickering/Ajax--Pickering"," 15","Pickering",20,125,115,1,10,0,1,272,463
35001,"Ajax--Pickering/Ajax--Pickering"," 16","Pickering",22,139,87,0,22,0,3,273,497
35001,"Ajax--Pickering/Ajax--Pickering"," 17","Pickering",17,135,94,3,17,0,0,266,453
35001,"Ajax--Pickering/Ajax--Pickering"," 18","Pickering",25,117,111,0,15,1,1,270,421
35001,"Ajax--Pickering/Ajax--Pickering"," 19","Pickering",16,119,111,0,19,0,0,265,466
