Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jerry Bance,Derek Lee,Alan Mercer,Attila Nagy,Ryan Sloan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 1","Scarborough",26,89,0,4,24,0,143,388
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 2","Scarborough",40,113,1,4,20,0,178,412
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 3","Scarborough",47,117,1,4,36,2,207,475
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 4","Scarborough",60,144,2,8,23,0,237,548
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 5","Scarborough",57,124,0,4,36,0,221,567
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 6","Scarborough",38,112,3,7,22,4,186,468
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 7","Scarborough",45,121,1,7,21,0,195,444
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 8","Scarborough",53,99,5,8,38,3,206,498
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 9","Scarborough",48,119,0,5,23,1,196,475
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 10","Scarborough",47,134,1,12,14,2,210,442
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 11","Scarborough",47,117,0,2,17,0,183,375
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 12","Scarborough",44,120,10,4,27,0,205,520
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 12-1A","Scarborough",15,29,1,2,8,3,58,146
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 12-1B","Scarborough",Merged with No. 13/Fusionné avec le nº 13,,,,,,,63
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 13","Scarborough",45,130,2,5,31,4,217,415
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 14","Scarborough",33,128,1,8,51,1,222,476
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 15","Scarborough",34,115,1,9,13,3,175,474
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 16","Scarborough",48,126,3,8,28,3,216,474
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 17","Scarborough",61,107,0,12,38,0,218,448
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 18","Scarborough",58,121,2,1,38,1,221,480
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 19","Scarborough",28,164,1,4,35,0,232,474
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 20","Scarborough",43,128,1,4,24,2,202,479
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 21","Scarborough",35,110,2,6,37,0,190,409
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 22","Scarborough",25,111,2,8,26,0,172,468
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 23","Scarborough",31,93,1,3,16,1,145,470
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 24","Scarborough",27,74,0,10,15,2,128,434
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 25","Scarborough",35,101,0,2,17,0,155,442
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 26","Scarborough",49,87,0,4,9,0,149,445
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 27","Scarborough",69,110,1,9,35,0,224,520
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 28","Scarborough",57,122,0,6,35,3,223,476
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 29","Scarborough",41,123,2,9,27,1,203,402
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 30","Scarborough",39,125,1,5,32,0,202,446
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 31","Scarborough",29,112,1,6,22,1,171,406
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 32","Scarborough",30,118,1,5,28,1,183,518
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 33","Scarborough",52,123,0,8,29,3,215,587
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 34","Scarborough",44,114,0,2,32,1,193,414
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 35","Scarborough",46,96,0,3,34,1,180,440
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 36","Scarborough",56,139,1,4,41,1,242,449
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 37","Scarborough",33,116,1,7,17,0,174,411
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 38","Scarborough",34,115,1,10,19,1,180,426
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 39","Scarborough",51,68,4,7,32,4,166,448
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 40","Scarborough",54,105,3,6,21,1,190,425
