Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Drew Adamick,Bev Collins,Douglas Gook,Dick Harris,Amber Van Drielen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 1","Hagensborg",19,62,5,92,32,1,211,431
59004,"Cariboo--Prince George/Cariboo--Prince George"," 2","Hagensborg",Void/Supprimé,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 3","Anahim Lake",26,47,3,98,9,0,183,546
59004,"Cariboo--Prince George/Cariboo--Prince George"," 4","Chilanko Forks",13,13,6,30,4,0,66,303
59004,"Cariboo--Prince George/Cariboo--Prince George"," 5","Tatla Lake",7,17,1,71,3,0,99,156
59004,"Cariboo--Prince George/Cariboo--Prince George"," 6","Nemaiah Valley",3,20,3,10,2,0,38,172
59004,"Cariboo--Prince George/Cariboo--Prince George"," 7","Hanceville",2,25,1,23,0,0,51,109
59004,"Cariboo--Prince George/Cariboo--Prince George"," 8","Alexis Creek",22,47,1,40,9,0,119,326
59004,"Cariboo--Prince George/Cariboo--Prince George"," 9","Big Creek",1,2,0,29,2,0,34,67
59004,"Cariboo--Prince George/Cariboo--Prince George"," 10","Nazko",5,12,4,31,5,0,57,162
59004,"Cariboo--Prince George/Cariboo--Prince George"," 11","Quesnel",6,43,7,74,6,0,136,251
59004,"Cariboo--Prince George/Cariboo--Prince George"," 12","Strathnaver",10,49,5,219,23,1,307,504
59004,"Cariboo--Prince George/Cariboo--Prince George"," 13","Wells",7,43,3,46,11,0,110,210
59004,"Cariboo--Prince George/Cariboo--Prince George"," 14","Barlow",18,85,7,127,19,0,256,520
59004,"Cariboo--Prince George/Cariboo--Prince George"," 15","Ten Mile Lake",7,25,2,66,9,0,109,236
59004,"Cariboo--Prince George/Cariboo--Prince George"," 16","Ten Mile Lake",Void/Supprimé,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 17","Moose Heights",18,59,2,152,10,3,244,431
59004,"Cariboo--Prince George/Cariboo--Prince George"," 18","Quesnel",8,47,8,122,10,0,195,407
59004,"Cariboo--Prince George/Cariboo--Prince George"," 19","Quesnel",9,75,3,86,8,0,181,358
59004,"Cariboo--Prince George/Cariboo--Prince George"," 20","Quesnel",22,83,4,145,15,1,270,590
59004,"Cariboo--Prince George/Cariboo--Prince George"," 21","Baker Creek",5,17,0,49,2,0,73,125
59004,"Cariboo--Prince George/Cariboo--Prince George"," 22","Quesnel",13,71,1,141,6,0,232,516
59004,"Cariboo--Prince George/Cariboo--Prince George"," 23","Quesnel View",12,38,4,62,14,0,130,251
59004,"Cariboo--Prince George/Cariboo--Prince George"," 24","Narcosli Creek",5,17,2,43,5,0,72,140
59004,"Cariboo--Prince George/Cariboo--Prince George"," 25","Alexandria",9,25,0,29,4,0,67,136
59004,"Cariboo--Prince George/Cariboo--Prince George"," 26","Gravelle Ferry",9,42,0,45,5,0,101,157
59004,"Cariboo--Prince George/Cariboo--Prince George"," 27","Kersley",19,73,9,172,17,0,290,549
59004,"Cariboo--Prince George/Cariboo--Prince George"," 28","Kersley",Void/Supprimé,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 29","Rich Bar",11,73,8,115,8,0,215,411
59004,"Cariboo--Prince George/Cariboo--Prince George"," 30","Quesnel",12,35,7,126,7,1,188,369
59004,"Cariboo--Prince George/Cariboo--Prince George"," 31","Rich Bar",8,61,3,115,12,1,200,416
59004,"Cariboo--Prince George/Cariboo--Prince George"," 32","Quesnel",17,58,4,102,5,0,186,339
59004,"Cariboo--Prince George/Cariboo--Prince George"," 33","Quesnel",26,69,2,146,6,1,250,507
59004,"Cariboo--Prince George/Cariboo--Prince George"," 34","Quesnel",18,59,4,91,17,0,189,350
59004,"Cariboo--Prince George/Cariboo--Prince George"," 35","Quesnel",19,62,2,117,7,0,207,401
59004,"Cariboo--Prince George/Cariboo--Prince George"," 36","Quesnel",18,72,0,148,12,1,251,514
59004,"Cariboo--Prince George/Cariboo--Prince George"," 37","Quesnel",24,71,3,165,11,0,274,528
59004,"Cariboo--Prince George/Cariboo--Prince George"," 38","Quesnel",33,80,3,194,4,1,315,515
59004,"Cariboo--Prince George/Cariboo--Prince George"," 39","Quesnel",10,40,5,97,2,0,154,237
59004,"Cariboo--Prince George/Cariboo--Prince George"," 40","Quesnel",32,73,1,139,3,0,248,436
59004,"Cariboo--Prince George/Cariboo--Prince George"," 41","Quesnel",9,45,1,93,12,1,161,286
