Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Valerie Kennedy,James Rajotte,Hana Razga,Donna Lynn Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48014,"Edmonton--Leduc/Edmonton--Leduc"," 1","Edmonton",28,121,39,63,0,251,447
48014,"Edmonton--Leduc/Edmonton--Leduc"," 2","Edmonton",14,71,6,30,0,121,215
48014,"Edmonton--Leduc/Edmonton--Leduc"," 3","Edmonton",33,168,30,48,0,279,471
48014,"Edmonton--Leduc/Edmonton--Leduc"," 4","Edmonton",24,155,19,45,1,244,379
48014,"Edmonton--Leduc/Edmonton--Leduc"," 5","Edmonton",14,98,29,32,1,174,373
48014,"Edmonton--Leduc/Edmonton--Leduc"," 6","Edmonton",30,106,47,38,1,222,460
48014,"Edmonton--Leduc/Edmonton--Leduc"," 7","Edmonton",16,64,26,28,0,134,396
48014,"Edmonton--Leduc/Edmonton--Leduc"," 8","Edmonton",21,96,26,59,1,203,424
48014,"Edmonton--Leduc/Edmonton--Leduc"," 9","Edmonton",17,129,23,31,2,202,305
48014,"Edmonton--Leduc/Edmonton--Leduc"," 10","Edmonton",25,138,20,44,0,227,414
48014,"Edmonton--Leduc/Edmonton--Leduc"," 11","Edmonton",28,103,26,74,1,232,346
48014,"Edmonton--Leduc/Edmonton--Leduc"," 12","Edmonton",27,150,18,59,0,254,376
48014,"Edmonton--Leduc/Edmonton--Leduc"," 13","Edmonton",23,126,28,60,0,237,477
48014,"Edmonton--Leduc/Edmonton--Leduc"," 14","Edmonton",22,126,18,70,0,236,426
48014,"Edmonton--Leduc/Edmonton--Leduc"," 15","Edmonton",14,148,17,53,1,233,413
48014,"Edmonton--Leduc/Edmonton--Leduc"," 16","Edmonton",25,181,19,54,0,279,468
48014,"Edmonton--Leduc/Edmonton--Leduc"," 17","Edmonton",19,197,22,57,1,296,504
48014,"Edmonton--Leduc/Edmonton--Leduc"," 18","Edmonton",15,127,18,48,0,208,395
48014,"Edmonton--Leduc/Edmonton--Leduc"," 19","Edmonton",19,131,18,49,0,217,435
48014,"Edmonton--Leduc/Edmonton--Leduc"," 20","Edmonton",12,157,16,38,0,223,383
48014,"Edmonton--Leduc/Edmonton--Leduc"," 21","Edmonton",17,155,16,63,1,252,480
48014,"Edmonton--Leduc/Edmonton--Leduc"," 22","Edmonton",13,175,3,45,1,237,452
48014,"Edmonton--Leduc/Edmonton--Leduc"," 23","Edmonton",14,158,20,43,1,236,416
48014,"Edmonton--Leduc/Edmonton--Leduc"," 24","Edmonton",21,170,19,71,1,282,471
