Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wess Dowsett,Chungsen Leung,Dylan Marando,Bryon Wilfert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Richmond Hill/Richmond Hill"," 1","Richmond Hill",13,68,9,63,0,153,337
35075,"Richmond Hill/Richmond Hill"," 1-1","Richmond Hill",16,72,21,55,1,165,350
35075,"Richmond Hill/Richmond Hill"," 2","Richmond Hill",18,27,8,77,1,131,285
35075,"Richmond Hill/Richmond Hill"," 2-1","Richmond Hill",25,77,16,72,1,191,442
35075,"Richmond Hill/Richmond Hill"," 3A","Richmond Hill",19,77,17,63,0,176,354
35075,"Richmond Hill/Richmond Hill"," 3B","Richmond Hill",11,90,15,60,1,177,400
35075,"Richmond Hill/Richmond Hill"," 3-1","Richmond Hill",21,107,18,108,1,255,540
35075,"Richmond Hill/Richmond Hill"," 4","Richmond Hill",16,130,14,112,0,272,564
35075,"Richmond Hill/Richmond Hill"," 5","Richmond Hill",16,96,18,92,1,223,448
35075,"Richmond Hill/Richmond Hill"," 6","Richmond Hill",14,73,11,97,1,196,389
35075,"Richmond Hill/Richmond Hill"," 7","Richmond Hill",24,109,23,91,0,247,536
35075,"Richmond Hill/Richmond Hill"," 7-1","Richmond Hill",8,40,10,57,0,115,276
35075,"Richmond Hill/Richmond Hill"," 7-2","Richmond Hill",20,83,5,72,0,180,380
35075,"Richmond Hill/Richmond Hill"," 8","Richmond Hill",12,76,17,63,1,169,405
35075,"Richmond Hill/Richmond Hill"," 8-1","Richmond Hill",25,127,19,123,2,296,572
35075,"Richmond Hill/Richmond Hill"," 9","Richmond Hill",16,89,19,91,0,215,390
35075,"Richmond Hill/Richmond Hill"," 10","Richmond Hill",18,104,15,100,4,241,467
35075,"Richmond Hill/Richmond Hill"," 11","Richmond Hill",8,22,4,31,0,65,158
35075,"Richmond Hill/Richmond Hill"," 11-1","Richmond Hill",18,107,16,102,2,245,420
35075,"Richmond Hill/Richmond Hill"," 12","Richmond Hill",17,60,20,92,1,190,365
35075,"Richmond Hill/Richmond Hill"," 13","Richmond Hill",11,47,14,71,3,146,366
35075,"Richmond Hill/Richmond Hill"," 14","Richmond Hill",18,147,35,135,0,335,578
35075,"Richmond Hill/Richmond Hill"," 15","Richmond Hill",15,52,25,101,1,194,359
35075,"Richmond Hill/Richmond Hill"," 15-1","Richmond Hill",6,12,11,47,0,76,187
35075,"Richmond Hill/Richmond Hill"," 16","Richmond Hill",9,157,26,124,0,316,557
35075,"Richmond Hill/Richmond Hill"," 17","Richmond Hill",27,95,34,110,1,267,436
35075,"Richmond Hill/Richmond Hill"," 18A","Richmond Hill",24,55,21,76,1,177,344
35075,"Richmond Hill/Richmond Hill"," 18B","Richmond Hill",15,53,11,69,4,152,320
35075,"Richmond Hill/Richmond Hill"," 19","Richmond Hill",20,44,15,60,1,140,299
35075,"Richmond Hill/Richmond Hill"," 20","Richmond Hill",14,56,31,81,0,182,421
35075,"Richmond Hill/Richmond Hill"," 21","Richmond Hill",22,69,38,79,2,210,387
35075,"Richmond Hill/Richmond Hill"," 22","Richmond Hill",8,101,14,102,1,226,441
35075,"Richmond Hill/Richmond Hill"," 23","Richmond Hill",10,85,24,88,0,207,386
35075,"Richmond Hill/Richmond Hill"," 24","Richmond Hill",12,86,24,76,1,199,370
35075,"Richmond Hill/Richmond Hill"," 25","Richmond Hill",14,83,18,106,0,221,344
35075,"Richmond Hill/Richmond Hill"," 26","Richmond Hill",17,72,57,102,0,248,432
35075,"Richmond Hill/Richmond Hill"," 27","Richmond Hill",11,52,32,83,0,178,329
35075,"Richmond Hill/Richmond Hill"," 28","Richmond Hill",28,63,26,99,0,216,344
35075,"Richmond Hill/Richmond Hill"," 29","Richmond Hill",21,104,21,84,4,234,423
35075,"Richmond Hill/Richmond Hill"," 30","Richmond Hill",17,62,35,98,4,216,394
35075,"Richmond Hill/Richmond Hill"," 31","Richmond Hill",16,89,23,105,1,234,446
35075,"Richmond Hill/Richmond Hill"," 32","Richmond Hill",29,35,13,60,0,137,282
35075,"Richmond Hill/Richmond Hill"," 33","Richmond Hill",21,35,22,48,3,129,315
35075,"Richmond Hill/Richmond Hill"," 34","Richmond Hill",15,53,23,75,0,166,336
35075,"Richmond Hill/Richmond Hill"," 35","Richmond Hill",42,47,18,60,0,167,387
35075,"Richmond Hill/Richmond Hill"," 36","Richmond Hill",34,45,18,48,0,145,388
35075,"Richmond Hill/Richmond Hill"," 37","Richmond Hill",35,53,20,61,1,170,363
35075,"Richmond Hill/Richmond Hill"," 38","Richmond Hill",32,45,19,66,1,163,300
35075,"Richmond Hill/Richmond Hill"," 39","Richmond Hill",28,58,16,51,0,153,318
35075,"Richmond Hill/Richmond Hill"," 40","Richmond Hill",37,63,18,90,0,208,453
35075,"Richmond Hill/Richmond Hill"," 41","Richmond Hill",25,53,15,60,0,153,323
35075,"Richmond Hill/Richmond Hill"," 42","Richmond Hill",14,40,13,50,1,118,283
35075,"Richmond Hill/Richmond Hill"," 43","Richmond Hill",25,37,19,47,1,129,300
35075,"Richmond Hill/Richmond Hill"," 44","Richmond Hill",25,58,12,72,0,167,324
35075,"Richmond Hill/Richmond Hill"," 45","Richmond Hill",27,29,17,63,4,140,394
35075,"Richmond Hill/Richmond Hill"," 46","Richmond Hill",26,56,7,56,5,150,276
35075,"Richmond Hill/Richmond Hill"," 46-1","Richmond Hill",17,34,27,66,0,144,280
35075,"Richmond Hill/Richmond Hill"," 47","Richmond Hill",30,35,21,70,2,158,343
35075,"Richmond Hill/Richmond Hill"," 48","Richmond Hill",56,86,18,103,3,266,547
35075,"Richmond Hill/Richmond Hill"," 49","Richmond Hill",15,36,8,55,2,116,229
35075,"Richmond Hill/Richmond Hill"," 50","Richmond Hill",14,53,19,48,1,135,278
35075,"Richmond Hill/Richmond Hill"," 51","Richmond Hill",20,125,25,112,0,282,453
35075,"Richmond Hill/Richmond Hill"," 52","Richmond Hill",24,86,20,104,1,235,418
35075,"Richmond Hill/Richmond Hill"," 53","Richmond Hill",23,87,37,126,2,275,476
35075,"Richmond Hill/Richmond Hill"," 54A","Richmond Hill",12,89,11,71,0,183,401
35075,"Richmond Hill/Richmond Hill"," 54B","Richmond Hill",21,75,19,81,1,197,391
