Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gordon S. Earle,Gerald Keddy,Joe Larkin,Michael Oddy,Bill Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 1","Halifax",66,53,0,9,35,0,163,305
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 2","Stillwater Lake",96,101,2,15,71,0,285,505
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 3","Boutiliers Point",120,63,0,28,61,0,272,442
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 4","Masons Point",116,43,2,22,53,0,236,356
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 5","Head of St. Margarets Bay",54,27,3,7,29,0,120,212
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 6","Allen Heights",58,70,1,15,81,1,226,356
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 7","Upper Tantallon",68,66,0,17,65,0,216,345
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 8","Black Point",67,33,0,14,40,0,154,278
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 9","Boutiliers Point",72,25,2,22,37,1,159,257
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 10","Queensland",107,49,2,15,47,0,220,337
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 11","Hubbards",90,83,1,28,75,0,277,420
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 12","Whynachts Point",66,68,0,11,48,1,194,296
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 13","Tantallon",101,69,1,11,64,1,247,403
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 14","Glen Haven",95,94,0,24,91,1,305,497
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 15","Seabright--French Village",123,66,3,18,83,0,293,475
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 16","Glen Margaret",56,53,0,11,61,1,182,271
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 17","Tantallon",Void/Supprimé,,,,,,,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 18","Hacketts Cove",98,76,2,23,72,4,275,430
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 19","Indian Harbour--Peggy's Cove",39,31,1,10,32,0,113,225
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 20","West Dover--Middle Village",64,13,0,2,17,4,100,206
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 21","East Dover--McGraths Cove",79,51,1,11,47,2,191,265
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 22","Bayside",64,35,0,8,19,0,126,246
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 23","Mill Road",63,110,1,2,31,3,210,418
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 24","New Ross",34,108,0,13,20,4,179,317
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 25","Lake Ramsay",32,122,0,6,23,0,183,290
