Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claude Bachand,Guy Berger,Marie-Josée Mercier,Philippe Refghi,Claire Ste-Marie,Pierre Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Saint-Jean/Saint-Jean"," 1","Saint-Luc",158,3,62,62,83,16,3,387,578
24064,"Saint-Jean/Saint-Jean"," 2","Saint-Luc",159,1,41,33,52,17,5,308,530
24064,"Saint-Jean/Saint-Jean"," 3","Saint-Luc",97,0,41,31,69,11,4,253,386
24064,"Saint-Jean/Saint-Jean"," 4A","Saint-Luc",61,2,35,20,48,5,3,174,304
24064,"Saint-Jean/Saint-Jean"," 4B","Saint-Luc",68,1,52,16,46,8,0,191,305
24064,"Saint-Jean/Saint-Jean"," 5","Saint-Luc",128,2,38,30,39,9,3,249,566
24064,"Saint-Jean/Saint-Jean"," 6","Saint-Luc",128,1,49,29,32,8,1,248,468
24064,"Saint-Jean/Saint-Jean"," 6-1A","Saint-Luc",117,3,40,26,40,3,3,232,446
24064,"Saint-Jean/Saint-Jean"," 6-1B","Mobile poll/Bureau itinérant",24,1,21,1,25,0,4,76,84
24064,"Saint-Jean/Saint-Jean"," 7","Saint-Luc",105,1,47,23,45,10,0,231,422
24064,"Saint-Jean/Saint-Jean"," 8","Saint-Luc",123,0,35,33,50,10,3,254,391
24064,"Saint-Jean/Saint-Jean"," 8-1","Saint-Luc",134,2,36,43,36,11,3,265,424
24064,"Saint-Jean/Saint-Jean"," 9","Saint-Luc",119,2,34,24,38,9,0,226,336
24064,"Saint-Jean/Saint-Jean"," 10","Saint-Luc",67,0,29,18,22,9,2,147,242
24064,"Saint-Jean/Saint-Jean"," 11","Saint-Luc",96,0,40,34,42,3,1,216,380
24064,"Saint-Jean/Saint-Jean"," 11-1","Saint-Luc",68,0,24,15,20,6,1,134,243
24064,"Saint-Jean/Saint-Jean"," 12","Saint-Luc",140,4,29,24,57,17,5,276,401
24064,"Saint-Jean/Saint-Jean"," 13","Saint-Luc",197,1,54,43,49,9,2,355,517
24064,"Saint-Jean/Saint-Jean"," 14","Saint-Luc",65,1,24,27,26,2,2,147,222
24064,"Saint-Jean/Saint-Jean"," 15","Saint-Luc",158,4,34,43,53,12,1,305,468
24064,"Saint-Jean/Saint-Jean"," 16A","Saint-Luc",77,0,38,20,30,10,1,176,301
24064,"Saint-Jean/Saint-Jean"," 16B","Saint-Luc",91,2,30,13,38,5,1,180,289
24064,"Saint-Jean/Saint-Jean"," 17","Saint-Luc",103,0,28,24,26,4,6,191,320
24064,"Saint-Jean/Saint-Jean"," 18","Saint-Luc",166,2,47,43,58,9,4,329,571
24064,"Saint-Jean/Saint-Jean"," 19","Saint-Luc",92,1,17,23,39,7,2,181,312
24064,"Saint-Jean/Saint-Jean"," 19-1","Saint-Luc",93,1,17,23,25,9,2,170,322
24064,"Saint-Jean/Saint-Jean"," 20","Saint-Luc",120,1,41,29,37,8,3,239,392
24064,"Saint-Jean/Saint-Jean"," 20-1","Saint-Luc",106,1,17,23,36,10,1,194,282
24064,"Saint-Jean/Saint-Jean"," 21","Saint-Luc",138,5,47,38,47,11,6,292,520
24064,"Saint-Jean/Saint-Jean"," 21-1","Saint-Luc",163,1,48,46,53,8,5,324,552
24064,"Saint-Jean/Saint-Jean"," 21-2","Saint-Luc",22,1,16,12,5,4,0,60,106
24064,"Saint-Jean/Saint-Jean"," 22","Saint-Luc",119,4,38,24,51,8,0,244,412
24064,"Saint-Jean/Saint-Jean"," 23","Saint-Luc",126,0,31,31,32,9,0,229,396
24064,"Saint-Jean/Saint-Jean"," 24","Saint-Luc",183,2,40,38,55,9,0,327,536
24064,"Saint-Jean/Saint-Jean"," 25","Saint-Luc",105,1,48,24,40,3,2,223,351
24064,"Saint-Jean/Saint-Jean"," 25-1","Saint-Luc",139,0,50,33,50,11,6,289,463
24064,"Saint-Jean/Saint-Jean"," 26","Saint-Luc",128,1,30,37,40,4,0,240,407
24064,"Saint-Jean/Saint-Jean"," 26-1","Saint-Luc",104,2,36,21,35,6,4,208,340
24064,"Saint-Jean/Saint-Jean"," 27A","Saint-Luc",113,3,36,30,39,11,2,234,442
24064,"Saint-Jean/Saint-Jean"," 27B","Saint-Luc",135,0,22,44,30,12,4,247,457
24064,"Saint-Jean/Saint-Jean"," 28","Saint-Luc",124,3,50,37,57,5,3,279,443
24064,"Saint-Jean/Saint-Jean"," 29","Saint-Luc",144,0,49,27,39,5,0,264,413
24064,"Saint-Jean/Saint-Jean"," 30A","Saint-Luc",92,2,39,13,61,5,2,214,349
24064,"Saint-Jean/Saint-Jean"," 30B","Saint-Luc",81,0,32,26,54,7,1,201,334
24064,"Saint-Jean/Saint-Jean"," 31","Saint-Luc",155,1,70,43,81,13,4,367,624
24064,"Saint-Jean/Saint-Jean"," 32","Saint-Luc",52,1,15,20,26,5,6,125,253
24064,"Saint-Jean/Saint-Jean"," 32-1","Saint-Luc",95,1,30,23,52,2,2,205,341
24064,"Saint-Jean/Saint-Jean"," 33","Saint-Luc",176,2,41,32,53,6,4,314,544
24064,"Saint-Jean/Saint-Jean"," 34","Saint-Luc",78,2,22,11,19,6,1,139,256
24064,"Saint-Jean/Saint-Jean"," 34-1","Saint-Luc",127,1,46,21,40,9,9,253,419
24064,"Saint-Jean/Saint-Jean"," 35","Saint-Luc",165,1,33,29,47,13,0,288,507
24064,"Saint-Jean/Saint-Jean"," 36","Saint-Athanase",119,0,29,31,33,10,2,224,399
24064,"Saint-Jean/Saint-Jean"," 37","Saint-Athanase",142,2,50,31,27,7,9,268,521
24064,"Saint-Jean/Saint-Jean"," 38","Saint-Athanase",193,1,67,35,59,11,6,372,734
24064,"Saint-Jean/Saint-Jean"," 39","Saint-Athanase",94,2,48,17,34,8,3,206,370
24064,"Saint-Jean/Saint-Jean"," 40","Saint-Athanase",65,2,23,17,20,4,1,132,219
24064,"Saint-Jean/Saint-Jean"," 40-1","Saint-Athanase",173,4,40,44,42,11,4,318,543
24064,"Saint-Jean/Saint-Jean"," 40-2","Saint-Athanase",94,0,41,19,21,2,2,179,328
24064,"Saint-Jean/Saint-Jean"," 41","Saint-Athanase",84,4,40,15,33,5,3,184,352
24064,"Saint-Jean/Saint-Jean"," 42","Saint-Athanase",184,2,57,27,57,9,5,341,550
24064,"Saint-Jean/Saint-Jean"," 43","Saint-Athanase",143,3,33,44,41,17,7,288,473
24064,"Saint-Jean/Saint-Jean"," 44","Saint-Athanase",142,1,55,39,44,7,6,294,522
24064,"Saint-Jean/Saint-Jean"," 45","Saint-Athanase",93,0,28,14,40,5,0,180,366
24064,"Saint-Jean/Saint-Jean"," 46","Saint-Athanase",148,1,39,33,45,7,6,279,520
