Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raphaël Déry,Pierre Ducasse,Paul Fréchette,Gabriel Girard-Bernier,Frédéric Pouyot,Marcel Proulx,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24023,"Hull--Aylmer/Hull--Aylmer"," 46","Aylmer",23,38,41,0,10,55,0,167,332
24023,"Hull--Aylmer/Hull--Aylmer"," 47","Aylmer",38,30,26,1,24,58,0,177,450
24023,"Hull--Aylmer/Hull--Aylmer"," 48","Aylmer",29,40,32,0,11,48,1,161,307
24023,"Hull--Aylmer/Hull--Aylmer"," 49","Aylmer",35,53,49,1,25,97,4,264,420
24023,"Hull--Aylmer/Hull--Aylmer"," 50","Aylmer",36,58,42,1,26,87,3,253,487
24023,"Hull--Aylmer/Hull--Aylmer"," 51","Aylmer",49,57,42,1,22,96,6,273,453
24023,"Hull--Aylmer/Hull--Aylmer"," 52","Aylmer",50,49,44,0,25,114,0,282,436
24023,"Hull--Aylmer/Hull--Aylmer"," 53","Aylmer",44,66,57,1,29,105,1,303,470
24023,"Hull--Aylmer/Hull--Aylmer"," 54","Aylmer",35,57,39,0,25,95,1,252,423
24023,"Hull--Aylmer/Hull--Aylmer"," 55","Aylmer",40,54,60,0,30,133,0,317,522
24023,"Hull--Aylmer/Hull--Aylmer"," 56A","Aylmer",20,54,39,0,14,81,2,210,354
24023,"Hull--Aylmer/Hull--Aylmer"," 56B","Aylmer",21,42,44,0,6,77,1,191,352
24023,"Hull--Aylmer/Hull--Aylmer"," 56-1","Aylmer",30,58,48,1,8,76,0,221,385
24023,"Hull--Aylmer/Hull--Aylmer"," 57","Aylmer",41,61,52,0,18,91,2,265,526
24023,"Hull--Aylmer/Hull--Aylmer"," 58","Aylmer",30,57,39,0,15,95,2,238,417
24023,"Hull--Aylmer/Hull--Aylmer"," 59","Aylmer",39,39,44,0,27,91,2,242,413
24023,"Hull--Aylmer/Hull--Aylmer"," 60","Aylmer",23,52,47,0,20,103,2,247,497
24023,"Hull--Aylmer/Hull--Aylmer"," 61","Aylmer",43,60,43,0,22,70,0,238,481
24023,"Hull--Aylmer/Hull--Aylmer"," 62","Aylmer",33,45,39,1,15,79,1,213,356
24023,"Hull--Aylmer/Hull--Aylmer"," 62-1","Aylmer",23,48,20,2,13,58,0,164,312
24023,"Hull--Aylmer/Hull--Aylmer"," 63A","Aylmer",34,60,45,0,18,106,3,266,477
24023,"Hull--Aylmer/Hull--Aylmer"," 63B","Aylmer",44,65,46,0,14,83,4,256,479
24023,"Hull--Aylmer/Hull--Aylmer"," 63-1","Aylmer",26,50,45,3,8,106,1,239,430
24023,"Hull--Aylmer/Hull--Aylmer"," 64","Aylmer",43,64,49,0,12,90,0,258,542
24023,"Hull--Aylmer/Hull--Aylmer"," 65","Aylmer",33,59,47,0,14,105,0,258,496
24023,"Hull--Aylmer/Hull--Aylmer"," 66","Hull",65,44,33,1,10,83,2,238,349
24023,"Hull--Aylmer/Hull--Aylmer"," 67","Hull",104,62,23,0,14,89,0,292,444
24023,"Hull--Aylmer/Hull--Aylmer"," 68","Hull",75,36,19,1,7,84,0,222,366
24023,"Hull--Aylmer/Hull--Aylmer"," 69","Hull",57,26,16,0,12,69,1,181,301
24023,"Hull--Aylmer/Hull--Aylmer"," 70","Hull",66,42,16,0,8,47,1,180,309
24023,"Hull--Aylmer/Hull--Aylmer"," 71","Hull",75,41,35,0,5,148,1,305,538
24023,"Hull--Aylmer/Hull--Aylmer"," 72","Hull",104,67,23,0,16,96,0,306,479
24023,"Hull--Aylmer/Hull--Aylmer"," 73","Hull",53,58,28,0,6,92,0,237,499
24023,"Hull--Aylmer/Hull--Aylmer"," 74","Hull",80,45,26,0,5,63,0,219,378
24023,"Hull--Aylmer/Hull--Aylmer"," 75","Hull",50,54,14,1,10,48,0,177,381
