Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Carr,Libby Davies,Anne Jamieson,Betty Krawczyk,Ken Low,Ryan Warawa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,Vancouver East/Vancouver-Est,1,Vancouver,31,78,0,0,26,23,0,158,579
59030,Vancouver East/Vancouver-Est,2,Vancouver,48,113,0,0,38,22,1,222,475
59030,Vancouver East/Vancouver-Est,3,Vancouver,53,111,1,4,51,30,1,251,589
59030,Vancouver East/Vancouver-Est,4,Vancouver,15,110,0,3,23,29,0,180,420
59030,Vancouver East/Vancouver-Est,5,Vancouver,8,70,1,3,12,14,0,108,553
59030,Vancouver East/Vancouver-Est,6,Vancouver,14,68,0,3,16,25,0,126,482
59030,Vancouver East/Vancouver-Est,7,Vancouver,13,48,0,4,26,16,0,107,348
59030,Vancouver East/Vancouver-Est, 7-1,Vancouver,25,66,0,1,46,29,0,167,504
59030,Vancouver East/Vancouver-Est,8,Vancouver,35,92,0,4,81,71,1,284,570
59030,Vancouver East/Vancouver-Est,9,Vancouver,31,37,0,1,63,34,0,166,339
59030,Vancouver East/Vancouver-Est,10,Vancouver,Void/Supprimé,,,,,,,,
59030,Vancouver East/Vancouver-Est,11,Vancouver,Void/Supprimé,,,,,,,,
59030,Vancouver East/Vancouver-Est,12,Vancouver,Void/Supprimé,,,,,,,,
59030,Vancouver East/Vancouver-Est,13,Vancouver,13,68,0,3,15,16,0,115,382
59030,Vancouver East/Vancouver-Est,14,Vancouver,16,62,2,1,20,28,1,130,410
59030,Vancouver East/Vancouver-Est,15,Vancouver,11,34,0,2,14,16,0,77,372
59030,Vancouver East/Vancouver-Est,16,Vancouver,12,70,1,2,19,27,1,132,377
59030,Vancouver East/Vancouver-Est,17,Vancouver,16,98,1,4,57,39,6,221,644
59030,Vancouver East/Vancouver-Est,18,Vancouver,Void/Supprimé,,,,,,,,
59030,Vancouver East/Vancouver-Est,19,Vancouver,11,53,1,3,18,23,0,109,338
59030,Vancouver East/Vancouver-Est,20,Vancouver,11,45,1,1,36,31,1,126,382
59030,Vancouver East/Vancouver-Est,21,Vancouver,24,106,1,2,50,18,0,201,517
59030,Vancouver East/Vancouver-Est,22,Vancouver,13,45,1,2,13,12,2,88,393
59030,Vancouver East/Vancouver-Est,23,Vancouver,7,48,1,1,19,8,2,86,383
59030,Vancouver East/Vancouver-Est,24,Vancouver,13,69,0,1,14,14,2,113,432
59030,Vancouver East/Vancouver-Est,25,Vancouver,30,109,2,5,33,20,2,201,441
59030,Vancouver East/Vancouver-Est,26,Vancouver,23,136,4,3,37,28,5,236,531
59030,Vancouver East/Vancouver-Est,27,Vancouver,22,101,3,6,44,28,3,207,426
59030,Vancouver East/Vancouver-Est,28,Vancouver,41,186,1,2,57,14,1,302,567
59030,Vancouver East/Vancouver-Est,29,Vancouver,21,143,0,6,24,21,1,216,397
59030,Vancouver East/Vancouver-Est,30,Vancouver,22,115,0,4,32,21,0,194,454
59030,Vancouver East/Vancouver-Est,31,Vancouver,30,85,0,2,27,24,2,170,452
59030,Vancouver East/Vancouver-Est,32,Vancouver,14,121,1,1,12,9,1,159,394
59030,Vancouver East/Vancouver-Est,33,Vancouver,28,139,0,2,35,14,0,218,428
59030,Vancouver East/Vancouver-Est,34,Vancouver,20,126,0,3,17,28,1,195,326
59030,Vancouver East/Vancouver-Est,35,Vancouver,24,165,1,1,43,41,3,278,515
59030,Vancouver East/Vancouver-Est,36,Vancouver,27,140,1,2,32,37,1,240,462
59030,Vancouver East/Vancouver-Est,37,Vancouver,30,133,0,1,20,35,2,221,465
59030,Vancouver East/Vancouver-Est,38,Vancouver,20,125,0,5,26,28,0,204,412
59030,Vancouver East/Vancouver-Est,39,Vancouver,33,170,2,6,28,26,4,269,515
59030,Vancouver East/Vancouver-Est,40,Vancouver,19,95,1,2,27,26,0,170,465
59030,Vancouver East/Vancouver-Est,41,Vancouver,27,116,1,1,33,34,2,214,443
59030,Vancouver East/Vancouver-Est,42,Vancouver,37,119,1,3,29,28,4,221,510
59030,Vancouver East/Vancouver-Est,43,Vancouver,41,118,0,3,37,20,2,221,456
59030,Vancouver East/Vancouver-Est, 43-1,Vancouver,15,83,2,1,15,17,1,134,409
59030,Vancouver East/Vancouver-Est,44,Vancouver,29,130,0,0,46,33,5,243,414
59030,Vancouver East/Vancouver-Est,45,Vancouver,22,99,0,2,45,36,3,207,385
59030,Vancouver East/Vancouver-Est,46,Vancouver,21,98,1,0,18,36,1,175,331
59030,Vancouver East/Vancouver-Est,47,Vancouver,23,144,3,3,58,67,1,299,508
59030,Vancouver East/Vancouver-Est,48,Vancouver,23,111,1,2,64,55,3,259,454
59030,Vancouver East/Vancouver-Est,49,Vancouver,17,122,0,2,69,48,1,259,514
59030,Vancouver East/Vancouver-Est,50,Vancouver,38,170,0,5,26,17,0,256,588
59030,Vancouver East/Vancouver-Est,51,Vancouver,30,129,0,1,21,19,1,201,433
59030,Vancouver East/Vancouver-Est,52,Vancouver,23,154,1,3,27,24,4,236,516
59030,Vancouver East/Vancouver-Est,53,Vancouver,28,116,1,2,29,17,0,193,449
59030,Vancouver East/Vancouver-Est,54,Vancouver,34,140,0,3,27,26,1,231,439
59030,Vancouver East/Vancouver-Est,55,Vancouver,33,115,0,2,13,9,0,172,407
59030,Vancouver East/Vancouver-Est,56,Vancouver,31,175,2,7,31,22,1,269,480
59030,Vancouver East/Vancouver-Est,57,Vancouver,34,144,0,4,41,27,6,256,476
59030,Vancouver East/Vancouver-Est,58,Vancouver,40,124,0,4,22,15,0,205,351
59030,Vancouver East/Vancouver-Est,59,Vancouver,49,168,0,2,21,25,4,269,450
59030,Vancouver East/Vancouver-Est,60,Vancouver,30,145,1,3,20,19,1,219,378
59030,Vancouver East/Vancouver-Est,61,Vancouver,37,167,0,6,22,20,3,255,436
59030,Vancouver East/Vancouver-Est,62,Vancouver,53,165,0,4,48,16,5,291,491
59030,Vancouver East/Vancouver-Est,63,Vancouver,40,146,2,4,35,20,1,248,424
59030,Vancouver East/Vancouver-Est,64,Vancouver,20,149,0,5,54,29,3,260,463
59030,Vancouver East/Vancouver-Est,65,Vancouver,35,171,2,1,18,13,2,242,492
59030,Vancouver East/Vancouver-Est,66,Vancouver,31,150,1,3,28,25,2,240,475
59030,Vancouver East/Vancouver-Est,67,Vancouver,46,159,0,2,29,17,0,253,508
59030,Vancouver East/Vancouver-Est,68,Vancouver,32,153,4,6,31,18,0,244,460
59030,Vancouver East/Vancouver-Est,69,Vancouver,21,122,1,1,31,52,2,230,439
59030,Vancouver East/Vancouver-Est,70,Vancouver,42,159,1,2,33,22,0,259,460
59030,Vancouver East/Vancouver-Est,71,Vancouver,32,118,0,4,29,11,0,194,383
59030,Vancouver East/Vancouver-Est,72,Vancouver,23,104,1,2,19,17,0,166,351
59030,Vancouver East/Vancouver-Est,73,Vancouver,16,152,0,3,12,10,1,194,388
59030,Vancouver East/Vancouver-Est,74,Vancouver,38,126,1,3,27,17,0,212,322
59030,Vancouver East/Vancouver-Est,75,Vancouver,27,106,0,2,64,76,0,275,446
59030,Vancouver East/Vancouver-Est,76,Vancouver,27,130,0,3,42,66,2,270,426
59030,Vancouver East/Vancouver-Est,77,Vancouver,25,117,0,0,59,42,0,243,457
59030,Vancouver East/Vancouver-Est,78,Vancouver,15,126,2,2,58,37,2,242,525
59030,Vancouver East/Vancouver-Est,79,Vancouver,17,142,0,2,61,37,3,262,456
59030,Vancouver East/Vancouver-Est,80,Vancouver,32,130,3,1,37,37,0,240,482
59030,Vancouver East/Vancouver-Est,81,Vancouver,18,120,1,1,70,56,1,267,483
59030,Vancouver East/Vancouver-Est,82,Vancouver,16,103,3,1,52,54,1,230,506
59030,Vancouver East/Vancouver-Est,83,Vancouver,9,98,0,1,51,44,1,204,397
59030,Vancouver East/Vancouver-Est,84,Vancouver,13,102,2,3,41,43,0,204,400
59030,Vancouver East/Vancouver-Est,85,Vancouver,24,150,0,0,66,58,0,298,541
59030,Vancouver East/Vancouver-Est,86,Vancouver,19,102,0,3,57,60,0,241,533
59030,Vancouver East/Vancouver-Est,87,Vancouver,6,110,0,0,56,49,0,221,481
59030,Vancouver East/Vancouver-Est,88,Vancouver,17,104,0,3,48,39,3,214,414
59030,Vancouver East/Vancouver-Est, 89A,Vancouver,26,80,2,2,64,61,1,236,426
59030,Vancouver East/Vancouver-Est, 89B,Mobile poll/Bureau itinérant,Merged with No. 503/Fusionné avec le nº 503,,,,,,,,52
59030,Vancouver East/Vancouver-Est,90,Vancouver,31,119,1,2,14,19,0,186,394
59030,Vancouver East/Vancouver-Est,91,Vancouver,32,98,0,1,20,13,0,164,272
59030,Vancouver East/Vancouver-Est,92,Vancouver,50,110,1,4,39,32,0,236,478
59030,Vancouver East/Vancouver-Est,93,Vancouver,23,130,1,1,26,35,4,220,372
59030,Vancouver East/Vancouver-Est,94,Vancouver,35,146,0,1,17,27,0,226,419
59030,Vancouver East/Vancouver-Est,95,Vancouver,24,129,0,3,32,30,0,218,378
59030,Vancouver East/Vancouver-Est,96,Vancouver,39,185,2,2,36,37,0,301,508
59030,Vancouver East/Vancouver-Est,97,Vancouver,29,103,0,2,22,25,1,182,397
59030,Vancouver East/Vancouver-Est,98,Vancouver,31,117,1,2,30,23,2,206,435
59030,Vancouver East/Vancouver-Est,99,Vancouver,47,112,0,1,23,24,1,208,419
59030,Vancouver East/Vancouver-Est,100,Vancouver,48,158,1,3,45,52,0,307,519
59030,Vancouver East/Vancouver-Est,101,Vancouver,32,119,2,2,35,23,1,214,378
59030,Vancouver East/Vancouver-Est,102,Vancouver,32,150,2,0,21,28,0,233,472
59030,Vancouver East/Vancouver-Est,103,Vancouver,42,146,0,0,17,45,1,251,457
59030,Vancouver East/Vancouver-Est,104,Vancouver,22,71,0,0,24,17,0,134,301
59030,Vancouver East/Vancouver-Est, 104-1A,Vancouver,23,83,0,2,23,18,2,151,382
59030,Vancouver East/Vancouver-Est, 104-1B,Mobile poll/Bureau itinérant,Merged with No. 500/Fusionné avec le nº 500,,,,,,,,34
59030,Vancouver East/Vancouver-Est,105,Vancouver,44,166,1,0,21,43,2,277,493
59030,Vancouver East/Vancouver-Est,106,Vancouver,48,144,0,2,46,47,4,291,556
59030,Vancouver East/Vancouver-Est,107,Vancouver,36,136,1,1,48,13,2,237,484
59030,Vancouver East/Vancouver-Est,108,Vancouver,26,150,0,0,34,33,0,243,451
59030,Vancouver East/Vancouver-Est,109,Vancouver,50,157,0,1,46,36,0,290,532
59030,Vancouver East/Vancouver-Est,110,Vancouver,28,139,0,5,28,23,1,224,460
59030,Vancouver East/Vancouver-Est,111,Vancouver,27,117,0,2,34,13,0,193,445
59030,Vancouver East/Vancouver-Est,112,Vancouver,37,114,0,3,23,28,0,205,408
59030,Vancouver East/Vancouver-Est,113,Vancouver,28,124,1,1,29,29,3,215,531
59030,Vancouver East/Vancouver-Est,114,Vancouver,13,88,1,2,21,28,0,153,362
59030,Vancouver East/Vancouver-Est,115,Vancouver,28,147,2,3,25,17,0,222,417
59030,Vancouver East/Vancouver-Est,116,Vancouver,24,135,1,0,14,33,0,207,464
59030,Vancouver East/Vancouver-Est,117,Vancouver,28,152,0,6,22,24,1,233,516
59030,Vancouver East/Vancouver-Est,118,Vancouver,36,132,4,0,27,28,2,229,558
59030,Vancouver East/Vancouver-Est,119,Vancouver,30,144,0,5,29,26,1,235,472
59030,Vancouver East/Vancouver-Est,120,Vancouver,22,130,1,2,35,32,2,224,412
59030,Vancouver East/Vancouver-Est,121,Vancouver,42,131,1,3,36,25,1,239,478
59030,Vancouver East/Vancouver-Est,122,Vancouver,44,119,0,2,34,24,0,223,427
59030,Vancouver East/Vancouver-Est,123,Vancouver,42,123,1,2,45,35,1,249,445
59030,Vancouver East/Vancouver-Est,124,Vancouver,29,113,3,3,47,21,4,220,479
59030,Vancouver East/Vancouver-Est,125,Vancouver,32,152,1,2,28,41,0,256,492
59030,Vancouver East/Vancouver-Est,126,Vancouver,35,156,0,3,37,33,1,265,534
59030,Vancouver East/Vancouver-Est,127,Vancouver,33,119,0,2,21,20,2,197,395
59030,Vancouver East/Vancouver-Est,128,Vancouver,32,145,1,3,14,12,1,208,432
59030,Vancouver East/Vancouver-Est,129,Vancouver,30,154,0,3,32,27,0,246,428
59030,Vancouver East/Vancouver-Est,130,Vancouver,25,158,4,4,59,40,4,294,434
59030,Vancouver East/Vancouver-Est, 130-1,Vancouver,15,115,0,4,43,54,3,234,409
59030,Vancouver East/Vancouver-Est,131,Vancouver,24,138,1,3,37,44,1,248,428
59030,Vancouver East/Vancouver-Est,132,Vancouver,17,135,1,2,73,52,0,280,502
