Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Christelle Bogosta,Pierre Brassard,David Marler,Christian Ouellet,Denis Paradis,Mark Quinlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24010,"Brome--Missisquoi/Brome--Missisquoi"," 1","Noyan",21,12,4,89,84,52,4,266,485
24010,"Brome--Missisquoi/Brome--Missisquoi"," 2A","Noyan",14,5,1,42,56,31,2,151,256
24010,"Brome--Missisquoi/Brome--Missisquoi"," 2B","Noyan",17,3,0,65,46,17,6,154,274
24010,"Brome--Missisquoi/Brome--Missisquoi"," 3","Saint-Georges-de-Clarenceville",30,4,0,39,46,38,0,157,298
24010,"Brome--Missisquoi/Brome--Missisquoi"," 4","Saint-Georges-de-Clarenceville",18,11,0,91,95,65,6,286,519
24010,"Brome--Missisquoi/Brome--Missisquoi"," 5","Venise-en-Québec",29,7,2,109,89,62,4,302,598
24010,"Brome--Missisquoi/Brome--Missisquoi"," 6A","Venise-en-Québec",22,7,1,83,48,37,7,205,321
24010,"Brome--Missisquoi/Brome--Missisquoi"," 6B","Venise-en-Québec",5,2,0,52,43,38,0,140,308
24010,"Brome--Missisquoi/Brome--Missisquoi"," 7","Henryville",27,3,0,117,55,42,5,249,463
24010,"Brome--Missisquoi/Brome--Missisquoi"," 8A","Henryville",40,14,0,101,92,49,6,302,466
24010,"Brome--Missisquoi/Brome--Missisquoi"," 8B","Mobile poll/Bureau itinérant",Merged with No. 17B/Fusionné avec le nº 17B,,,,,,,,22
24010,"Brome--Missisquoi/Brome--Missisquoi"," 9","Henryville",17,3,0,65,34,26,3,148,251
24010,"Brome--Missisquoi/Brome--Missisquoi"," 10","Saint-Sébastien",25,5,0,92,67,41,2,232,338
24010,"Brome--Missisquoi/Brome--Missisquoi"," 11","Saint-Sébastien",8,6,0,45,45,31,1,136,206
24010,"Brome--Missisquoi/Brome--Missisquoi"," 12","Saint-Pierre-de-Véronne-à-Pike-River",26,8,0,105,69,51,0,259,426
24010,"Brome--Missisquoi/Brome--Missisquoi"," 13A","Notre-Dame-de-Stanbridge",21,1,1,75,99,41,3,241,333
24010,"Brome--Missisquoi/Brome--Missisquoi"," 13B","Mobile poll/Bureau itinérant",Merged with No. 14B/Fusionné avec le nº 14B,,,,,,,,20
24010,"Brome--Missisquoi/Brome--Missisquoi"," 14A","Notre-Dame-de-Stanbridge",14,3,0,53,46,23,0,139,186
24010,"Brome--Missisquoi/Brome--Missisquoi"," 14B ","Mobile poll/Bureau itinérant",3,1,1,9,19,2,0,35,22
24010,"Brome--Missisquoi/Brome--Missisquoi"," 15","Stanbridge Station",30,3,1,69,54,24,3,184,252
24010,"Brome--Missisquoi/Brome--Missisquoi"," 16","Saint-Armand",28,11,0,65,123,62,2,291,451
24010,"Brome--Missisquoi/Brome--Missisquoi"," 17A","Saint-Armand",16,8,1,41,53,24,2,145,215
