Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Bilek,M.A. Bonnie Brown,Blake Poland,Terence Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35060,"Oakville/Oakville"," 1A","Oakville",2,57,11,102,1,173,275
35060,"Oakville/Oakville"," 1B","Oakville",10,66,16,64,1,157,306
35060,"Oakville/Oakville"," 2A","Oakville",4,52,0,46,0,102,256
35060,"Oakville/Oakville"," 2B","Oakville",11,71,6,73,0,161,297
35060,"Oakville/Oakville"," 2-1","Oakville",7,81,11,74,2,175,332
35060,"Oakville/Oakville"," 2-2A","Oakville",11,71,14,91,2,189,389
35060,"Oakville/Oakville"," 2-2B","Oakville",9,80,12,96,0,197,392
35060,"Oakville/Oakville"," 2-2C","Oakville",14,91,10,81,0,196,383
35060,"Oakville/Oakville"," 2-3A","Oakville",8,52,6,106,0,172,362
35060,"Oakville/Oakville"," 2-3B","Oakville",7,68,9,97,1,182,353
35060,"Oakville/Oakville"," 2-4A","Oakville",11,66,14,102,1,194,331
35060,"Oakville/Oakville"," 2-4B","Oakville",7,65,10,91,1,174,306
35060,"Oakville/Oakville"," 2-4C","Oakville",4,78,4,120,0,206,368
35060,"Oakville/Oakville"," 3","Oakville",16,130,22,189,2,359,528
35060,"Oakville/Oakville"," 4","Oakville",Void/Supprimé,,,,,,
35060,"Oakville/Oakville"," 5","Oakville",12,96,26,126,0,260,434
35060,"Oakville/Oakville"," 6","Oakville",9,75,22,120,0,226,427
35060,"Oakville/Oakville"," 7","Oakville",2,53,2,93,0,150,264
35060,"Oakville/Oakville"," 8","Oakville",20,63,17,78,0,178,303
35060,"Oakville/Oakville"," 9","Oakville",12,122,22,149,1,306,486
35060,"Oakville/Oakville"," 10","Oakville",19,123,14,106,0,262,511
35060,"Oakville/Oakville"," 11","Oakville",24,107,11,110,0,252,438
35060,"Oakville/Oakville"," 12","Oakville",24,116,8,93,0,241,458
35060,"Oakville/Oakville"," 13","Oakville",22,124,13,87,0,246,400
35060,"Oakville/Oakville"," 14","Oakville",20,103,19,130,1,273,427
35060,"Oakville/Oakville"," 15","Oakville",20,74,20,109,2,225,384
35060,"Oakville/Oakville"," 16","Oakville",36,115,17,85,3,256,431
35060,"Oakville/Oakville"," 17","Oakville",28,130,27,112,2,299,487
35060,"Oakville/Oakville"," 18","Oakville",23,124,11,116,4,278,471
35060,"Oakville/Oakville"," 19","Oakville",21,105,17,125,1,269,501
35060,"Oakville/Oakville"," 20","Oakville",30,100,17,112,1,260,429
35060,"Oakville/Oakville"," 21","Oakville",24,147,22,136,0,329,521
35060,"Oakville/Oakville"," 22","Oakville",31,94,24,113,2,264,505
35060,"Oakville/Oakville"," 23","Oakville",4,69,12,114,0,199,316
35060,"Oakville/Oakville"," 24","Oakville",5,85,23,140,1,254,435
35060,"Oakville/Oakville"," 25","Oakville",3,91,16,100,0,210,347
35060,"Oakville/Oakville"," 26","Oakville",11,118,26,134,0,289,450
35060,"Oakville/Oakville"," 27","Oakville",5,78,26,157,0,266,454
35060,"Oakville/Oakville"," 28","Oakville",12,78,10,126,1,227,383
35060,"Oakville/Oakville"," 29","Oakville",9,64,19,112,0,204,340
35060,"Oakville/Oakville"," 30","Oakville",14,95,27,148,0,284,408
35060,"Oakville/Oakville"," 31","Oakville",7,74,26,120,0,227,371
35060,"Oakville/Oakville"," 32","Oakville",5,80,17,148,1,251,386
35060,"Oakville/Oakville"," 33","Oakville",2,91,18,118,3,232,328
35060,"Oakville/Oakville"," 34","Oakville",4,74,13,112,0,203,347
35060,"Oakville/Oakville"," 35","Oakville",11,58,10,95,0,174,346
35060,"Oakville/Oakville"," 36","Oakville",6,78,15,129,1,229,351
35060,"Oakville/Oakville"," 37","Oakville",16,95,22,103,2,238,367
35060,"Oakville/Oakville"," 38","Oakville",9,89,23,114,0,235,429
35060,"Oakville/Oakville"," 39","Oakville",12,73,25,108,0,218,373
35060,"Oakville/Oakville"," 40","Oakville",4,75,11,131,0,221,348
35060,"Oakville/Oakville"," 41","Oakville",2,76,20,90,0,188,306
35060,"Oakville/Oakville"," 42","Oakville",1,71,11,125,0,208,370
35060,"Oakville/Oakville"," 43","Oakville",3,68,16,117,0,204,330
35060,"Oakville/Oakville"," 44","Oakville",6,52,11,148,1,218,396
35060,"Oakville/Oakville"," 45","Oakville",29,81,19,89,0,218,394
35060,"Oakville/Oakville"," 46","Oakville",11,66,21,108,0,206,328
35060,"Oakville/Oakville"," 47","Oakville",17,115,19,122,1,274,386
35060,"Oakville/Oakville"," 48","Oakville",17,57,16,118,0,208,311
35060,"Oakville/Oakville"," 49","Oakville",26,73,28,120,0,247,403
35060,"Oakville/Oakville"," 50","Oakville",4,102,29,124,0,259,450
35060,"Oakville/Oakville"," 51","Oakville",21,114,26,96,1,258,446
35060,"Oakville/Oakville"," 52","Oakville",31,90,17,102,0,240,380
35060,"Oakville/Oakville"," 53","Oakville",5,89,13,156,0,263,425
35060,"Oakville/Oakville"," 54","Oakville",25,84,25,113,5,252,379
35060,"Oakville/Oakville"," 55","Oakville",24,56,25,69,2,176,344
35060,"Oakville/Oakville"," 56","Oakville",25,63,18,59,0,165,338
35060,"Oakville/Oakville"," 57","Oakville",18,93,20,94,1,226,367
35060,"Oakville/Oakville"," 58","Oakville",22,63,23,69,0,177,413
35060,"Oakville/Oakville"," 59","Oakville",46,72,25,59,0,202,305
35060,"Oakville/Oakville"," 60","Oakville",17,84,22,71,0,194,372
35060,"Oakville/Oakville"," 61","Oakville",40,63,37,46,0,186,319
35060,"Oakville/Oakville"," 62","Oakville",22,53,8,30,1,114,262
35060,"Oakville/Oakville"," 63","Oakville",11,73,10,61,0,155,273
35060,"Oakville/Oakville"," 64","Oakville",19,83,24,67,0,193,343
35060,"Oakville/Oakville"," 65","Oakville",27,63,14,80,0,184,303
35060,"Oakville/Oakville"," 66","Oakville",32,75,20,73,0,200,376
35060,"Oakville/Oakville"," 67","Oakville",21,61,16,76,0,174,293
35060,"Oakville/Oakville"," 68","Oakville",25,72,20,116,1,234,362
35060,"Oakville/Oakville"," 69","Oakville",34,56,19,52,0,161,402
35060,"Oakville/Oakville"," 70","Oakville",26,66,13,66,0,171,384
35060,"Oakville/Oakville"," 71","Oakville",12,74,15,90,0,191,327
35060,"Oakville/Oakville"," 72","Oakville",17,95,23,115,0,250,387
