Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Réjean Bériault,Ghislaine Cournoyer,Rebecca Laplante,Louis Plamondon,Nourredine Seddiki,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 1","Deschaillons-sur-Saint-Laurent",Void/Supprimé,,,,,,,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 2","Deschaillons-sur-Saint-Laurent",96,46,13,133,30,2,320,548
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 3","Deschaillons-sur-Saint-Laurent",51,27,4,61,9,0,152,265
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 4","Parisville",76,38,9,101,26,7,257,423
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 5","Fortierville",84,39,10,137,19,5,294,502
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 6","Sainte-Françoise",60,42,5,95,16,3,221,347
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 7","Saint-Pierre-les-Becquets",30,25,4,66,14,1,140,256
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 8","Saint-Pierre-les-Becquets",48,39,4,96,16,3,206,338
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 9","Saint-Pierre-les-Becquets",40,23,10,94,9,4,180,349
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 10","Sainte-Cécile-de-Lévrard",47,28,3,96,4,9,187,301
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 11","Sainte-Sophie-de-Lévrard",33,22,3,64,10,0,132,235
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 12","Sainte-Sophie-de-Lévrard",47,41,4,97,14,9,212,371
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 13","Saint-Joseph-de-Blandford",61,21,2,91,8,3,186,341
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 14","Manseau",58,27,7,124,21,6,243,416
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 15","Sainte-Marie-de-Blandford",49,44,12,151,20,2,278,397
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 16","Lemieux",34,32,4,71,14,1,156,236
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 17","Bécancour",60,37,7,120,15,7,246,392
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 18","Bécancour",67,34,9,159,27,9,305,474
