Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Amy Darwish,Béatrice Guay-Pepper,Frédéric Isaya,Antoine Kaluzny,Yves Le Seigle,Kristina Vitelli,Lise Zarac,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"LaSalle--Émard/LaSalle--Émard"," 1","Montréal",31,31,66,6,0,6,91,6,237,403
24029,"LaSalle--Émard/LaSalle--Émard"," 2","Montréal",24,17,105,3,0,6,53,5,213,395
24029,"LaSalle--Émard/LaSalle--Émard"," 3","Montréal",28,15,75,2,1,7,63,6,197,403
24029,"LaSalle--Émard/LaSalle--Émard"," 4","Montréal",15,16,46,0,0,5,36,1,119,317
24029,"LaSalle--Émard/LaSalle--Émard"," 5","Montréal",23,16,92,2,1,11,44,4,193,433
24029,"LaSalle--Émard/LaSalle--Émard"," 6","Montréal",4,10,74,1,3,5,42,5,144,345
24029,"LaSalle--Émard/LaSalle--Émard"," 7","Montréal",19,19,37,1,0,6,48,2,132,344
24029,"LaSalle--Émard/LaSalle--Émard"," 8","Montréal",30,26,56,0,1,6,82,7,208,535
24029,"LaSalle--Émard/LaSalle--Émard"," 9","Montréal",16,12,54,2,0,8,20,0,112,285
24029,"LaSalle--Émard/LaSalle--Émard"," 10","Montréal",28,21,86,1,0,2,25,3,166,416
24029,"LaSalle--Émard/LaSalle--Émard"," 11","Montréal",7,9,55,1,0,3,33,1,109,266
24029,"LaSalle--Émard/LaSalle--Émard"," 12","Montréal",17,6,43,1,2,3,27,8,107,254
24029,"LaSalle--Émard/LaSalle--Émard"," 13","Montréal",36,22,82,1,1,9,34,12,197,403
24029,"LaSalle--Émard/LaSalle--Émard"," 14","Montréal",20,14,41,2,0,3,34,4,118,234
24029,"LaSalle--Émard/LaSalle--Émard"," 15","Montréal",22,18,89,1,0,3,35,3,171,386
24029,"LaSalle--Émard/LaSalle--Émard"," 16","Montréal",23,19,94,1,0,10,66,8,221,457
24029,"LaSalle--Émard/LaSalle--Émard"," 17","Montréal",17,12,56,1,0,4,28,1,119,246
24029,"LaSalle--Émard/LaSalle--Émard"," 18","Montréal",19,15,64,0,0,4,30,3,135,258
24029,"LaSalle--Émard/LaSalle--Émard"," 19","Montréal",30,26,127,3,0,8,60,8,262,438
24029,"LaSalle--Émard/LaSalle--Émard"," 20","Montréal",29,16,68,2,0,4,38,5,162,253
24029,"LaSalle--Émard/LaSalle--Émard"," 21","Montréal",33,24,64,2,2,12,106,3,246,385
24029,"LaSalle--Émard/LaSalle--Émard"," 22","Montréal",20,36,53,4,4,8,64,8,197,371
24029,"LaSalle--Émard/LaSalle--Émard"," 23","Montréal",28,28,77,8,0,6,87,4,238,402
24029,"LaSalle--Émard/LaSalle--Émard"," 24","Montréal",31,28,76,3,0,10,73,11,232,386
24029,"LaSalle--Émard/LaSalle--Émard"," 25","Montréal",24,27,74,3,0,9,69,7,213,358
24029,"LaSalle--Émard/LaSalle--Émard"," 26","Montréal",34,24,68,1,3,2,84,3,219,444
24029,"LaSalle--Émard/LaSalle--Émard"," 27","LaSalle",10,26,11,2,0,4,75,1,129,383
24029,"LaSalle--Émard/LaSalle--Émard"," 27-1A","LaSalle",Merged with No. 401/Fusionné avec le nº 401,,,,,,,,,174
24029,"LaSalle--Émard/LaSalle--Émard"," 27-1B","LaSalle",35,53,41,2,0,12,90,2,235,513
24029,"LaSalle--Émard/LaSalle--Émard"," 28","LaSalle",33,69,54,1,3,12,153,5,330,598
24029,"LaSalle--Émard/LaSalle--Émard"," 29","LaSalle",41,59,47,8,0,9,98,3,265,569
24029,"LaSalle--Émard/LaSalle--Émard"," 30","LaSalle",17,39,27,1,2,2,119,2,209,413
24029,"LaSalle--Émard/LaSalle--Émard"," 31","LaSalle",27,25,24,3,0,5,67,0,151,313
24029,"LaSalle--Émard/LaSalle--Émard"," 32","LaSalle",20,23,34,1,0,4,103,0,185,422
24029,"LaSalle--Émard/LaSalle--Émard"," 33","LaSalle",22,33,17,0,0,15,112,1,200,425
24029,"LaSalle--Émard/LaSalle--Émard"," 34","LaSalle",29,32,31,7,0,7,138,2,246,442
24029,"LaSalle--Émard/LaSalle--Émard"," 35","LaSalle",21,25,21,3,0,4,107,3,184,361
24029,"LaSalle--Émard/LaSalle--Émard"," 36","LaSalle",32,30,32,2,1,11,109,0,217,448
24029,"LaSalle--Émard/LaSalle--Émard"," 37","LaSalle",33,37,28,2,1,13,101,0,215,422
24029,"LaSalle--Émard/LaSalle--Émard"," 38","LaSalle",23,29,22,2,0,6,59,2,143,358
24029,"LaSalle--Émard/LaSalle--Émard"," 39","LaSalle",29,46,24,2,0,3,109,1,214,413
24029,"LaSalle--Émard/LaSalle--Émard"," 40","LaSalle",23,40,11,1,1,3,124,0,203,380
24029,"LaSalle--Émard/LaSalle--Émard"," 41","LaSalle",13,38,19,3,1,3,57,0,134,299
24029,"LaSalle--Émard/LaSalle--Émard"," 42","LaSalle",13,47,12,3,2,2,119,3,201,357
24029,"LaSalle--Émard/LaSalle--Émard"," 43","LaSalle",33,46,20,7,0,5,106,1,218,424
24029,"LaSalle--Émard/LaSalle--Émard"," 44","LaSalle",35,36,16,3,0,3,114,3,210,270
24029,"LaSalle--Émard/LaSalle--Émard"," 45","LaSalle",35,45,23,4,0,9,111,1,228,443
24029,"LaSalle--Émard/LaSalle--Émard"," 46","LaSalle",31,37,35,3,1,4,102,1,214,423
24029,"LaSalle--Émard/LaSalle--Émard"," 47","LaSalle",12,53,26,5,3,8,112,1,220,420
24029,"LaSalle--Émard/LaSalle--Émard"," 48","LaSalle",Merged with No. 44/Fusionné avec le nº 44,,,,,,,,,221
24029,"LaSalle--Émard/LaSalle--Émard"," 49","LaSalle",19,16,13,2,0,7,80,2,139,386
24029,"LaSalle--Émard/LaSalle--Émard"," 50","Montréal",31,55,60,2,0,13,97,4,262,500
24029,"LaSalle--Émard/LaSalle--Émard"," 51","Montréal",13,15,80,3,2,9,60,3,185,345
24029,"LaSalle--Émard/LaSalle--Émard"," 52","Montréal",26,27,72,0,1,5,58,14,203,401
24029,"LaSalle--Émard/LaSalle--Émard"," 53","Montréal",26,15,91,2,0,4,41,2,181,313
24029,"LaSalle--Émard/LaSalle--Émard"," 54","Montréal",44,14,73,0,1,10,83,4,229,396
24029,"LaSalle--Émard/LaSalle--Émard"," 55","Montréal",40,22,71,2,1,7,64,3,210,460
24029,"LaSalle--Émard/LaSalle--Émard"," 56","Montréal",36,19,67,4,1,8,45,3,183,361
24029,"LaSalle--Émard/LaSalle--Émard"," 57","Montréal",26,34,122,1,0,9,84,5,281,417
24029,"LaSalle--Émard/LaSalle--Émard"," 58","Montréal",35,19,89,0,1,7,87,3,241,437
24029,"LaSalle--Émard/LaSalle--Émard"," 59","Montréal",34,11,82,3,3,2,46,3,184,354
24029,"LaSalle--Émard/LaSalle--Émard"," 60","Montréal",38,24,99,5,2,9,81,10,268,480
24029,"LaSalle--Émard/LaSalle--Émard"," 61","Montréal",32,23,56,2,0,7,56,4,180,330
24029,"LaSalle--Émard/LaSalle--Émard"," 62","Montréal",20,24,76,2,0,7,85,3,217,413
24029,"LaSalle--Émard/LaSalle--Émard"," 63","Montréal",21,30,79,5,0,9,62,4,210,419
24029,"LaSalle--Émard/LaSalle--Émard"," 64","Montréal",18,28,62,1,1,4,58,2,174,380
24029,"LaSalle--Émard/LaSalle--Émard"," 65","Montréal",23,21,60,2,0,7,47,3,163,313
24029,"LaSalle--Émard/LaSalle--Émard"," 66","Montréal",28,26,87,2,1,6,67,6,223,368
24029,"LaSalle--Émard/LaSalle--Émard"," 67","Montréal",37,21,100,2,1,13,53,7,234,427
24029,"LaSalle--Émard/LaSalle--Émard"," 68","Montréal",15,18,55,2,0,11,53,0,154,314
24029,"LaSalle--Émard/LaSalle--Émard"," 69","Montréal",30,27,46,3,0,15,44,2,167,302
24029,"LaSalle--Émard/LaSalle--Émard"," 70","Montréal",29,18,70,0,0,4,49,3,173,348
24029,"LaSalle--Émard/LaSalle--Émard"," 71","Montréal",37,14,34,1,0,4,65,6,161,385
24029,"LaSalle--Émard/LaSalle--Émard"," 72","Montréal",22,26,50,1,0,7,28,1,135,297
24029,"LaSalle--Émard/LaSalle--Émard"," 73","Montréal",32,13,41,5,0,8,69,3,171,345
24029,"LaSalle--Émard/LaSalle--Émard"," 74","Montréal",34,19,59,3,1,4,59,1,180,341
24029,"LaSalle--Émard/LaSalle--Émard"," 75","Montréal",25,16,61,2,0,9,83,3,199,452
24029,"LaSalle--Émard/LaSalle--Émard"," 76","LaSalle",30,40,22,4,3,4,103,1,207,424
24029,"LaSalle--Émard/LaSalle--Émard"," 77","LaSalle",24,29,20,5,0,5,91,2,176,382
24029,"LaSalle--Émard/LaSalle--Émard"," 78","LaSalle",16,42,20,2,0,7,98,4,189,414
24029,"LaSalle--Émard/LaSalle--Émard"," 79","LaSalle",32,29,26,8,0,7,126,6,234,488
24029,"LaSalle--Émard/LaSalle--Émard"," 80","LaSalle",30,38,55,6,2,8,103,2,244,413
24029,"LaSalle--Émard/LaSalle--Émard"," 81","LaSalle",28,25,40,2,1,10,48,0,154,316
24029,"LaSalle--Émard/LaSalle--Émard"," 82","LaSalle",27,27,57,3,0,7,93,1,215,351
24029,"LaSalle--Émard/LaSalle--Émard"," 83","LaSalle",26,34,46,1,1,7,102,1,218,441
24029,"LaSalle--Émard/LaSalle--Émard"," 84","LaSalle",24,39,31,2,2,7,103,0,208,430
24029,"LaSalle--Émard/LaSalle--Émard"," 85","LaSalle",25,28,18,4,2,3,107,5,192,342
24029,"LaSalle--Émard/LaSalle--Émard"," 86","LaSalle",25,40,17,3,0,4,86,1,176,335
24029,"LaSalle--Émard/LaSalle--Émard"," 87","LaSalle",20,33,17,3,2,3,102,0,180,387
24029,"LaSalle--Émard/LaSalle--Émard"," 88","LaSalle",24,50,31,2,0,13,71,0,191,404
24029,"LaSalle--Émard/LaSalle--Émard"," 89","LaSalle",16,34,27,3,1,5,104,0,190,398
24029,"LaSalle--Émard/LaSalle--Émard"," 90","LaSalle",31,32,30,3,0,7,113,6,222,409
24029,"LaSalle--Émard/LaSalle--Émard"," 91","LaSalle",23,29,24,3,2,1,122,0,204,393
24029,"LaSalle--Émard/LaSalle--Émard"," 92","LaSalle",33,51,56,5,0,13,153,4,315,522
24029,"LaSalle--Émard/LaSalle--Émard"," 93","LaSalle",27,31,52,8,3,1,103,3,228,420
24029,"LaSalle--Émard/LaSalle--Émard"," 94","LaSalle",24,29,15,2,0,9,94,6,179,331
