Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sharon L. Howe,Kaitlin Kettenbach,Ellen Parker,Kevin Sorenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48010,"Crowfoot/Crowfoot"," 1","Hay Lakes",11,18,37,220,0,286,524
48010,"Crowfoot/Crowfoot"," 2","Miquelon Beach",2,15,14,118,2,151,369
48010,"Crowfoot/Crowfoot"," 3","Ellswick",2,8,8,55,0,73,145
48010,"Crowfoot/Crowfoot"," 4","Armena",8,13,26,159,1,207,421
48010,"Crowfoot/Crowfoot"," 5","Round Hill",6,25,35,193,0,259,417
48010,"Crowfoot/Crowfoot"," 6","Bittern Lake",11,8,26,254,0,299,586
48010,"Crowfoot/Crowfoot"," 7","Barlee Junction",5,16,28,142,0,191,346
48010,"Crowfoot/Crowfoot"," 8","Bawlf Rural",6,8,12,201,2,229,388
48010,"Crowfoot/Crowfoot"," 9","Bittern Lake",7,9,16,103,0,135,224
48010,"Crowfoot/Crowfoot"," 10","Ohaton",3,13,18,170,0,204,421
48010,"Crowfoot/Crowfoot"," 11","New Norway",10,27,26,241,0,304,533
48010,"Crowfoot/Crowfoot"," 12","Kelsey",8,13,12,152,0,185,374
48010,"Crowfoot/Crowfoot"," 13","Bawlf",4,18,22,155,0,199,409
48010,"Crowfoot/Crowfoot"," 14","Ferintosh",8,22,25,208,1,264,514
48010,"Crowfoot/Crowfoot"," 15","Edberg",4,13,17,161,0,195,383
48010,"Crowfoot/Crowfoot"," 16","Rosalind",12,17,15,185,0,229,351
48010,"Crowfoot/Crowfoot"," 17","Bashaw",3,5,4,71,0,83,152
48010,"Crowfoot/Crowfoot"," 18","Bashaw",9,28,44,331,1,413,778
48010,"Crowfoot/Crowfoot"," 19","Meeting Creek",3,15,19,209,1,247,388
48010,"Crowfoot/Crowfoot"," 20","Camrose",11,16,51,222,0,300,505
48010,"Crowfoot/Crowfoot"," 21","Camrose",3,7,18,182,0,210,454
48010,"Crowfoot/Crowfoot"," 22","Camrose",9,15,35,158,2,219,559
48010,"Crowfoot/Crowfoot"," 23","Camrose",3,9,21,55,0,88,261
48010,"Crowfoot/Crowfoot"," 24","Camrose",4,19,33,143,1,200,423
48010,"Crowfoot/Crowfoot"," 25","Camrose",8,15,38,149,0,210,515
48010,"Crowfoot/Crowfoot"," 26","Camrose",11,10,28,105,0,154,385
48010,"Crowfoot/Crowfoot"," 27","Camrose",16,18,34,150,1,219,413
48010,"Crowfoot/Crowfoot"," 28","Camrose",5,9,19,55,1,89,229
48010,"Crowfoot/Crowfoot"," 29","Camrose",6,7,29,124,0,166,295
48010,"Crowfoot/Crowfoot"," 30","Camrose",6,10,17,65,0,98,265
48010,"Crowfoot/Crowfoot"," 31","Camrose",19,28,53,283,0,383,712
48010,"Crowfoot/Crowfoot"," 32","Camrose",10,9,24,124,0,167,371
48010,"Crowfoot/Crowfoot"," 33","Camrose",17,24,35,171,0,247,450
48010,"Crowfoot/Crowfoot"," 34","Camrose",8,19,42,97,0,166,422
48010,"Crowfoot/Crowfoot"," 35","Camrose",12,18,24,142,1,197,411
48010,"Crowfoot/Crowfoot"," 36","Camrose",16,15,45,123,0,199,413
48010,"Crowfoot/Crowfoot"," 37","Camrose",18,29,51,114,0,212,461
48010,"Crowfoot/Crowfoot"," 38","Camrose",6,11,22,114,0,153,320
48010,"Crowfoot/Crowfoot"," 39","Camrose",13,15,45,212,0,285,504
48010,"Crowfoot/Crowfoot"," 40","Camrose",10,18,42,150,0,220,382
48010,"Crowfoot/Crowfoot"," 41","Camrose",8,13,30,186,0,237,441
48010,"Crowfoot/Crowfoot"," 42","Camrose",10,8,12,108,1,139,302
48010,"Crowfoot/Crowfoot"," 43","Camrose",5,9,24,79,0,117,258
48010,"Crowfoot/Crowfoot"," 44","Camrose",5,6,33,95,0,139,233
48010,"Crowfoot/Crowfoot"," 45","Camrose",22,18,37,219,0,296,559
48010,"Crowfoot/Crowfoot"," 46","Camrose",4,8,41,153,1,207,408
48010,"Crowfoot/Crowfoot"," 47","Camrose",10,10,16,226,0,262,479
48010,"Crowfoot/Crowfoot"," 48","Camrose",26,54,98,314,1,493,847
48010,"Crowfoot/Crowfoot"," 49","Donalda",5,5,15,127,0,152,345
48010,"Crowfoot/Crowfoot"," 50","Donalda",2,6,4,97,0,109,229
48010,"Crowfoot/Crowfoot"," 51","Rochon Sands",8,8,8,95,0,119,190
48010,"Crowfoot/Crowfoot"," 52","Red Willow",4,4,1,117,1,127,244
48010,"Crowfoot/Crowfoot"," 53","Erskine",2,9,17,249,2,279,660
48010,"Crowfoot/Crowfoot"," 54","Erskine",2,3,4,139,0,148,285
48010,"Crowfoot/Crowfoot"," 55","Stettler--Warden",2,10,6,181,0,199,386
48010,"Crowfoot/Crowfoot"," 56","Stettler--Sabine",3,9,11,200,0,223,444
48010,"Crowfoot/Crowfoot"," 57","Botha",3,13,8,171,1,196,355
48010,"Crowfoot/Crowfoot"," 58","Gadsby",8,2,9,174,0,193,509
48010,"Crowfoot/Crowfoot"," 59","Stettler",10,5,26,193,0,234,519
48010,"Crowfoot/Crowfoot"," 60","Stettler",8,17,13,110,0,148,324
48010,"Crowfoot/Crowfoot"," 61","Stettler",12,15,12,110,1,150,376
48010,"Crowfoot/Crowfoot"," 62","Stettler",12,9,16,106,0,143,346
48010,"Crowfoot/Crowfoot"," 63","Stettler",9,12,14,156,0,191,403
48010,"Crowfoot/Crowfoot"," 64","Stettler",6,4,11,128,0,149,324
48010,"Crowfoot/Crowfoot"," 65","Stettler",6,3,6,149,0,164,309
48010,"Crowfoot/Crowfoot"," 66","Stettler",7,4,16,122,0,149,385
48010,"Crowfoot/Crowfoot"," 67","Stettler",3,5,8,147,0,163,361
48010,"Crowfoot/Crowfoot"," 68","Stettler",8,8,5,149,0,170,349
48010,"Crowfoot/Crowfoot"," 69","Stettler",7,8,11,108,0,134,294
48010,"Crowfoot/Crowfoot"," 70","Big Valley",8,12,14,181,1,216,424
48010,"Crowfoot/Crowfoot"," 71","Big Valley",1,5,6,128,0,140,281
48010,"Crowfoot/Crowfoot"," 72","Endiang",6,3,10,162,0,181,292
48010,"Crowfoot/Crowfoot"," 73","Halkirk",8,11,13,162,1,195,397
48010,"Crowfoot/Crowfoot"," 74","Castor",8,21,9,182,0,220,364
48010,"Crowfoot/Crowfoot"," 75","Castor",7,11,11,186,0,215,306
48010,"Crowfoot/Crowfoot"," 76","Castor",15,15,21,222,1,274,432
48010,"Crowfoot/Crowfoot"," 77","Brownfield",2,14,17,171,0,204,365
48010,"Crowfoot/Crowfoot"," 78","Coronation",10,7,14,155,0,186,435
48010,"Crowfoot/Crowfoot"," 79","Coronation",5,10,8,128,0,151,368
48010,"Crowfoot/Crowfoot"," 80","Coronation",5,6,8,147,0,166,294
48010,"Crowfoot/Crowfoot"," 81","Veteran",6,14,6,186,0,212,455
48010,"Crowfoot/Crowfoot"," 82","Consort",2,4,4,132,0,142,254
48010,"Crowfoot/Crowfoot"," 83","Consort",5,7,4,99,1,116,208
48010,"Crowfoot/Crowfoot"," 84","Consort",4,9,16,122,0,151,296
48010,"Crowfoot/Crowfoot"," 85","Monitor",0,6,3,110,0,119,233
48010,"Crowfoot/Crowfoot"," 86","Altario",3,3,4,92,0,102,179
48010,"Crowfoot/Crowfoot"," 87","Wimborne",3,16,10,212,0,241,412
48010,"Crowfoot/Crowfoot"," 88","Huxley",3,11,6,141,0,161,298
48010,"Crowfoot/Crowfoot"," 89","Torrington",4,15,14,199,0,232,450
48010,"Crowfoot/Crowfoot"," 90","Trochu",13,22,18,243,1,297,487
48010,"Crowfoot/Crowfoot"," 91","Trochu",6,11,13,138,0,168,282
48010,"Crowfoot/Crowfoot"," 92","Trochu",1,8,9,164,0,182,302
48010,"Crowfoot/Crowfoot"," 93","Sunnyslope",6,9,2,163,0,180,337
48010,"Crowfoot/Crowfoot"," 94","Three Hills",1,1,3,94,0,99,164
48010,"Crowfoot/Crowfoot"," 95","Three Hills",0,13,3,238,0,254,423
48010,"Crowfoot/Crowfoot"," 96","Three Hills",2,1,3,43,0,49,112
48010,"Crowfoot/Crowfoot"," 97","Three Hills",Merged with No. 97-1B/Fusionné avec le nº 97-1B,,,,,,74
48010,"Crowfoot/Crowfoot"," 97-1A","Three Hills",5,13,8,289,0,315,561
48010,"Crowfoot/Crowfoot"," 97-1B","Three Hills",6,8,8,147,0,169,305
48010,"Crowfoot/Crowfoot"," 98","Three Hills",6,4,7,242,0,259,451
48010,"Crowfoot/Crowfoot"," 99","Three Hills--Ghost Pine Creek",9,18,8,257,1,293,665
48010,"Crowfoot/Crowfoot"," 100","Stirlingville",0,5,3,55,0,63,111
48010,"Crowfoot/Crowfoot"," 101","Linden",1,3,4,112,1,121,382
48010,"Crowfoot/Crowfoot"," 102","Linden",3,16,16,213,0,248,534
48010,"Crowfoot/Crowfoot"," 103","Wessex",0,4,1,42,0,47,214
48010,"Crowfoot/Crowfoot"," 104","Acme",8,21,16,223,0,268,519
48010,"Crowfoot/Crowfoot"," 105","Acme",6,16,4,128,0,154,256
48010,"Crowfoot/Crowfoot"," 106","Swalwell",5,9,5,165,1,185,410
