Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Donald A. Doucet,Charles Hubbard,Tilly O'Neill-Gordon,Todd Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13006,"Miramichi/Miramichi"," 1","Belledune",70,61,60,10,3,204,338
13006,"Miramichi/Miramichi"," 2","Belledune",45,38,22,4,1,110,283
13006,"Miramichi/Miramichi"," 3","Lorne",62,34,32,4,3,135,356
13006,"Miramichi/Miramichi"," 4","Jacquet River",34,39,34,9,1,117,315
13006,"Miramichi/Miramichi"," 5","Belledune",46,56,31,12,5,150,315
13006,"Miramichi/Miramichi"," 6","Nash Creek",74,59,40,8,3,184,308
13006,"Miramichi/Miramichi"," 7","Lorne",64,42,26,5,17,154,286
13006,"Miramichi/Miramichi"," 8","Lorne",51,33,29,17,9,139,298
13006,"Miramichi/Miramichi"," 9","Benjamin River",46,61,54,19,1,181,281
13006,"Miramichi/Miramichi"," 10","Curventon",24,40,48,9,3,124,201
13006,"Miramichi/Miramichi"," 11","Exmoor",21,39,70,5,1,136,261
13006,"Miramichi/Miramichi"," 12","Trout Brook",24,44,70,6,1,145,317
13006,"Miramichi/Miramichi"," 13","Maple Glen",28,57,95,11,0,191,309
13006,"Miramichi/Miramichi"," 14","Sunny Corner",17,38,70,1,0,126,231
13006,"Miramichi/Miramichi"," 15","Boom Road",17,45,77,12,0,151,257
13006,"Miramichi/Miramichi"," 16","Whitney",18,60,79,3,0,160,288
13006,"Miramichi/Miramichi"," 17","Strathadam",19,67,68,5,2,161,263
13006,"Miramichi/Miramichi"," 18","Eel Ground",32,114,17,13,1,177,368
13006,"Miramichi/Miramichi"," 19","Bellefond--Beaver Brook",60,79,98,11,3,251,442
13006,"Miramichi/Miramichi"," 20","Lower Newcastle",28,51,84,2,0,165,313
13006,"Miramichi/Miramichi"," 21","Lavillette",41,87,21,0,3,152,218
13006,"Miramichi/Miramichi"," 21-1","Alnwick",51,117,30,4,2,204,316
13006,"Miramichi/Miramichi"," 22","Bartibog Bridge",23,67,124,3,2,219,383
13006,"Miramichi/Miramichi"," 23","New Jersey",29,53,68,4,2,156,227
13006,"Miramichi/Miramichi"," 24","Lagacéville",106,126,62,1,0,295,431
13006,"Miramichi/Miramichi"," 25","Saint-Wilfred",52,109,38,3,2,204,303
13006,"Miramichi/Miramichi"," 26A","Fairisle",57,90,56,4,3,210,332
13006,"Miramichi/Miramichi"," 26B","Fairisle",36,85,50,7,5,183,177
13006,"Miramichi/Miramichi"," 26-1","Alnwick",Merged with No. 26B/Fusionné avec le nº 26B,,,,,,132
13006,"Miramichi/Miramichi"," 27","Tabusintac 9",37,95,152,4,1,289,420
13006,"Miramichi/Miramichi"," 28","Covedell",47,99,67,5,4,222,397
13006,"Miramichi/Miramichi"," 29","Brantville",74,116,47,4,8,249,382
13006,"Miramichi/Miramichi"," 30","Brantville",57,143,52,0,7,259,368
13006,"Miramichi/Miramichi"," 31","Pontgravé",60,80,24,3,5,172,252
13006,"Miramichi/Miramichi"," 32","Brantville",42,124,46,3,1,216,308
13006,"Miramichi/Miramichi"," 33","Rivière-du-Portage",74,94,83,5,7,263,386
13006,"Miramichi/Miramichi"," 33-1","Alnwick",47,54,42,3,1,147,230
13006,"Miramichi/Miramichi"," 34","Burnt Church 14",27,43,11,3,0,84,366
13006,"Miramichi/Miramichi"," 34-1","Alnwick",16,29,20,3,0,68,317
13006,"Miramichi/Miramichi"," 35","Neguac",31,81,40,1,3,156,239
