Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Françoise Boivin,David Inglis,Richard Nadeau,Michel Simard,Denis Tassé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24020,"Gatineau/Gatineau"," 1","Gatineau",58,10,74,63,49,1,255,474
24020,"Gatineau/Gatineau"," 2","Gatineau",68,11,56,50,43,2,230,449
24020,"Gatineau/Gatineau"," 3A","Gatineau",67,6,72,78,36,1,260,465
24020,"Gatineau/Gatineau"," 3B","Gatineau",65,3,75,72,26,3,244,507
24020,"Gatineau/Gatineau"," 4","Gatineau",44,8,50,30,22,1,155,354
24020,"Gatineau/Gatineau"," 5","Gatineau",34,5,45,33,15,0,132,246
24020,"Gatineau/Gatineau"," 6","Gatineau",51,2,91,67,29,1,241,335
24020,"Gatineau/Gatineau"," 7","Gatineau",38,4,82,55,18,0,197,300
24020,"Gatineau/Gatineau"," 8","Gatineau",63,9,82,40,38,1,233,334
24020,"Gatineau/Gatineau"," 9","Gatineau",49,7,62,76,40,1,235,365
24020,"Gatineau/Gatineau"," 10","Gatineau",61,2,93,76,32,1,265,390
24020,"Gatineau/Gatineau"," 11","Gatineau",61,5,111,103,47,0,327,536
24020,"Gatineau/Gatineau"," 12","Gatineau",32,6,72,76,31,1,218,336
24020,"Gatineau/Gatineau"," 13","Gatineau",79,4,89,78,39,3,292,433
24020,"Gatineau/Gatineau"," 14","Gatineau",56,11,67,45,42,5,226,389
24020,"Gatineau/Gatineau"," 15","Gatineau",30,2,38,32,40,1,143,288
24020,"Gatineau/Gatineau"," 16","Gatineau",59,4,93,102,50,4,312,539
24020,"Gatineau/Gatineau"," 17","Gatineau",26,3,42,71,39,4,185,341
24020,"Gatineau/Gatineau"," 18","Gatineau",46,5,53,71,37,0,212,315
24020,"Gatineau/Gatineau"," 19","Gatineau",46,5,56,76,30,1,214,313
24020,"Gatineau/Gatineau"," 20","Gatineau",49,6,62,93,36,0,246,352
24020,"Gatineau/Gatineau"," 21","Gatineau",35,7,71,45,24,0,182,275
24020,"Gatineau/Gatineau"," 22","Gatineau",49,4,63,58,22,3,199,317
24020,"Gatineau/Gatineau"," 23","Gatineau",43,8,60,103,38,1,253,366
24020,"Gatineau/Gatineau"," 24","Gatineau",84,9,92,98,50,1,334,573
24020,"Gatineau/Gatineau"," 25","Gatineau",52,9,60,64,35,0,220,341
24020,"Gatineau/Gatineau"," 26","Gatineau",39,3,56,51,45,2,196,349
24020,"Gatineau/Gatineau"," 27","Gatineau",58,7,62,53,42,1,223,379
24020,"Gatineau/Gatineau"," 28","Gatineau",39,7,65,59,57,5,232,355
24020,"Gatineau/Gatineau"," 29","Gatineau",50,4,68,65,43,2,232,379
24020,"Gatineau/Gatineau"," 30","Gatineau",46,11,43,83,35,1,219,341
24020,"Gatineau/Gatineau"," 31","Gatineau",59,9,55,96,63,1,283,527
24020,"Gatineau/Gatineau"," 32","Gatineau",33,1,65,45,39,3,186,340
24020,"Gatineau/Gatineau"," 33","Gatineau",61,7,58,67,41,1,235,444
24020,"Gatineau/Gatineau"," 34","Gatineau",56,2,40,51,18,0,167,282
24020,"Gatineau/Gatineau"," 35","Gatineau",62,4,58,39,59,0,222,373
24020,"Gatineau/Gatineau"," 36","Gatineau",59,1,41,59,59,1,220,349
24020,"Gatineau/Gatineau"," 37","Gatineau",51,5,32,48,53,2,191,335
24020,"Gatineau/Gatineau"," 38","Gatineau",37,5,47,37,39,5,170,331
24020,"Gatineau/Gatineau"," 39","Gatineau",39,3,60,34,42,1,179,349
24020,"Gatineau/Gatineau"," 40","Gatineau",51,3,60,65,32,2,213,365
24020,"Gatineau/Gatineau"," 41","Gatineau",45,0,46,46,42,0,179,371
24020,"Gatineau/Gatineau"," 42","Gatineau",32,2,47,32,30,1,144,306
24020,"Gatineau/Gatineau"," 43","Gatineau",50,4,42,48,27,1,172,363
24020,"Gatineau/Gatineau"," 44","Gatineau",16,6,54,27,28,3,134,320
24020,"Gatineau/Gatineau"," 45","Gatineau",38,3,44,27,13,1,126,263
