Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Betty Bekkering,Hilary Crowley,Lindsay Gidney,Jay Hill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Prince George--Peace River/Prince George--Peace River"," 28","Buick",14,6,4,75,0,99,210
59022,"Prince George--Peace River/Prince George--Peace River"," 29","Rose Prairie",2,3,8,26,0,39,91
59022,"Prince George--Peace River/Prince George--Peace River"," 30","Prespatou",5,5,2,66,0,78,194
59022,"Prince George--Peace River/Prince George--Peace River"," 31","Rose Prairie",2,5,1,17,0,25,72
59022,"Prince George--Peace River/Prince George--Peace River"," 32","Rose Prairie",5,4,2,142,0,153,258
59022,"Prince George--Peace River/Prince George--Peace River"," 33","Montney",9,13,6,125,1,154,324
59022,"Prince George--Peace River/Prince George--Peace River"," 34A","Charlie Lake",15,23,13,247,0,298,633
59022,"Prince George--Peace River/Prince George--Peace River"," 34B","Charlie Lake",20,26,9,206,0,261,647
59022,"Prince George--Peace River/Prince George--Peace River"," 35","Charlie Lake",3,4,10,63,1,81,162
59022,"Prince George--Peace River/Prince George--Peace River"," 36","Charlie Lake",15,17,3,122,1,158,338
59022,"Prince George--Peace River/Prince George--Peace River"," 37","Charlie Lake",13,13,6,120,0,152,277
59022,"Prince George--Peace River/Prince George--Peace River"," 38","North Pine",2,2,1,116,0,121,234
59022,"Prince George--Peace River/Prince George--Peace River"," 39","Charlie Lake",16,12,9,165,0,202,373
59022,"Prince George--Peace River/Prince George--Peace River"," 40","Charlie Lake",13,14,9,156,1,193,391
59022,"Prince George--Peace River/Prince George--Peace River"," 41","Fort St. John",11,11,4,132,0,158,274
59022,"Prince George--Peace River/Prince George--Peace River"," 42","Fort St. John",9,6,8,129,1,153,429
59022,"Prince George--Peace River/Prince George--Peace River"," 43","Baldonnel",21,26,13,202,0,262,459
59022,"Prince George--Peace River/Prince George--Peace River"," 44","Taylor",9,6,9,89,0,113,323
59022,"Prince George--Peace River/Prince George--Peace River"," 45A","Taylor",12,12,5,110,1,140,314
59022,"Prince George--Peace River/Prince George--Peace River"," 45B","Taylor",29,14,12,117,0,172,384
59022,"Prince George--Peace River/Prince George--Peace River"," 46","Cecil Lake",15,10,7,150,1,183,319
59022,"Prince George--Peace River/Prince George--Peace River"," 47","Flatrock",13,3,2,124,0,142,258
59022,"Prince George--Peace River/Prince George--Peace River"," 48","Fort St. John",16,23,19,196,0,254,527
59022,"Prince George--Peace River/Prince George--Peace River"," 49A","Fort St. John",12,12,11,119,1,155,354
59022,"Prince George--Peace River/Prince George--Peace River"," 49B","Fort St. John",18,13,14,110,0,155,311
59022,"Prince George--Peace River/Prince George--Peace River"," 50","Fort St. John",31,13,11,173,1,229,484
59022,"Prince George--Peace River/Prince George--Peace River"," 51","Fort St. John",18,19,12,145,1,195,428
59022,"Prince George--Peace River/Prince George--Peace River"," 52","Fort St. John",10,8,7,111,1,137,283
59022,"Prince George--Peace River/Prince George--Peace River"," 53","Fort St. John",25,17,12,181,0,235,488
59022,"Prince George--Peace River/Prince George--Peace River"," 54","Fort St. John",23,15,10,139,2,189,394
59022,"Prince George--Peace River/Prince George--Peace River"," 55A","Fort St. John",18,2,7,99,0,126,297
59022,"Prince George--Peace River/Prince George--Peace River"," 55B","Fort St. John",24,4,5,88,0,121,304
59022,"Prince George--Peace River/Prince George--Peace River"," 55-1","Fort St. John",17,20,8,115,0,160,338
59022,"Prince George--Peace River/Prince George--Peace River"," 56","Fort St. John",11,9,16,94,0,130,403
59022,"Prince George--Peace River/Prince George--Peace River"," 57","Fort St. John",17,16,11,69,1,114,499
59022,"Prince George--Peace River/Prince George--Peace River"," 58","Fort St. John",12,20,10,104,0,146,416
59022,"Prince George--Peace River/Prince George--Peace River"," 59","Fort St. John",16,16,12,43,0,87,400
59022,"Prince George--Peace River/Prince George--Peace River"," 60","Fort St. John",13,13,8,69,1,104,459
59022,"Prince George--Peace River/Prince George--Peace River"," 61","Fort St. John",35,9,6,79,0,129,383
59022,"Prince George--Peace River/Prince George--Peace River"," 62","Fort St. John",20,15,12,83,2,132,490
59022,"Prince George--Peace River/Prince George--Peace River"," 63","Fort St. John",21,19,16,129,1,186,528
59022,"Prince George--Peace River/Prince George--Peace River"," 64","Fort St. John",25,27,22,128,0,202,515
59022,"Prince George--Peace River/Prince George--Peace River"," 65","Fort St. John",13,21,11,106,0,151,451
59022,"Prince George--Peace River/Prince George--Peace River"," 66","Fort St. John",21,9,6,135,0,171,527
59022,"Prince George--Peace River/Prince George--Peace River"," 67","Fort St. John",8,6,1,50,0,65,179
59022,"Prince George--Peace River/Prince George--Peace River"," 68","Fort St. John",17,15,8,93,0,133,368
59022,"Prince George--Peace River/Prince George--Peace River"," 69","Fort St. John",33,8,10,112,0,163,511
59022,"Prince George--Peace River/Prince George--Peace River"," 70","Fort St. John",27,24,6,123,1,181,506
59022,"Prince George--Peace River/Prince George--Peace River"," 71","Fort St. John",12,7,11,77,0,107,331
59022,"Prince George--Peace River/Prince George--Peace River"," 72A","Fort St. John",12,11,13,85,0,121,528
59022,"Prince George--Peace River/Prince George--Peace River"," 72B","Fort St. John",20,12,9,81,0,122,510
59022,"Prince George--Peace River/Prince George--Peace River"," 73","Lemoray",Merged with No. 80/Fusionné avec le nº 80,,,,,,9
59022,"Prince George--Peace River/Prince George--Peace River"," 74","Hudson's Hope",29,29,12,115,4,189,278
59022,"Prince George--Peace River/Prince George--Peace River"," 75","Hudson's Hope",24,33,20,184,1,262,514
59022,"Prince George--Peace River/Prince George--Peace River"," 76","Moberly Lake",34,28,6,46,0,114,362
59022,"Prince George--Peace River/Prince George--Peace River"," 77","Jackfish Lake",8,10,9,71,0,98,202
59022,"Prince George--Peace River/Prince George--Peace River"," 78","Chetwynd",12,16,14,99,0,141,318
59022,"Prince George--Peace River/Prince George--Peace River"," 79","Chetwynd",23,12,21,134,0,190,450
59022,"Prince George--Peace River/Prince George--Peace River"," 80","Chetwynd",41,17,17,130,0,205,501
59022,"Prince George--Peace River/Prince George--Peace River"," 81","Chetwynd",31,25,20,71,0,147,411
59022,"Prince George--Peace River/Prince George--Peace River"," 82","Chetwynd",28,19,17,93,0,157,389
59022,"Prince George--Peace River/Prince George--Peace River"," 83A","Chetwynd",25,18,6,84,1,134,323
59022,"Prince George--Peace River/Prince George--Peace River"," 83B","Chetwynd",18,16,20,93,0,147,316
59022,"Prince George--Peace River/Prince George--Peace River"," 84","Chetwynd",8,7,3,30,0,48,117
59022,"Prince George--Peace River/Prince George--Peace River"," 85","Bear Lake",10,26,0,58,0,94,192
59022,"Prince George--Peace River/Prince George--Peace River"," 86A","Ness Lake",23,17,19,103,0,162,366
59022,"Prince George--Peace River/Prince George--Peace River"," 86B","Ness Lake",51,30,17,117,1,216,407
59022,"Prince George--Peace River/Prince George--Peace River"," 87","Nukko Lake",19,17,10,95,0,141,413
59022,"Prince George--Peace River/Prince George--Peace River"," 88A","Nukko Lake",33,16,18,100,1,168,378
59022,"Prince George--Peace River/Prince George--Peace River"," 88B","Nukko Lake",46,29,13,124,0,212,415
59022,"Prince George--Peace River/Prince George--Peace River"," 89","Salmon Valley",37,34,10,140,3,224,394
59022,"Prince George--Peace River/Prince George--Peace River"," 90","Giscome",33,18,6,58,1,116,254
59022,"Prince George--Peace River/Prince George--Peace River"," 91","Ferndale",43,22,12,132,0,209,408
59022,"Prince George--Peace River/Prince George--Peace River"," 92","Shelley",22,20,13,69,0,124,290
59022,"Prince George--Peace River/Prince George--Peace River"," 93","Blackburn",30,19,18,88,0,155,391
59022,"Prince George--Peace River/Prince George--Peace River"," 94","Bonnet Hill",40,16,18,120,1,195,407
59022,"Prince George--Peace River/Prince George--Peace River"," 95","Bonnet Hill",29,15,9,67,1,121,261
59022,"Prince George--Peace River/Prince George--Peace River"," 96","Tabor Lake",53,18,45,124,0,240,517
59022,"Prince George--Peace River/Prince George--Peace River"," 97","Pineview",49,13,22,126,0,210,412
59022,"Prince George--Peace River/Prince George--Peace River"," 98","Pineview",46,17,25,138,0,226,486
59022,"Prince George--Peace River/Prince George--Peace River"," 99","Pineview",6,7,7,51,0,71,155
59022,"Prince George--Peace River/Prince George--Peace River"," 100","Pineview",66,26,16,134,2,244,508
59022,"Prince George--Peace River/Prince George--Peace River"," 101","Buckhorn",26,17,13,102,0,158,284
59022,"Prince George--Peace River/Prince George--Peace River"," 102","Buckhorn",29,23,13,117,2,184,309
59022,"Prince George--Peace River/Prince George--Peace River"," 103","Buckhorn",29,8,6,62,0,105,201
59022,"Prince George--Peace River/Prince George--Peace River"," 104","Buckhorn",40,26,16,107,0,189,334
59022,"Prince George--Peace River/Prince George--Peace River"," 105","Upper Fraser",17,3,9,20,1,50,109
59022,"Prince George--Peace River/Prince George--Peace River"," 106","Longworth",Merged with No. 105/Fusionné avec le nº 105,,,,,,21
59022,"Prince George--Peace River/Prince George--Peace River"," 107","Prince George",37,22,15,141,0,215,500
59022,"Prince George--Peace River/Prince George--Peace River"," 108","Prince George",43,21,6,80,1,151,335
59022,"Prince George--Peace River/Prince George--Peace River"," 109","Prince George",64,17,22,118,1,222,587
