Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathan David Coates,Jason Devine,Bernie Kennedy,Deepak Obhrai,Ian Vaughan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48002,"Calgary East/Calgary-Est"," 1","Calgary",28,0,20,119,22,0,189,412
48002,"Calgary East/Calgary-Est"," 2","Calgary",21,1,25,108,16,0,171,451
48002,"Calgary East/Calgary-Est"," 3","Calgary",19,0,22,74,16,1,132,321
48002,"Calgary East/Calgary-Est"," 4","Calgary",36,1,30,138,16,0,221,426
48002,"Calgary East/Calgary-Est"," 5","Calgary",11,3,9,89,12,1,125,316
48002,"Calgary East/Calgary-Est"," 6","Calgary",30,0,29,152,38,0,249,437
48002,"Calgary East/Calgary-Est"," 7","Calgary",24,4,13,121,21,0,183,334
48002,"Calgary East/Calgary-Est"," 8","Calgary",18,2,20,113,22,1,176,387
48002,"Calgary East/Calgary-Est"," 9","Calgary",11,1,13,36,17,0,78,166
48002,"Calgary East/Calgary-Est"," 10","Calgary",31,0,17,119,31,0,198,414
48002,"Calgary East/Calgary-Est"," 11","Calgary",32,3,24,174,26,0,259,406
48002,"Calgary East/Calgary-Est"," 12","Calgary",18,2,25,128,26,1,200,362
48002,"Calgary East/Calgary-Est"," 13","Calgary",6,2,11,69,18,0,106,357
48002,"Calgary East/Calgary-Est"," 14","Calgary",6,3,13,75,13,0,110,373
48002,"Calgary East/Calgary-Est"," 15","Calgary",11,5,12,43,26,0,97,443
48002,"Calgary East/Calgary-Est"," 16","Calgary",15,4,13,114,23,1,170,499
48002,"Calgary East/Calgary-Est"," 17","Calgary",19,1,9,73,25,0,127,364
48002,"Calgary East/Calgary-Est"," 18","Calgary",16,5,16,79,21,3,140,479
48002,"Calgary East/Calgary-Est"," 19","Calgary",19,1,9,87,16,0,132,433
48002,"Calgary East/Calgary-Est"," 20","Calgary",11,3,15,94,12,2,137,307
48002,"Calgary East/Calgary-Est"," 21","Calgary",19,0,7,66,18,2,112,371
48002,"Calgary East/Calgary-Est"," 22","Calgary",9,0,11,53,17,0,90,400
48002,"Calgary East/Calgary-Est"," 23","Calgary",23,1,18,86,16,2,146,376
48002,"Calgary East/Calgary-Est"," 24","Calgary",18,4,23,107,25,1,178,366
48002,"Calgary East/Calgary-Est"," 25","Calgary",14,1,19,68,23,0,125,400
48002,"Calgary East/Calgary-Est"," 26","Calgary",5,1,30,60,21,1,118,428
48002,"Calgary East/Calgary-Est"," 27","Calgary",17,0,23,110,20,2,172,434
48002,"Calgary East/Calgary-Est"," 28","Calgary",13,0,18,97,17,0,145,443
48002,"Calgary East/Calgary-Est"," 29","Calgary",16,0,19,110,16,1,162,394
48002,"Calgary East/Calgary-Est"," 30","Calgary",7,2,19,110,24,0,162,398
48002,"Calgary East/Calgary-Est"," 31","Calgary",18,2,23,119,18,0,180,491
48002,"Calgary East/Calgary-Est"," 32","Calgary",16,4,14,119,15,1,169,421
48002,"Calgary East/Calgary-Est"," 33","Calgary",11,3,20,71,12,2,119,349
48002,"Calgary East/Calgary-Est"," 34","Calgary",14,1,19,134,14,1,183,455
48002,"Calgary East/Calgary-Est"," 35","Calgary",10,0,11,89,15,0,125,240
48002,"Calgary East/Calgary-Est"," 36","Calgary",10,0,10,83,10,0,113,279
48002,"Calgary East/Calgary-Est"," 37","Calgary",13,2,17,127,20,2,181,462
48002,"Calgary East/Calgary-Est"," 38","Calgary",12,3,30,105,15,0,165,436
48002,"Calgary East/Calgary-Est"," 39","Calgary",12,5,20,108,29,0,174,427
48002,"Calgary East/Calgary-Est"," 40","Calgary",12,2,20,109,14,2,159,446
48002,"Calgary East/Calgary-Est"," 41","Calgary",10,2,8,82,11,2,115,347
48002,"Calgary East/Calgary-Est"," 42","Calgary",7,0,23,106,17,0,153,395
48002,"Calgary East/Calgary-Est"," 43","Calgary",15,1,7,98,13,0,134,342
48002,"Calgary East/Calgary-Est"," 44","Calgary",9,0,14,86,11,0,120,327
48002,"Calgary East/Calgary-Est"," 45","Calgary",17,1,11,99,17,0,145,391
48002,"Calgary East/Calgary-Est"," 46","Calgary",10,0,18,91,19,0,138,377
48002,"Calgary East/Calgary-Est"," 47","Calgary",14,2,19,92,23,0,150,386
48002,"Calgary East/Calgary-Est"," 48","Calgary",19,2,16,97,20,1,155,407
