Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Della Drury,Sip Hofstede,Leila Houle,Aden Murphy,Brian Storseth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Westlock--St. Paul/Westlock--St. Paul"," 1","Jarvie",12,8,5,17,212,1,255,454
48025,"Westlock--St. Paul/Westlock--St. Paul"," 2","Fawcett",9,6,6,18,129,0,168,302
48025,"Westlock--St. Paul/Westlock--St. Paul"," 3","Gladwin",15,0,11,22,151,1,200,428
48025,"Westlock--St. Paul/Westlock--St. Paul"," 4","Jarvie",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 5","Shoal Creek",0,10,1,5,66,0,82,123
48025,"Westlock--St. Paul/Westlock--St. Paul"," 6","Pembina Heights",9,3,6,18,207,1,244,415
48025,"Westlock--St. Paul/Westlock--St. Paul"," 7","Pibroch",11,2,8,22,137,0,180,346
48025,"Westlock--St. Paul/Westlock--St. Paul"," 8","Tawatinaw",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 9","Clyde",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 10","Westlock",17,4,8,22,184,0,235,444
48025,"Westlock--St. Paul/Westlock--St. Paul"," 10-1A","Clyde",16,3,10,8,94,0,131,276
48025,"Westlock--St. Paul/Westlock--St. Paul"," 10-1B","Clyde",23,2,8,15,111,3,162,330
48025,"Westlock--St. Paul/Westlock--St. Paul"," 10-2","Clyde-Tawatinaw",18,2,6,20,155,1,202,375
48025,"Westlock--St. Paul/Westlock--St. Paul"," 11","Westlock",15,2,13,29,188,1,248,408
48025,"Westlock--St. Paul/Westlock--St. Paul"," 12","Westlock",13,3,11,23,118,0,168,300
48025,"Westlock--St. Paul/Westlock--St. Paul"," 13","Westlock",17,1,8,8,99,1,134,386
48025,"Westlock--St. Paul/Westlock--St. Paul"," 14","Westlock",12,0,19,21,180,0,232,498
48025,"Westlock--St. Paul/Westlock--St. Paul"," 15","Westlock",29,5,6,31,211,0,282,536
48025,"Westlock--St. Paul/Westlock--St. Paul"," 16","Westlock",24,2,14,24,130,0,194,430
48025,"Westlock--St. Paul/Westlock--St. Paul"," 17","Westlock",14,0,13,15,111,2,155,433
48025,"Westlock--St. Paul/Westlock--St. Paul"," 18","Westlock",24,3,3,8,100,0,138,329
48025,"Westlock--St. Paul/Westlock--St. Paul"," 19","Westlock",14,4,11,16,126,2,173,354
48025,"Westlock--St. Paul/Westlock--St. Paul"," 20","Westlock",6,3,6,22,199,2,238,423
48025,"Westlock--St. Paul/Westlock--St. Paul"," 21","Pickardville",29,3,19,25,219,0,295,559
48025,"Westlock--St. Paul/Westlock--St. Paul"," 22","Vimy",25,1,12,13,158,0,209,422
48025,"Westlock--St. Paul/Westlock--St. Paul"," 23","Waugh",19,1,14,16,98,0,148,318
48025,"Westlock--St. Paul/Westlock--St. Paul"," 24","Busby",26,5,8,7,173,0,219,384
48025,"Westlock--St. Paul/Westlock--St. Paul"," 25","Manawan Lake",12,3,10,7,69,0,101,183
48025,"Westlock--St. Paul/Westlock--St. Paul"," 26","Legal",19,4,26,20,151,0,220,437
48025,"Westlock--St. Paul/Westlock--St. Paul"," 27A","Legal",19,1,28,17,99,1,165,344
48025,"Westlock--St. Paul/Westlock--St. Paul"," 27B","Legal",10,2,17,18,89,0,136,294
48025,"Westlock--St. Paul/Westlock--St. Paul"," 28","Monnville",12,4,10,16,126,0,168,305
48025,"Westlock--St. Paul/Westlock--St. Paul"," 29","Alcomdale",24,1,8,20,172,0,225,375
48025,"Westlock--St. Paul/Westlock--St. Paul"," 30","Alexander 134",25,0,36,7,12,0,80,661
48025,"Westlock--St. Paul/Westlock--St. Paul"," 31A","Rivière Qui Barre",21,8,10,11,111,0,161,254
48025,"Westlock--St. Paul/Westlock--St. Paul"," 31B","Rivière Qui Barre",15,1,4,15,132,0,167,252
48025,"Westlock--St. Paul/Westlock--St. Paul"," 32","Morinville",19,8,22,17,161,1,228,459
48025,"Westlock--St. Paul/Westlock--St. Paul"," 33","Morinville",24,9,15,13,110,0,171,428
48025,"Westlock--St. Paul/Westlock--St. Paul"," 34","Morinville",22,1,14,17,96,0,150,380
48025,"Westlock--St. Paul/Westlock--St. Paul"," 35A","Morinville",32,2,20,16,147,1,218,393
48025,"Westlock--St. Paul/Westlock--St. Paul"," 35B","Morinville",31,1,13,11,148,0,204,389
48025,"Westlock--St. Paul/Westlock--St. Paul"," 36","Morinville",23,2,10,12,112,0,159,326
48025,"Westlock--St. Paul/Westlock--St. Paul"," 37A","Morinville",17,3,17,15,127,0,179,384
48025,"Westlock--St. Paul/Westlock--St. Paul"," 37B","Morinville",32,5,10,11,138,0,196,411
48025,"Westlock--St. Paul/Westlock--St. Paul"," 38","Morinville",52,5,23,18,156,0,254,486
48025,"Westlock--St. Paul/Westlock--St. Paul"," 39","Morinville",34,4,16,16,127,0,197,413
48025,"Westlock--St. Paul/Westlock--St. Paul"," 40","Morinville",33,5,8,12,140,1,199,430
48025,"Westlock--St. Paul/Westlock--St. Paul"," 41","Morinville",13,2,13,14,72,0,114,229
48025,"Westlock--St. Paul/Westlock--St. Paul"," 42","Morinville",37,1,16,14,123,0,191,428
48025,"Westlock--St. Paul/Westlock--St. Paul"," 43","Morinville",29,3,18,18,167,0,235,506
48025,"Westlock--St. Paul/Westlock--St. Paul"," 44","Cardiff",24,6,19,13,195,1,258,534
48025,"Westlock--St. Paul/Westlock--St. Paul"," 45","Cardiff",21,5,13,15,206,2,262,487
48025,"Westlock--St. Paul/Westlock--St. Paul"," 46","Cardiff",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 47","Calahoo",45,1,21,27,239,0,333,565
48025,"Westlock--St. Paul/Westlock--St. Paul"," 48","Calahoo",32,1,14,25,224,2,298,425
48025,"Westlock--St. Paul/Westlock--St. Paul"," 49A","Villeneuve",16,5,14,15,114,1,165,368
48025,"Westlock--St. Paul/Westlock--St. Paul"," 49B","Villeneuve",6,1,18,11,110,0,146,170
48025,"Westlock--St. Paul/Westlock--St. Paul"," 49C","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,34
48025,"Westlock--St. Paul/Westlock--St. Paul"," 50","Villeneuve",15,1,19,19,155,0,209,304
48025,"Westlock--St. Paul/Westlock--St. Paul"," 51","Volmer",10,0,11,10,152,0,183,288
48025,"Westlock--St. Paul/Westlock--St. Paul"," 52A","Sturgeon No. 90",15,1,12,11,178,1,218,412
48025,"Westlock--St. Paul/Westlock--St. Paul"," 52B","Sturgeon No. 90",17,2,13,8,133,1,174,365
48025,"Westlock--St. Paul/Westlock--St. Paul"," 53","Carbondale",19,0,4,7,139,1,170,291
48025,"Westlock--St. Paul/Westlock--St. Paul"," 54A","Excelsior",16,0,9,14,102,0,141,261
48025,"Westlock--St. Paul/Westlock--St. Paul"," 54B","Excelsior",20,0,18,10,111,0,159,263
48025,"Westlock--St. Paul/Westlock--St. Paul"," 55","St.Albert Settlement",7,0,16,11,102,0,136,190
48025,"Westlock--St. Paul/Westlock--St. Paul"," 56","Sturgeon No. 90",29,2,20,19,187,0,257,419
48025,"Westlock--St. Paul/Westlock--St. Paul"," 57","St.Albert Settlement",26,4,29,26,170,1,256,373
48025,"Westlock--St. Paul/Westlock--St. Paul"," 58","Lancaster Park",24,1,17,25,168,3,238,421
48025,"Westlock--St. Paul/Westlock--St. Paul"," 59","Lancaster Park",22,1,17,15,116,0,171,433
48025,"Westlock--St. Paul/Westlock--St. Paul"," 60","Lancaster Park",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 61","Waybrook",9,2,7,10,74,0,102,233
48025,"Westlock--St. Paul/Westlock--St. Paul"," 62","Bon Accord",12,7,16,12,117,0,164,249
48025,"Westlock--St. Paul/Westlock--St. Paul"," 63","Coronado",28,5,13,21,204,1,272,443
48025,"Westlock--St. Paul/Westlock--St. Paul"," 64","Redwater",13,4,13,12,113,0,155,256
48025,"Westlock--St. Paul/Westlock--St. Paul"," 65","Redwater",30,3,17,14,201,0,265,489
48025,"Westlock--St. Paul/Westlock--St. Paul"," 66","Redwater",31,2,12,4,103,0,152,336
48025,"Westlock--St. Paul/Westlock--St. Paul"," 67","Redwater",15,0,10,6,132,2,165,351
48025,"Westlock--St. Paul/Westlock--St. Paul"," 68","Redwater",28,3,18,10,123,0,182,359
48025,"Westlock--St. Paul/Westlock--St. Paul"," 69","Amelia",19,0,3,11,98,0,131,179
48025,"Westlock--St. Paul/Westlock--St. Paul"," 70","Gibbons",13,2,11,11,109,4,150,221
48025,"Westlock--St. Paul/Westlock--St. Paul"," 71","New Lunnon",19,1,14,10,152,1,197,295
48025,"Westlock--St. Paul/Westlock--St. Paul"," 72","Gibbons",17,1,8,13,91,0,130,276
48025,"Westlock--St. Paul/Westlock--St. Paul"," 73","Gibbons",28,0,16,8,112,0,164,327
48025,"Westlock--St. Paul/Westlock--St. Paul"," 74","Gibbons",26,2,10,16,103,0,157,344
48025,"Westlock--St. Paul/Westlock--St. Paul"," 75","Gibbons",29,0,13,19,99,1,161,292
48025,"Westlock--St. Paul/Westlock--St. Paul"," 76A","Gibbons",20,2,14,16,149,0,201,506
48025,"Westlock--St. Paul/Westlock--St. Paul"," 76B","Gibbons",31,0,18,13,127,1,190,488
48025,"Westlock--St. Paul/Westlock--St. Paul"," 77","Bon Accord",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 78","Bon Accord",42,2,13,18,155,0,230,457
48025,"Westlock--St. Paul/Westlock--St. Paul"," 79A","Bon Accord",45,2,18,14,93,2,174,376
48025,"Westlock--St. Paul/Westlock--St. Paul"," 79B","Bon Accord",27,0,10,13,121,0,171,379
48025,"Westlock--St. Paul/Westlock--St. Paul"," 80","Bon Accord",23,5,7,16,126,0,177,326
48025,"Westlock--St. Paul/Westlock--St. Paul"," 81","Duagh",16,1,9,4,108,0,138,168
48025,"Westlock--St. Paul/Westlock--St. Paul"," 82","Lamoureux",21,0,12,11,158,0,202,408
48025,"Westlock--St. Paul/Westlock--St. Paul"," 83","Abee",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 84","Alpen Siding",29,2,17,9,177,0,234,402
48025,"Westlock--St. Paul/Westlock--St. Paul"," 85","Newbrook",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 86","Hollow Lake",17,2,9,9,93,0,130,259
48025,"Westlock--St. Paul/Westlock--St. Paul"," 87","Weasel Creek",5,1,5,6,60,0,77,163
48025,"Westlock--St. Paul/Westlock--St. Paul"," 88","Thorhild",7,1,5,2,84,0,99,196
48025,"Westlock--St. Paul/Westlock--St. Paul"," 89","Thorhild",25,5,9,20,138,0,197,426
48025,"Westlock--St. Paul/Westlock--St. Paul"," 90","Thorhild",24,4,17,11,198,0,254,471
48025,"Westlock--St. Paul/Westlock--St. Paul"," 91","Fairydell",14,3,5,16,99,0,137,242
48025,"Westlock--St. Paul/Westlock--St. Paul"," 92","Egremont",18,0,11,8,113,1,151,438
48025,"Westlock--St. Paul/Westlock--St. Paul"," 93","Radway",24,14,12,15,155,1,221,364
48025,"Westlock--St. Paul/Westlock--St. Paul"," 94","Waskatenau",24,0,9,9,105,0,147,309
48025,"Westlock--St. Paul/Westlock--St. Paul"," 95","Warspite",11,4,7,7,92,0,121,274
48025,"Westlock--St. Paul/Westlock--St. Paul"," 96","Buffalo Lake Metis Settlement",26,1,39,10,36,2,114,425
48025,"Westlock--St. Paul/Westlock--St. Paul"," 97","Kikino",19,1,25,4,59,0,108,510
48025,"Westlock--St. Paul/Westlock--St. Paul"," 98","Kikino",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 99","Rich Lake",15,0,4,5,82,0,106,189
48025,"Westlock--St. Paul/Westlock--St. Paul"," 100","Spedden",10,1,13,12,146,1,183,313
48025,"Westlock--St. Paul/Westlock--St. Paul"," 101","Vilna",14,1,11,3,90,0,119,260
48025,"Westlock--St. Paul/Westlock--St. Paul"," 102","Vilna",13,0,13,7,88,0,121,267
48025,"Westlock--St. Paul/Westlock--St. Paul"," 103","Edwand",17,7,14,11,128,0,177,310
48025,"Westlock--St. Paul/Westlock--St. Paul"," 104","Smoky Lake",15,1,19,8,107,1,151,306
48025,"Westlock--St. Paul/Westlock--St. Paul"," 105","Smoky Lake",21,1,33,7,177,2,241,558
48025,"Westlock--St. Paul/Westlock--St. Paul"," 106","Victoria Settlement",5,0,6,10,87,1,109,263
48025,"Westlock--St. Paul/Westlock--St. Paul"," 107","Bellis",5,0,14,10,98,0,127,231
48025,"Westlock--St. Paul/Westlock--St. Paul"," 108","Stry",7,5,7,10,76,1,106,192
48025,"Westlock--St. Paul/Westlock--St. Paul"," 109","Saddle Lake 125",56,0,123,3,8,3,193,826
48025,"Westlock--St. Paul/Westlock--St. Paul"," 110A","La Corey",17,4,12,5,148,1,187,422
48025,"Westlock--St. Paul/Westlock--St. Paul"," 110B","La Corey",6,7,6,10,143,1,173,386
48025,"Westlock--St. Paul/Westlock--St. Paul"," 111","Fort Kent",8,2,12,13,179,0,214,395
48025,"Westlock--St. Paul/Westlock--St. Paul"," 112","Bonnyville",11,2,14,15,157,0,199,359
48025,"Westlock--St. Paul/Westlock--St. Paul"," 113","Bonnyville",8,0,9,4,143,2,166,327
48025,"Westlock--St. Paul/Westlock--St. Paul"," 114","Glendon",24,4,9,17,199,1,254,420
48025,"Westlock--St. Paul/Westlock--St. Paul"," 115","Glendon",25,3,3,7,140,0,178,349
48025,"Westlock--St. Paul/Westlock--St. Paul"," 116","St. Lina",25,2,20,6,180,0,233,442
48025,"Westlock--St. Paul/Westlock--St. Paul"," 117A","White Fish Lake 128",7,2,64,5,10,0,88,403
48025,"Westlock--St. Paul/Westlock--St. Paul"," 117B","White Fish Lake 128",14,0,73,4,12,0,103,348
48025,"Westlock--St. Paul/Westlock--St. Paul"," 118","Mallaig",12,6,28,15,184,1,246,391
48025,"Westlock--St. Paul/Westlock--St. Paul"," 119","St. Vincent",12,2,38,13,124,0,189,345
48025,"Westlock--St. Paul/Westlock--St. Paul"," 120","Beacon Corner",10,1,7,5,128,0,151,270
48025,"Westlock--St. Paul/Westlock--St. Paul"," 121","Hoselaw",4,0,6,4,114,0,128,238
48025,"Westlock--St. Paul/Westlock--St. Paul"," 122","Bonnyville Beach",18,3,28,18,302,2,371,726
48025,"Westlock--St. Paul/Westlock--St. Paul"," 123","Bonnyville",6,7,29,9,85,0,136,370
48025,"Westlock--St. Paul/Westlock--St. Paul"," 124","Bonnyville",18,5,14,10,103,2,152,541
48025,"Westlock--St. Paul/Westlock--St. Paul"," 125","Bonnyville",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 126","Bonnyville",18,3,25,16,188,2,252,780
48025,"Westlock--St. Paul/Westlock--St. Paul"," 127","Bonnyville",21,7,10,16,150,0,204,573
48025,"Westlock--St. Paul/Westlock--St. Paul"," 128","Bonnyville",14,1,1,6,90,0,112,326
48025,"Westlock--St. Paul/Westlock--St. Paul"," 129","Bonnyville",19,5,22,9,129,1,185,562
48025,"Westlock--St. Paul/Westlock--St. Paul"," 130","Bonnyville",18,0,20,8,140,0,186,485
48025,"Westlock--St. Paul/Westlock--St. Paul"," 131","Bonnyville",23,0,22,21,256,3,325,731
48025,"Westlock--St. Paul/Westlock--St. Paul"," 132","Kehiwin 123",23,0,63,1,64,0,151,563
48025,"Westlock--St. Paul/Westlock--St. Paul"," 133","Muriel Lake",15,2,14,12,210,0,253,605
48025,"Westlock--St. Paul/Westlock--St. Paul"," 134A","Happy Hollow",16,4,13,13,133,0,179,425
48025,"Westlock--St. Paul/Westlock--St. Paul"," 134B","Happy Hollow",13,3,9,11,121,0,157,385
48025,"Westlock--St. Paul/Westlock--St. Paul"," 135A","Cold Lake",11,1,13,8,151,0,184,401
48025,"Westlock--St. Paul/Westlock--St. Paul"," 135B","Cold Lake",9,3,15,10,152,0,189,398
48025,"Westlock--St. Paul/Westlock--St. Paul"," 136","Cold Lake",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 137A","Cold Lake",19,2,21,8,132,0,182,415
48025,"Westlock--St. Paul/Westlock--St. Paul"," 137B","Cold Lake",24,1,20,9,161,2,217,439
48025,"Westlock--St. Paul/Westlock--St. Paul"," 138","Cold Lake",14,4,15,14,151,0,198,473
48025,"Westlock--St. Paul/Westlock--St. Paul"," 139","Cold Lake",14,0,18,11,161,0,204,564
48025,"Westlock--St. Paul/Westlock--St. Paul"," 140","Cold Lake",6,0,8,5,70,0,89,239
48025,"Westlock--St. Paul/Westlock--St. Paul"," 141","Cold Lake",15,0,11,7,73,1,107,204
48025,"Westlock--St. Paul/Westlock--St. Paul"," 142","Cold Lake",5,1,9,10,121,0,146,338
48025,"Westlock--St. Paul/Westlock--St. Paul"," 142-1","Cold Lake",11,1,7,12,118,0,149,350
