Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Geoffrey Capp,Rick Casson,Michael Joseph Cormican,Mark Sandilands,Amanda Swagar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Lethbridge/Lethbridge"," 1","Barons",0,125,8,25,15,1,174,373
48019,"Lethbridge/Lethbridge"," 2","Iron Springs",2,22,7,3,4,0,38,232
48019,"Lethbridge/Lethbridge"," 3","Turin",9,63,4,4,6,1,87,198
48019,"Lethbridge/Lethbridge"," 4","Iron Springs",12,141,5,7,7,0,172,345
48019,"Lethbridge/Lethbridge"," 5","Keho",52,141,7,3,7,0,210,321
48019,"Lethbridge/Lethbridge"," 6","Nobleford",15,67,3,11,1,0,97,180
48019,"Lethbridge/Lethbridge"," 7","Nobleford",30,223,14,26,25,0,318,519
48019,"Lethbridge/Lethbridge"," 8","Monarch",55,175,9,21,18,0,278,413
48019,"Lethbridge/Lethbridge"," 9","Shaughnessy",55,162,14,21,12,0,264,475
48019,"Lethbridge/Lethbridge"," 10","Shaughnessy",16,140,8,26,12,2,204,428
48019,"Lethbridge/Lethbridge"," 11","Picture Butte",14,216,17,16,20,0,283,526
48019,"Lethbridge/Lethbridge"," 12","Picture Butte",9,115,10,7,10,1,152,288
48019,"Lethbridge/Lethbridge"," 13","Picture Butte",10,109,7,8,5,0,139,269
48019,"Lethbridge/Lethbridge"," 14","Coalhurst",25,175,8,19,11,1,239,376
48019,"Lethbridge/Lethbridge"," 14-1","Coalhurst",2,48,9,14,4,0,77,175
48019,"Lethbridge/Lethbridge"," 15A","Coalhurst",7,143,6,20,4,0,180,411
48019,"Lethbridge/Lethbridge"," 15B","Coalhurst",4,60,6,21,4,0,95,246
48019,"Lethbridge/Lethbridge"," 15-1","Coalhurst",2,101,10,22,4,0,139,247
48019,"Lethbridge/Lethbridge"," 16","Coalhurst",11,131,12,28,7,0,189,337
48019,"Lethbridge/Lethbridge"," 17","Diamond City",3,100,6,12,4,0,125,203
48019,"Lethbridge/Lethbridge"," 18","Broxburn",9,123,8,9,9,0,158,236
48019,"Lethbridge/Lethbridge"," 19","Coaldale",35,156,5,15,6,0,217,402
48019,"Lethbridge/Lethbridge"," 20","Tempest",42,117,9,8,12,1,189,323
48019,"Lethbridge/Lethbridge"," 21","Judson",1,13,0,0,1,0,15,197
48019,"Lethbridge/Lethbridge"," 22","Tempest",7,123,11,7,8,0,156,299
48019,"Lethbridge/Lethbridge"," 23","Wilson",13,180,13,36,10,1,253,465
48019,"Lethbridge/Lethbridge"," 24","Stewart",12,159,11,21,25,0,228,489
48019,"Lethbridge/Lethbridge"," 25","Coaldale",16,161,7,33,13,0,230,503
48019,"Lethbridge/Lethbridge"," 26","Coaldale",15,137,6,18,10,2,188,402
48019,"Lethbridge/Lethbridge"," 27","Coaldale",8,130,16,18,8,0,180,391
48019,"Lethbridge/Lethbridge"," 28","Coaldale",8,138,9,25,14,1,195,500
48019,"Lethbridge/Lethbridge"," 29","Coaldale",11,149,11,29,9,1,210,425
48019,"Lethbridge/Lethbridge"," 30","Coaldale",16,134,9,23,10,0,192,404
48019,"Lethbridge/Lethbridge"," 31","Coaldale",3,101,11,11,17,0,143,270
48019,"Lethbridge/Lethbridge"," 32","Coaldale",6,171,16,19,15,0,227,417
48019,"Lethbridge/Lethbridge"," 33","Coaldale",15,171,9,29,17,0,241,471
48019,"Lethbridge/Lethbridge"," 34","Coaldale",11,140,11,21,11,0,194,377
48019,"Lethbridge/Lethbridge"," 35A","Coaldale",8,142,10,17,6,0,183,337
48019,"Lethbridge/Lethbridge"," 35B","Coaldale",6,124,10,11,5,1,157,278
48019,"Lethbridge/Lethbridge"," 36A","Lethbridge",4,153,20,45,27,0,249,527
48019,"Lethbridge/Lethbridge"," 36B","Lethbridge",2,101,6,16,7,0,132,341
48019,"Lethbridge/Lethbridge"," 37","Lethbridge",0,129,22,18,9,1,179,428
48019,"Lethbridge/Lethbridge"," 37-1","Lethbridge",4,137,18,23,18,0,200,463
48019,"Lethbridge/Lethbridge"," 38A","Lethbridge",2,67,2,13,3,0,87,206
48019,"Lethbridge/Lethbridge"," 38B","Lethbridge",1,101,13,23,7,0,145,319
48019,"Lethbridge/Lethbridge"," 38-1","Lethbridge",3,115,7,14,9,1,149,443
48019,"Lethbridge/Lethbridge"," 39A","Lethbridge",3,125,7,17,9,1,162,344
48019,"Lethbridge/Lethbridge"," 39B","Lethbridge",0,104,10,22,10,2,148,347
48019,"Lethbridge/Lethbridge"," 40","Lethbridge",4,177,19,31,11,1,243,493
48019,"Lethbridge/Lethbridge"," 41","Lethbridge",2,123,19,27,7,1,179,385
48019,"Lethbridge/Lethbridge"," 42","Lethbridge",1,85,10,27,11,0,134,361
48019,"Lethbridge/Lethbridge"," 43","Lethbridge",4,153,14,35,21,1,228,485
48019,"Lethbridge/Lethbridge"," 44","Lethbridge",2,83,13,33,11,0,142,277
48019,"Lethbridge/Lethbridge"," 45","Lethbridge",4,108,13,26,13,0,164,387
48019,"Lethbridge/Lethbridge"," 46","Lethbridge",5,63,10,18,6,0,102,246
48019,"Lethbridge/Lethbridge"," 47","Lethbridge",2,58,8,20,4,0,92,274
48019,"Lethbridge/Lethbridge"," 48","Lethbridge",2,75,0,31,9,0,117,399
48019,"Lethbridge/Lethbridge"," 49","Lethbridge",0,76,8,20,16,0,120,435
48019,"Lethbridge/Lethbridge"," 50","Lethbridge",3,91,15,29,3,0,141,366
48019,"Lethbridge/Lethbridge"," 51","Lethbridge",3,102,16,24,10,0,155,376
48019,"Lethbridge/Lethbridge"," 52","Lethbridge",2,87,13,31,12,0,145,409
48019,"Lethbridge/Lethbridge"," 53","Lethbridge",4,160,15,26,13,2,220,489
