Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Abbott,Betty Aitchison,Ralph Moore,Leon R. Pendleton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59012,"Kootenay--Columbia/Kootenay--Columbia"," 1","Revelstoke",66,21,21,59,1,168,397
59012,"Kootenay--Columbia/Kootenay--Columbia"," 2","Revelstoke",110,20,19,61,1,211,468
59012,"Kootenay--Columbia/Kootenay--Columbia"," 3","Revelstoke",125,14,19,88,1,247,478
59012,"Kootenay--Columbia/Kootenay--Columbia"," 4","Revelstoke",120,36,26,48,0,230,456
59012,"Kootenay--Columbia/Kootenay--Columbia"," 5","Revelstoke",Void/Supprimé,,,,,,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 6","Revelstoke",53,16,22,61,0,152,311
59012,"Kootenay--Columbia/Kootenay--Columbia"," 7","Revelstoke",42,18,17,60,2,139,309
59012,"Kootenay--Columbia/Kootenay--Columbia"," 8","Revelstoke",55,20,17,37,0,129,284
59012,"Kootenay--Columbia/Kootenay--Columbia"," 9A","Revelstoke",52,21,22,47,1,143,278
59012,"Kootenay--Columbia/Kootenay--Columbia"," 9B","Revelstoke",50,21,41,52,0,164,289
59012,"Kootenay--Columbia/Kootenay--Columbia"," 10","Revelstoke",100,15,15,87,0,217,420
59012,"Kootenay--Columbia/Kootenay--Columbia"," 11","Revelstoke",72,29,20,54,0,175,398
59012,"Kootenay--Columbia/Kootenay--Columbia"," 12","Revelstoke",90,16,31,83,0,220,515
59012,"Kootenay--Columbia/Kootenay--Columbia"," 13","Revelstoke",93,17,9,42,0,161,343
59012,"Kootenay--Columbia/Kootenay--Columbia"," 14","Revelstoke",94,23,28,66,0,211,412
59012,"Kootenay--Columbia/Kootenay--Columbia"," 15","Revelstoke",94,32,23,45,0,194,356
59012,"Kootenay--Columbia/Kootenay--Columbia"," 16","Donald",94,24,50,50,1,219,387
59012,"Kootenay--Columbia/Kootenay--Columbia"," 17","McMurdo",57,13,29,51,0,150,319
59012,"Kootenay--Columbia/Kootenay--Columbia"," 18","Moberly",106,17,21,50,4,198,410
59012,"Kootenay--Columbia/Kootenay--Columbia"," 19","Golden",64,9,32,30,1,136,374
59012,"Kootenay--Columbia/Kootenay--Columbia"," 20","Golden",100,18,11,39,1,169,313
59012,"Kootenay--Columbia/Kootenay--Columbia"," 21","Golden",86,17,28,53,1,185,336
59012,"Kootenay--Columbia/Kootenay--Columbia"," 21-1","Golden",71,9,30,75,2,187,356
59012,"Kootenay--Columbia/Kootenay--Columbia"," 22","Golden",85,13,24,52,1,175,348
59012,"Kootenay--Columbia/Kootenay--Columbia"," 23A","Golden",89,9,20,43,0,161,350
59012,"Kootenay--Columbia/Kootenay--Columbia"," 23B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,7
59012,"Kootenay--Columbia/Kootenay--Columbia"," 24","Golden",100,22,11,34,2,169,297
59012,"Kootenay--Columbia/Kootenay--Columbia"," 25","Golden",71,15,12,34,0,132,310
59012,"Kootenay--Columbia/Kootenay--Columbia"," 26A","Golden",41,8,11,12,0,72,156
59012,"Kootenay--Columbia/Kootenay--Columbia"," 26B","Golden",69,9,17,32,0,127,280
59012,"Kootenay--Columbia/Kootenay--Columbia"," 26-1","Golden",Merged with No. 26A/Fusionné avec le nº 26A,,,,,,52
59012,"Kootenay--Columbia/Kootenay--Columbia"," 27","Glenogle",52,11,22,31,0,116,229
59012,"Kootenay--Columbia/Kootenay--Columbia"," 28","Yoho",15,15,28,20,0,78,141
59012,"Kootenay--Columbia/Kootenay--Columbia"," 29","Parson",88,7,10,25,0,130,206
59012,"Kootenay--Columbia/Kootenay--Columbia"," 30","Edgewood",67,14,31,71,1,184,317
59012,"Kootenay--Columbia/Kootenay--Columbia"," 31","Fauquier",45,5,13,53,0,116,164
59012,"Kootenay--Columbia/Kootenay--Columbia"," 32","Burton",83,23,27,65,2,200,308
59012,"Kootenay--Columbia/Kootenay--Columbia"," 33A","Brouse",43,8,18,38,0,107,222
59012,"Kootenay--Columbia/Kootenay--Columbia"," 33B","Brouse",59,9,13,33,0,114,235
59012,"Kootenay--Columbia/Kootenay--Columbia"," 34","Nakusp",62,11,14,42,1,130,255
59012,"Kootenay--Columbia/Kootenay--Columbia"," 35","Nakusp",86,27,18,53,0,184,341
59012,"Kootenay--Columbia/Kootenay--Columbia"," 36","Nakusp",106,18,16,77,0,217,400
59012,"Kootenay--Columbia/Kootenay--Columbia"," 37","Nakusp",101,17,11,56,1,186,343
59012,"Kootenay--Columbia/Kootenay--Columbia"," 38","Beaton",9,6,11,7,0,33,64
59012,"Kootenay--Columbia/Kootenay--Columbia"," 39","Meadow Creek",69,14,29,34,0,146,206
59012,"Kootenay--Columbia/Kootenay--Columbia"," 40","Brisco",52,11,16,32,0,111,206
59012,"Kootenay--Columbia/Kootenay--Columbia"," 41","Dry Gulch",79,5,17,16,0,117,288
59012,"Kootenay--Columbia/Kootenay--Columbia"," 42","Edgewater",171,18,26,51,1,267,481
59012,"Kootenay--Columbia/Kootenay--Columbia"," 43A","Radium Hot Springs",89,12,7,21,1,130,285
59012,"Kootenay--Columbia/Kootenay--Columbia"," 43B","Radium Hot Springs",101,18,17,23,1,160,328
59012,"Kootenay--Columbia/Kootenay--Columbia"," 44A","Panorama",76,15,21,31,2,145,267
59012,"Kootenay--Columbia/Kootenay--Columbia"," 44B","Panorama",90,19,33,24,0,166,275
59012,"Kootenay--Columbia/Kootenay--Columbia"," 45","Shuswap",40,2,4,9,0,55,99
59012,"Kootenay--Columbia/Kootenay--Columbia"," 46A","Invermere",67,15,19,24,0,125,234
59012,"Kootenay--Columbia/Kootenay--Columbia"," 46B","Invermere",71,9,23,18,0,121,245
59012,"Kootenay--Columbia/Kootenay--Columbia"," 47A","Invermere",127,20,33,41,0,221,361
59012,"Kootenay--Columbia/Kootenay--Columbia"," 47B","Invermere",127,19,20,42,0,208,369
59012,"Kootenay--Columbia/Kootenay--Columbia"," 48","Invermere",110,31,22,35,2,200,385
59012,"Kootenay--Columbia/Kootenay--Columbia"," 49A","Invermere",77,12,30,32,0,151,350
59012,"Kootenay--Columbia/Kootenay--Columbia"," 49B","Invermere",114,18,24,30,0,186,337
59012,"Kootenay--Columbia/Kootenay--Columbia"," 50A","Windermere",86,8,21,20,1,136,233
59012,"Kootenay--Columbia/Kootenay--Columbia"," 50B","Windermere",96,11,14,20,0,141,236
59012,"Kootenay--Columbia/Kootenay--Columbia"," 51","Windermere",88,11,34,26,0,159,257
59012,"Kootenay--Columbia/Kootenay--Columbia"," 52","Akisqnuk",9,2,7,26,0,44,70
59012,"Kootenay--Columbia/Kootenay--Columbia"," 53A","Fairmont",156,13,22,22,0,213,351
59012,"Kootenay--Columbia/Kootenay--Columbia"," 53B","Fairmont",132,24,19,33,0,208,355
59012,"Kootenay--Columbia/Kootenay--Columbia"," 54A","Canal Flats",111,2,7,31,0,151,290
59012,"Kootenay--Columbia/Kootenay--Columbia"," 54B","Canal Flats",105,13,9,33,1,161,289
59012,"Kootenay--Columbia/Kootenay--Columbia"," 55","Meadowbrook",120,15,31,42,2,210,399
59012,"Kootenay--Columbia/Kootenay--Columbia"," 56","Wasa",202,11,32,52,2,299,528
59012,"Kootenay--Columbia/Kootenay--Columbia"," 57","Skookumchuck",35,4,6,11,0,56,92
59012,"Kootenay--Columbia/Kootenay--Columbia"," 58","Elk Prairie",90,1,6,10,0,107,212
59012,"Kootenay--Columbia/Kootenay--Columbia"," 59","Elkford",116,3,12,27,0,158,293
59012,"Kootenay--Columbia/Kootenay--Columbia"," 60","Elkford",142,5,9,42,2,200,386
59012,"Kootenay--Columbia/Kootenay--Columbia"," 61","Elkford",93,5,8,37,2,145,286
59012,"Kootenay--Columbia/Kootenay--Columbia"," 62","Elkford",124,8,8,38,2,180,391
59012,"Kootenay--Columbia/Kootenay--Columbia"," 63","Elkford",133,5,13,31,0,182,342
59012,"Kootenay--Columbia/Kootenay--Columbia"," 64","Sparwood",111,8,6,22,0,147,309
59012,"Kootenay--Columbia/Kootenay--Columbia"," 65","Sparwood",98,4,17,24,0,143,307
59012,"Kootenay--Columbia/Kootenay--Columbia"," 66","Sparwood",102,12,3,23,1,141,308
59012,"Kootenay--Columbia/Kootenay--Columbia"," 66-1","Sparwood",100,18,13,50,2,183,394
59012,"Kootenay--Columbia/Kootenay--Columbia"," 67","Sparwood",114,8,10,39,2,173,332
59012,"Kootenay--Columbia/Kootenay--Columbia"," 68","Sparwood",138,11,18,33,0,200,421
59012,"Kootenay--Columbia/Kootenay--Columbia"," 69","Sparwood",111,4,9,31,0,155,358
59012,"Kootenay--Columbia/Kootenay--Columbia"," 70","Sparwood",135,11,8,47,0,201,370
59012,"Kootenay--Columbia/Kootenay--Columbia"," 71","Hosmer",123,6,18,39,0,186,344
59012,"Kootenay--Columbia/Kootenay--Columbia"," 72","Fernie Ski Hill--Cokato",91,13,24,31,0,159,308
59012,"Kootenay--Columbia/Kootenay--Columbia"," 73A","Fernie",53,14,18,28,0,113,256
59012,"Kootenay--Columbia/Kootenay--Columbia"," 73B","Fernie",64,7,13,28,0,112,272
59012,"Kootenay--Columbia/Kootenay--Columbia"," 74","Fernie",106,16,18,27,1,168,337
59012,"Kootenay--Columbia/Kootenay--Columbia"," 74-1","Fernie",87,23,20,54,0,184,329
59012,"Kootenay--Columbia/Kootenay--Columbia"," 75","Fernie",101,17,42,42,2,204,400
59012,"Kootenay--Columbia/Kootenay--Columbia"," 76A","Fernie",101,14,22,48,0,185,360
59012,"Kootenay--Columbia/Kootenay--Columbia"," 76B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,2
59012,"Kootenay--Columbia/Kootenay--Columbia"," 77","Fernie",92,12,37,51,3,195,374
59012,"Kootenay--Columbia/Kootenay--Columbia"," 78","Fernie",75,27,24,61,0,187,373
59012,"Kootenay--Columbia/Kootenay--Columbia"," 79","Fernie",119,22,41,64,2,248,418
59012,"Kootenay--Columbia/Kootenay--Columbia"," 80","Fernie",99,8,21,32,0,160,323
59012,"Kootenay--Columbia/Kootenay--Columbia"," 81","West Fernie",67,9,29,23,0,128,242
59012,"Kootenay--Columbia/Kootenay--Columbia"," 82","Fort Steele",83,10,10,10,1,114,177
59012,"Kootenay--Columbia/Kootenay--Columbia"," 83","St. Marys",3,7,5,46,0,61,131
59012,"Kootenay--Columbia/Kootenay--Columbia"," 84","Idlewild",Merged with No. 92/Fusionné avec le nº 92,,,,,,169
59012,"Kootenay--Columbia/Kootenay--Columbia"," 85","Gold Creek Northeast",149,12,14,37,0,212,442
59012,"Kootenay--Columbia/Kootenay--Columbia"," 86","Gold Creek Southwest",226,13,21,45,0,305,558
59012,"Kootenay--Columbia/Kootenay--Columbia"," 87","Moyie",96,13,13,24,0,146,255
59012,"Kootenay--Columbia/Kootenay--Columbia"," 88","Silver Creek--Hidden Valley",181,22,23,25,1,252,496
59012,"Kootenay--Columbia/Kootenay--Columbia"," 89","Jim Smith Lake",154,21,33,52,3,263,497
59012,"Kootenay--Columbia/Kootenay--Columbia"," 90","New Lake",151,12,9,18,2,192,427
59012,"Kootenay--Columbia/Kootenay--Columbia"," 91","Wycliffe",157,8,19,50,0,234,426
59012,"Kootenay--Columbia/Kootenay--Columbia"," 92","Standard Hill",141,12,13,35,0,201,277
59012,"Kootenay--Columbia/Kootenay--Columbia"," 93","Cranbrook",89,4,10,32,0,135,323
59012,"Kootenay--Columbia/Kootenay--Columbia"," 94","Cranbrook",118,11,15,56,0,200,436
59012,"Kootenay--Columbia/Kootenay--Columbia"," 95","Cranbrook",192,15,12,38,2,259,463
59012,"Kootenay--Columbia/Kootenay--Columbia"," 96","Cranbrook",140,13,15,51,0,219,434
59012,"Kootenay--Columbia/Kootenay--Columbia"," 97","Cranbrook",150,20,10,57,1,238,450
59012,"Kootenay--Columbia/Kootenay--Columbia"," 98","Cranbrook",120,13,17,58,0,208,439
59012,"Kootenay--Columbia/Kootenay--Columbia"," 99","Cranbrook",118,9,11,33,2,173,415
59012,"Kootenay--Columbia/Kootenay--Columbia"," 100","Cranbrook",152,16,21,46,0,235,417
59012,"Kootenay--Columbia/Kootenay--Columbia"," 101","Cranbrook",172,27,17,35,1,252,454
59012,"Kootenay--Columbia/Kootenay--Columbia"," 102","Cranbrook",228,19,15,45,0,307,510
59012,"Kootenay--Columbia/Kootenay--Columbia"," 103","Cranbrook",134,23,11,44,1,213,466
59012,"Kootenay--Columbia/Kootenay--Columbia"," 104","Cranbrook",131,19,12,50,0,212,437
59012,"Kootenay--Columbia/Kootenay--Columbia"," 105","Cranbrook",116,9,16,45,2,188,436
59012,"Kootenay--Columbia/Kootenay--Columbia"," 106","Cranbrook",115,21,5,68,1,210,437
59012,"Kootenay--Columbia/Kootenay--Columbia"," 107","Cranbrook",160,21,14,32,0,227,440
59012,"Kootenay--Columbia/Kootenay--Columbia"," 108","Cranbrook",157,20,11,68,0,256,485
59012,"Kootenay--Columbia/Kootenay--Columbia"," 109","Cranbrook",164,11,13,47,0,235,416
59012,"Kootenay--Columbia/Kootenay--Columbia"," 110","Cranbrook",96,11,10,48,0,165,373
59012,"Kootenay--Columbia/Kootenay--Columbia"," 111","Cranbrook",84,10,14,44,0,152,378
59012,"Kootenay--Columbia/Kootenay--Columbia"," 112","Cranbrook",139,14,14,44,0,211,407
59012,"Kootenay--Columbia/Kootenay--Columbia"," 113","Cranbrook",117,17,10,56,0,200,428
59012,"Kootenay--Columbia/Kootenay--Columbia"," 114","Cranbrook",100,7,22,51,0,180,459
59012,"Kootenay--Columbia/Kootenay--Columbia"," 115","Cranbrook",Void/Supprimé,,,,,,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 116","Cranbrook",145,15,19,64,0,243,578
59012,"Kootenay--Columbia/Kootenay--Columbia"," 117","Cranbrook",95,18,8,28,1,150,362
59012,"Kootenay--Columbia/Kootenay--Columbia"," 118","Cranbrook",124,5,23,40,1,193,441
59012,"Kootenay--Columbia/Kootenay--Columbia"," 119","Cranbrook",87,12,17,43,1,160,469
59012,"Kootenay--Columbia/Kootenay--Columbia"," 120","Cranbrook",170,22,8,58,2,260,529
59012,"Kootenay--Columbia/Kootenay--Columbia"," 121","Cranbrook",118,21,11,37,0,187,439
59012,"Kootenay--Columbia/Kootenay--Columbia"," 122","Cranbrook",183,13,15,47,0,258,510
59012,"Kootenay--Columbia/Kootenay--Columbia"," 123","Cranbrook",180,21,17,51,0,269,448
59012,"Kootenay--Columbia/Kootenay--Columbia"," 124","Cranbrook",164,7,14,51,1,237,568
59012,"Kootenay--Columbia/Kootenay--Columbia"," 125","Kimberley",136,20,29,63,0,248,464
59012,"Kootenay--Columbia/Kootenay--Columbia"," 126","Kimberley",120,15,18,48,0,201,400
59012,"Kootenay--Columbia/Kootenay--Columbia"," 127","Kimberley",110,16,14,59,1,200,363
59012,"Kootenay--Columbia/Kootenay--Columbia"," 128","Kimberley",104,19,27,59,0,209,402
59012,"Kootenay--Columbia/Kootenay--Columbia"," 129","Kimberley",106,8,25,75,0,214,393
59012,"Kootenay--Columbia/Kootenay--Columbia"," 130","Kimberley",96,18,39,72,1,226,416
59012,"Kootenay--Columbia/Kootenay--Columbia"," 131","Kimberley",72,21,25,51,0,169,333
59012,"Kootenay--Columbia/Kootenay--Columbia"," 132","Kimberley",74,5,24,54,1,158,288
