Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Fred Kress,Tom Lukiwski,Monica Lysack,Nicolas Stulberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 1","Davidson Rural",17,179,15,11,0,222,328
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 2","Davidson",18,113,25,9,2,167,283
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 3","Davidson",25,123,21,9,1,179,273
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 4","Davidson",18,96,10,2,0,126,201
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 5","Craik Rural",18,154,16,8,0,196,318
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 6","Craik",27,158,19,13,3,220,334
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 7","Chamberlain",6,92,8,3,0,109,142
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 8","Simpson",29,135,15,16,2,197,307
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 9","Imperial Rural",21,86,8,8,0,123,197
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 10","Imperial",23,116,14,5,0,158,240
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 11","Liberty",15,61,11,5,0,92,157
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 12","Holdfast",16,76,20,6,1,119,183
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 13","Dilke",27,124,18,12,0,181,241
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 14","Nokomis Rural",11,71,2,1,0,85,133
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 15","Nokomis",44,154,16,11,0,225,302
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 16","Semans",69,141,20,15,0,245,351
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 17","Govan Rural",11,71,5,3,0,90,150
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 18","Govan",33,87,12,1,0,133,177
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 19","Duval",17,78,7,7,0,109,165
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 20","Havelock",13,66,17,2,0,98,138
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 21","Strasbourg",32,122,14,4,0,172,300
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 22","Strasbourg",26,97,13,8,0,144,274
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 23","Strasbourg Rural",22,97,17,9,0,145,281
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 24","Bulyea",55,124,19,19,0,217,319
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 25","Earl Grey",78,124,31,17,0,250,412
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 26A","Silton",59,120,26,8,0,213,325
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 26B","Silton",43,105,26,11,0,185,291
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 27","Tugaske",15,74,8,6,0,103,133
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 28","Eyebrow",43,146,25,12,0,226,419
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 29","Marquis",17,95,10,8,0,130,202
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 30","Tuxford",43,142,16,9,0,210,342
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 31","Craven",34,112,43,20,1,210,367
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 32","Bethune Rural",26,100,18,3,0,147,225
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 33","Bethune",38,99,27,8,0,172,266
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 34","Regina Beach",46,149,48,18,0,261,402
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 35","Regina Beach",33,96,28,9,1,167,297
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 35-1","Regina Beach",41,100,28,9,0,178,278
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 36","Buena Vista",51,177,41,18,1,288,441
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 37","Disley",41,122,13,10,1,187,332
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 38","Craven Rural",40,143,36,10,1,230,427
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 39","Lumsden",49,116,45,9,0,219,329
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 40","Lumsden",71,111,37,15,0,234,409
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 41","Lumsden",80,156,35,21,0,292,501
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 42","Condie",60,215,47,20,0,342,567
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 43","Valleyview",13,96,18,14,0,141,195
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 44","Grand Coulee",36,117,33,20,0,206,360
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 45","Regina",98,84,32,12,0,226,476
