Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eleni Bakopanos,Alexandra Bélec,Maria Mourani,Jean Précourt,Lynette Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Ahuntsic/Ahuntsic"," 1","Montréal",35,17,96,15,9,2,174,315
24002,"Ahuntsic/Ahuntsic"," 2","Montréal",86,27,138,17,9,3,280,538
24002,"Ahuntsic/Ahuntsic"," 3","Montréal",57,18,128,23,10,2,238,382
24002,"Ahuntsic/Ahuntsic"," 4","Montréal",104,24,96,23,6,4,257,407
24002,"Ahuntsic/Ahuntsic"," 5","Montréal",85,28,99,26,7,3,248,421
24002,"Ahuntsic/Ahuntsic"," 6","Montréal",88,19,85,32,6,1,231,358
24002,"Ahuntsic/Ahuntsic"," 7","Montréal",95,15,44,27,11,0,192,338
24002,"Ahuntsic/Ahuntsic"," 8","Montréal",104,23,83,31,7,4,252,369
24002,"Ahuntsic/Ahuntsic"," 9","Montréal",65,20,102,18,11,2,218,309
24002,"Ahuntsic/Ahuntsic"," 10","Montréal",55,15,100,27,5,0,202,356
24002,"Ahuntsic/Ahuntsic"," 11","Montréal",57,25,102,23,7,3,217,466
24002,"Ahuntsic/Ahuntsic"," 12","Montréal",76,24,110,18,7,3,238,401
24002,"Ahuntsic/Ahuntsic"," 13","Montréal",59,17,97,39,6,0,218,367
24002,"Ahuntsic/Ahuntsic"," 14","Montréal",83,24,110,19,4,3,243,400
24002,"Ahuntsic/Ahuntsic"," 15","Montréal",58,15,69,12,11,3,168,356
24002,"Ahuntsic/Ahuntsic"," 16","Montréal",40,18,79,6,4,0,147,249
24002,"Ahuntsic/Ahuntsic"," 17","Montréal",71,23,117,14,6,3,234,363
24002,"Ahuntsic/Ahuntsic"," 18","Montréal",93,23,86,25,7,3,237,327
24002,"Ahuntsic/Ahuntsic"," 19","Montréal",84,19,87,25,7,3,225,372
24002,"Ahuntsic/Ahuntsic"," 20","Montréal",106,21,72,33,3,2,237,419
24002,"Ahuntsic/Ahuntsic"," 21","Montréal",79,10,19,12,4,3,127,283
24002,"Ahuntsic/Ahuntsic"," 22","Montréal",104,6,12,23,5,3,153,374
24002,"Ahuntsic/Ahuntsic"," 23","Montréal",154,19,77,35,15,9,309,519
24002,"Ahuntsic/Ahuntsic"," 24","Montréal",117,22,42,31,8,5,225,352
24002,"Ahuntsic/Ahuntsic"," 25","Montréal",58,19,35,18,9,4,143,292
24002,"Ahuntsic/Ahuntsic"," 26","Montréal",107,20,34,20,5,0,186,346
24002,"Ahuntsic/Ahuntsic"," 27","Montréal",101,14,38,35,9,0,197,388
24002,"Ahuntsic/Ahuntsic"," 28","Montréal",100,13,30,14,6,3,166,322
24002,"Ahuntsic/Ahuntsic"," 29","Montréal",82,17,88,35,13,12,247,524
24002,"Ahuntsic/Ahuntsic"," 30","Montréal",59,21,72,14,1,4,171,410
24002,"Ahuntsic/Ahuntsic"," 31","Montréal",91,16,73,17,8,3,208,350
24002,"Ahuntsic/Ahuntsic"," 32","Montréal",60,35,87,16,6,3,207,371
24002,"Ahuntsic/Ahuntsic"," 33","Montréal",90,21,53,12,11,2,189,373
24002,"Ahuntsic/Ahuntsic"," 34","Montréal",83,27,104,25,5,10,254,469
24002,"Ahuntsic/Ahuntsic"," 35","Montréal",35,20,105,7,8,2,177,351
24002,"Ahuntsic/Ahuntsic"," 36","Montréal",66,22,98,14,5,0,205,327
24002,"Ahuntsic/Ahuntsic"," 37","Montréal",67,26,85,11,6,2,197,332
24002,"Ahuntsic/Ahuntsic"," 38","Montréal",73,31,128,21,4,1,258,471
24002,"Ahuntsic/Ahuntsic"," 39","Montréal",Void/Supprimé,,,,,,,
24002,"Ahuntsic/Ahuntsic"," 40","Montréal",52,26,100,23,4,2,207,434
24002,"Ahuntsic/Ahuntsic"," 41","Montréal",51,25,140,12,4,0,232,353
24002,"Ahuntsic/Ahuntsic"," 42","Montréal",68,25,135,22,12,0,262,381
24002,"Ahuntsic/Ahuntsic"," 43","Montréal",94,15,96,16,4,1,226,344
24002,"Ahuntsic/Ahuntsic"," 44","Montréal",69,29,101,13,7,3,222,336
24002,"Ahuntsic/Ahuntsic"," 45","Montréal",83,20,128,34,11,4,280,434
24002,"Ahuntsic/Ahuntsic"," 46","Montréal",81,11,114,48,3,5,262,323
24002,"Ahuntsic/Ahuntsic"," 47","Montréal",87,14,77,37,4,8,227,379
