Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ernest Oliver Rathwell,Scott Reid,David Remington,Chris Walker,Sandra Willard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 1","Weslemkoon",0,10,2,1,1,0,14,19
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 2","Denbigh--Abinger--Ashby",0,114,32,6,23,2,177,330
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 3","Vennachar",1,49,17,10,11,1,89,245
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 4","Massanoga",1,106,49,15,17,0,188,430
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 5","Flinton",2,121,39,8,37,0,207,463
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 6","Northbrook",0,118,22,7,52,1,200,517
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 7","Kaladar",1,67,13,5,17,0,103,207
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 8","North Frontenac",1,54,27,9,13,0,104,214
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 9","North Frontenac",1,92,23,7,15,0,138,223
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 10","North Frontenac",0,60,24,9,14,0,107,166
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 11","North Frontenac",0,98,18,14,20,0,150,313
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 12","North Frontenac",2,102,25,22,11,0,162,280
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 13","Kennebec",1,98,44,11,25,0,179,344
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 14","Arden",1,130,40,12,35,0,218,395
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 15","Olden",1,91,38,4,35,0,169,400
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 16","Oconto",1,62,27,7,17,0,114,254
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 17","Oso",0,49,34,6,16,1,106,292
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 18","Sharbot Lake",2,61,55,13,17,1,149,384
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 18-1","Central Frontenac",0,16,7,4,5,1,33,95
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 19","Crow Lake",1,74,55,13,15,2,160,397
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 20","Hinchinbrooke",1,45,26,11,23,0,106,248
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 21","Parham",2,140,53,14,30,0,239,439
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 22","Godfrey",0,128,55,13,37,0,233,434
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 23","Lanark",1,71,21,10,8,0,111,164
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 24","French Line",2,109,8,9,17,0,145,285
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 25","Lloyd",1,165,31,27,15,0,239,446
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 26","Lanark Highlands",1,113,11,27,14,2,168,346
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 26-1","Lanark Highlands",0,69,13,6,14,0,102,256
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 27","Hopetown",0,103,20,28,9,1,161,374
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 28","Lanark Highlands",1,98,32,21,26,1,179,405
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 29","Lanark Highlands",1,60,12,7,19,0,99,233
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 30","Clyde Forks",0,68,7,4,8,0,87,178
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 31","Watson's Corners",3,127,20,34,18,0,202,376
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 31-1","Lanark Highlands",0,27,3,12,7,0,49,164
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 32","Dalhousie Lake",1,95,23,9,8,0,136,248
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 33","North Sherbrooke",2,164,30,51,35,0,282,454
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 34","Fallbrook",4,94,11,28,14,0,151,412
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 35","Harper",1,140,35,24,26,1,227,381
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 36","Brooke",4,79,19,30,15,0,147,282
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 37","Glen Tay",1,121,27,17,8,0,174,363
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 38","Christie Lake",0,57,14,17,10,0,98,168
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 39","Scotch Line",1,136,51,28,16,0,232,418
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 40","Stanleyville",1,96,28,5,10,0,140,227
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 41","Elm Grove--Narrows Locks",0,121,48,20,12,0,201,347
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 41-1","Narrows Locks",0,134,48,38,17,1,238,460
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 42","Maberly",4,159,48,50,36,0,297,534
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 42-1","Tay Valley",2,71,19,15,11,0,118,199
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 43","Ashton Station",0,84,24,17,10,0,135,270
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 44","Ashton Station",1,145,41,22,16,1,226,440
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 45","Prospect",0,101,22,16,12,0,151,273
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 45-1","Beckwith",2,103,32,13,16,0,166,302
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 46","Beckwith",1,168,31,25,33,0,258,436
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 46-1","Franktown",0,110,27,17,21,0,175,344
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 47","Carleton Place",2,102,20,15,13,0,152,291
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 48","Blacks Corners",0,163,33,18,19,0,233,400
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 48-1","Blacks Corners",4,176,47,20,37,1,285,542
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 49","McDiarmid's Shore",1,93,20,9,17,0,140,314
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 50","Beckwith",1,130,22,17,15,0,185,384
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 51","Beckwith",1,103,26,8,8,0,146,292
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 51-1","Beckwith",0,109,22,15,9,0,155,275
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 52","Coleman's Shore",1,104,26,16,24,0,171,341
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 52-1","Beckwith",0,77,14,8,12,0,111,237
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 53","Innisville",5,175,34,20,26,1,261,513
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 54","Montague",3,155,50,25,19,1,253,452
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 55","Numogate",2,106,15,10,30,0,163,338
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 56","Nolans Corners",2,165,31,17,46,0,261,423
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 57","Kilmarnock",2,98,17,12,27,0,156,324
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 58","Numogate",1,70,8,6,20,0,105,206
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 59","Montague",1,102,19,9,19,0,150,344
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 60","Montague",0,94,13,2,16,0,125,318
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 61","Ferguson Falls",1,164,36,30,18,0,249,470
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 62","McNaughton Shore",4,139,24,19,23,0,209,399
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 63","Drummond",0,80,13,10,14,0,117,257
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 64","Glenview",3,163,39,16,27,2,250,404
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 65","North Elmsley",1,117,26,11,29,0,184,442
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 66","Armstrongs Corners",2,143,32,18,15,0,210,429
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 66-1","Drummond Centre",1,50,8,4,7,0,70,147
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 67","Drummond",1,116,17,12,16,0,162,353
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 68","Port Elmsley",1,129,19,20,17,0,186,355
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 68-1","Drummond/North Elmsley",1,89,26,16,20,1,153,226
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 69","North Elmsley",0,155,49,19,24,0,247,500
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 70","Elmgrove",2,117,58,57,17,1,252,445
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 71","Elmgrove",2,108,33,28,22,0,193,329
