Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Bocking,Mike Gildersleeve,Randy Kamp,Jeff Monds,Evans Nicholson,Dan Olson,Chum Richardson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 1","Dewdney",63,18,79,2,3,12,1,0,178,363
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 2A","Dewdney",48,8,109,0,0,15,1,0,181,320
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 2B","Dewdney",42,18,93,1,0,7,1,1,163,282
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 3","Pitt Meadows",54,20,107,1,0,22,0,0,204,401
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 4","Pitt Meadows",43,6,102,4,0,28,0,0,183,349
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 5A","Pitt Meadows",36,15,106,1,1,16,0,1,176,389
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 5B","Pitt Meadows",45,8,94,2,0,19,0,0,168,343
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 6","Pitt Meadows",45,7,81,1,0,5,0,1,140,253
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 6-1","Pitt Meadows",75,24,118,3,3,10,0,1,234,514
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 7","Pitt Meadows",67,13,119,1,1,20,0,1,222,384
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 8","Pitt Meadows",46,10,89,0,0,8,0,0,153,282
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 8-1","Pitt Meadows",59,18,94,2,0,15,0,0,188,374
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 9","Pitt Meadows",85,11,122,1,2,14,0,0,235,364
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 10A","Pitt Meadows",57,12,88,1,0,5,1,0,164,273
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 10B","Pitt Meadows",44,7,104,0,0,7,1,2,165,283
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 11","Pitt Meadows",64,13,64,1,0,10,1,0,153,394
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 12A","Pitt Meadows",48,13,56,1,0,8,0,0,126,314
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 12B","Pitt Meadows",49,8,57,1,0,7,0,0,122,292
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 13","Pitt Meadows",62,11,105,0,2,10,1,0,191,396
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 14","Pitt Meadows",85,17,152,1,0,15,1,0,271,472
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 15","Pitt Meadows",115,19,119,1,0,21,1,0,276,535
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 16","Pitt Meadows",Void/Supprimé,,,,,,,,,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 17","Pitt Meadows",104,36,102,0,0,15,0,0,257,493
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 18","Pitt Meadows",94,25,108,3,0,14,0,1,245,423
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 19","Pitt Meadows",83,15,108,3,0,14,0,1,224,326
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 20","Pitt Meadows",83,15,104,2,3,16,0,0,223,424
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 20-1","Pitt Meadows",39,6,68,4,0,11,1,1,130,231
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 21","Pitt Meadows",79,24,120,4,0,22,1,1,251,437
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 22","Pitt Meadows",82,20,111,4,1,19,2,4,243,480
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 23","Pitt Meadows",73,12,124,0,0,19,0,0,228,375
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 24","Pitt Meadows",47,6,85,3,1,11,0,0,153,273
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 24-1A","Pitt Meadows",53,20,104,1,0,23,0,0,201,366
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 24-1B","Pitt Meadows",70,30,105,1,0,12,0,0,218,383
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 25","Pitt Meadows",65,17,115,0,0,20,2,0,219,340
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 25-1","Pitt Meadows",52,15,154,1,0,22,1,2,247,540
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 26","Maple Ridge",54,17,108,1,0,4,0,0,184,298
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 26-1","Maple Ridge",90,19,166,0,0,14,0,0,289,552
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 27","Maple Ridge",Void/Supprimé,,,,,,,,,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 28","Maple Ridge",44,28,95,1,0,17,0,0,185,353
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 29","Maple Ridge",68,19,147,3,1,24,1,0,263,453
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 30","Maple Ridge",73,24,182,0,0,27,0,0,306,503
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 30-1","Maple Ridge",50,15,132,0,1,14,1,0,213,401
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 31","Maple Ridge",43,13,93,1,1,17,0,0,168,281
