Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joel E. Bernard,Bill Casey,Karen Olsson,Tracy Parsons,Rick Simpson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 70","Westchester Valley",8,136,11,6,4,0,165,232
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 71","Bayhead",11,129,34,7,1,1,183,381
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 72","Tatamagouche",5,76,10,19,2,0,112,320
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 73","Tatamagouche",5,68,5,14,0,0,92,193
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 74","Brûlé",16,137,18,14,3,0,188,355
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 75","Waughs River",16,94,17,17,0,1,145,255
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 76","Balfron",11,116,24,11,1,0,163,374
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 77","West New Annan",6,76,9,9,0,0,100,220
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 78","East New Annan",6,33,7,7,1,0,54,103
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 79","North Earltown",8,129,24,19,0,0,180,331
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 80","West Advocate",22,199,26,16,5,0,268,400
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 81","Port Greville",18,101,7,8,1,0,135,192
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 82","Halfway River",3,63,3,5,0,0,74,121
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 83","Diligent River",12,82,10,8,0,0,112,182
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 84","Parrsboro",15,146,28,18,2,1,210,413
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 85","Parrsboro",14,109,24,15,2,1,165,307
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 86","Parrsboro",6,71,10,7,2,0,96,177
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 87","Parrsboro",8,117,15,12,2,2,156,300
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 88","Moose River",13,147,10,7,2,0,179,313
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 89","Southampton",7,85,3,9,1,2,107,269
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 90","Five Islands",6,124,28,19,7,0,184,299
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 91","Economy",14,125,19,17,0,0,175,299
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 92","Bass River",15,167,36,22,4,0,244,426
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 93","Portapique",9,95,16,9,2,0,131,235
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 94","Londonderry",12,68,27,6,2,1,116,204
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 95","Londonderry",5,82,21,9,2,1,120,228
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 96","Debert",16,104,24,5,4,0,153,283
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 97","Glenholme",32,138,25,20,0,1,216,397
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 98","Great Village",11,81,16,9,1,0,118,222
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 99","Glenholme",6,151,23,11,1,0,192,318
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 100","Lower Debert",12,131,18,16,1,0,178,346
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 100-1","Lower Debert",11,39,15,5,0,0,70,178
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 101","Masstown",12,87,14,10,1,0,124,222
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 102","Lower Onslow",14,115,23,16,2,1,171,278
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 103","Belmont",19,142,25,11,3,0,200,419
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 104A","Belmont",6,54,35,3,1,0,99,233
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 104B","Belmont",5,85,27,10,1,0,128,271
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 105A","Belmont",5,72,20,9,0,0,106,247
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 105B","Belmont",10,58,19,12,0,1,100,253
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 106A","Upper North River",11,75,21,6,0,0,113,231
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 106B","Upper North River",5,101,37,11,1,1,156,287
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 107","North River",12,73,23,6,1,0,115,232
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 108","North River",16,145,43,23,3,1,231,476
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 109","Belmont",3,41,4,8,0,0,56,130
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 110","Central Onslow",18,136,20,22,0,0,196,363
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 111","Upper Onslow",7,81,22,9,0,1,120,260
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 112","Upper Onslow",4,74,15,24,0,0,117,220
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 113","Brookside",11,93,40,17,1,0,162,294
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 114","Brookside",15,49,11,3,0,0,78,126
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 115","Valley Cross Roads",26,138,22,24,1,1,212,332
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 116","Valley",41,197,32,31,0,2,303,473
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 117","Valley",15,184,23,15,0,0,237,361
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 118","Valley",17,132,30,8,1,0,188,403
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 119","Valley",13,76,16,12,0,0,117,232
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 120","East Mountain",21,161,42,23,1,0,248,503
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 121","Kemptown",10,72,9,8,0,0,99,175
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 122","Clifton",15,148,28,14,1,0,206,358
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 123","Lower Truro",17,205,33,30,1,3,289,472
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 124","Truro Heights",25,110,37,15,1,0,188,446
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 125","Truro Heights",23,48,12,4,3,0,90,241
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 126","Truro Heights",14,104,19,14,0,0,151,321
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 127","Hilden",6,82,18,7,1,0,114,215
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 127-1","Hilden",20,116,22,8,0,0,166,313
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 128","Hilden",17,128,32,11,0,0,188,367
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 129","Brookfield",15,118,30,11,3,2,179,322
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 130","Truro",18,116,33,11,0,0,178,301
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 131","Harmony",31,133,34,10,2,0,210,399
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 132","Greenfield",29,137,33,11,0,2,212,389
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 133","Greenfield",14,89,15,8,1,0,127,279
