Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joel E. Bernard,Bill Casey,Karen Olsson,Tracy Parsons,Rick Simpson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 166","Bible Hill",16,109,26,17,2,4,174,395
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 167","Bible Hill",8,32,8,2,0,1,51,94
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 167-1","Bible Hill",25,156,30,23,3,1,238,576
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 168","Bible Hill",17,104,14,16,0,0,151,312
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 169","Bible Hill",38,204,31,21,2,1,297,472
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 170","Bible Hill",40,198,23,28,0,1,290,488
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 171","Bible Hill",26,148,33,22,3,1,233,466
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 172","Salmon River",24,173,34,11,0,1,243,485
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 173","Salmon River",19,163,22,21,1,1,227,419
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 174","Salmon River",23,126,28,12,1,0,190,405
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 175","Salmon River",16,138,33,13,1,0,201,424
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 176","Eastville",14,85,13,4,1,0,117,208
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 177","Upper Stewiacke",26,117,29,13,1,2,188,333
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 178","Meadowvale",20,50,6,7,0,0,83,172
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 179","Middle Stewiacke",19,153,25,23,0,0,220,369
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 180","Brookfield",21,110,23,13,3,0,170,362
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 181","Brookfield",38,170,34,15,2,0,259,388
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 182","Brookfield",12,75,17,11,1,1,117,256
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 183","Brookfield",29,152,23,19,0,3,226,410
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 184","Fort Ellis",20,94,17,10,0,1,142,252
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 185","Stewiacke East",13,67,13,4,0,0,97,201
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 186","Wittenburg",13,74,31,4,0,1,123,236
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 187","Shubenacadie East",12,75,47,9,2,0,145,304
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 188","Shubenacadie East",22,98,34,21,5,0,180,337
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 189","Stewiacke",23,103,16,9,2,1,154,300
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 190","Stewiacke",22,99,36,20,1,1,179,331
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 191","Stewiacke",6,45,21,2,0,0,74,148
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 192","Stewiacke",31,154,42,17,3,0,247,448
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 193","Dean",13,66,16,6,2,0,103,184
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 194","Upper Musquodoboit",8,57,23,6,1,1,96,193
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 195","Upper Musquodoboit",31,83,30,8,0,0,152,317
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 196","Middle Musquodoboit",24,88,11,12,1,0,136,260
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 197","Middle Musquodoboit",9,62,15,6,1,0,93,213
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 198","Middle Musquodoboit",13,84,3,5,1,1,107,180
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 199","Chaswood",27,72,20,5,1,0,125,257
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 200","Cooks Brook",34,77,36,15,2,0,164,322
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 201","Elderbank",28,52,15,6,1,0,102,174
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 202","Meaghers Grant",24,117,30,12,1,0,184,310
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 203","Porters Lake",Void/Supprimé,,,,,,,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 204","Dutch Settlement",19,55,42,15,0,0,131,274
