Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura M. Bisaillon,Tom DeBlois,Baird Judson,Shawn Murphy,Brian Pollard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11002,"Charlottetown/Charlottetown"," 1","Charlottetown",21,103,0,141,44,8,317,546
11002,"Charlottetown/Charlottetown"," 2","Charlottetown",14,83,1,94,20,3,215,355
11002,"Charlottetown/Charlottetown"," 3","Charlottetown",12,96,2,86,41,1,238,397
11002,"Charlottetown/Charlottetown"," 4","Charlottetown",14,66,2,80,38,0,200,437
11002,"Charlottetown/Charlottetown"," 5","Charlottetown",8,67,0,73,23,2,173,328
11002,"Charlottetown/Charlottetown"," 6","Charlottetown",6,64,3,75,28,1,177,307
11002,"Charlottetown/Charlottetown"," 7","Charlottetown",9,69,2,98,25,6,209,389
11002,"Charlottetown/Charlottetown"," 8","Charlottetown",6,46,0,92,42,3,189,331
11002,"Charlottetown/Charlottetown"," 9","Charlottetown",8,51,2,59,43,2,165,362
11002,"Charlottetown/Charlottetown"," 10","Charlottetown",11,94,0,109,56,1,271,491
11002,"Charlottetown/Charlottetown"," 11","Charlottetown",7,79,2,107,40,0,235,373
11002,"Charlottetown/Charlottetown"," 12","Charlottetown",12,68,1,103,28,0,212,384
11002,"Charlottetown/Charlottetown"," 13","Charlottetown",6,83,1,116,26,1,233,358
11002,"Charlottetown/Charlottetown"," 14","Charlottetown",12,74,0,98,22,1,207,334
11002,"Charlottetown/Charlottetown"," 15","Charlottetown",9,86,1,110,20,1,227,370
11002,"Charlottetown/Charlottetown"," 16","Charlottetown",9,62,1,116,30,0,218,374
11002,"Charlottetown/Charlottetown"," 17","Charlottetown",7,69,3,75,30,2,186,365
11002,"Charlottetown/Charlottetown"," 18","Charlottetown",8,65,0,81,22,4,180,377
11002,"Charlottetown/Charlottetown"," 19","Charlottetown",10,88,1,128,35,2,264,405
11002,"Charlottetown/Charlottetown"," 20","Charlottetown",8,69,3,77,7,0,164,285
11002,"Charlottetown/Charlottetown"," 21","Charlottetown",9,52,2,58,24,0,145,298
11002,"Charlottetown/Charlottetown"," 22","Charlottetown",5,42,2,51,12,1,113,205
11002,"Charlottetown/Charlottetown"," 23","Charlottetown",4,55,1,52,27,0,139,257
11002,"Charlottetown/Charlottetown"," 24","Charlottetown",10,92,1,122,40,0,265,498
11002,"Charlottetown/Charlottetown"," 25","Charlottetown",9,77,0,100,15,0,201,297
11002,"Charlottetown/Charlottetown"," 26","Charlottetown",12,98,1,113,36,0,260,435
11002,"Charlottetown/Charlottetown"," 27","Charlottetown",7,78,3,85,13,1,187,286
11002,"Charlottetown/Charlottetown"," 28","Charlottetown",8,71,4,112,20,2,217,384
11002,"Charlottetown/Charlottetown"," 29","Charlottetown",9,43,1,48,28,2,131,291
11002,"Charlottetown/Charlottetown"," 30","Charlottetown",15,82,0,73,57,2,229,492
11002,"Charlottetown/Charlottetown"," 31","Charlottetown",8,64,2,105,21,1,201,382
11002,"Charlottetown/Charlottetown"," 32","Charlottetown",11,53,0,77,22,0,163,325
11002,"Charlottetown/Charlottetown"," 33","Charlottetown",3,47,2,94,30,1,177,334
11002,"Charlottetown/Charlottetown"," 34","Charlottetown",6,82,0,153,30,0,271,394
11002,"Charlottetown/Charlottetown"," 35","Charlottetown",9,51,4,114,11,3,192,327
11002,"Charlottetown/Charlottetown"," 36","Charlottetown",7,74,1,114,20,1,217,320
11002,"Charlottetown/Charlottetown"," 37","Charlottetown",3,60,0,114,36,1,214,386
11002,"Charlottetown/Charlottetown"," 38","Charlottetown",6,46,1,71,21,1,146,270
11002,"Charlottetown/Charlottetown"," 39","Charlottetown",5,80,4,86,21,1,197,356
11002,"Charlottetown/Charlottetown"," 40","Charlottetown",4,89,5,110,23,3,234,392
11002,"Charlottetown/Charlottetown"," 41","Charlottetown",12,84,1,90,25,0,212,354
11002,"Charlottetown/Charlottetown"," 42","Charlottetown",7,50,1,78,26,2,164,375
11002,"Charlottetown/Charlottetown"," 43","Charlottetown",6,53,0,102,29,1,191,359
11002,"Charlottetown/Charlottetown"," 44","Charlottetown",6,43,2,78,16,2,147,337
11002,"Charlottetown/Charlottetown"," 45","Charlottetown",8,74,1,80,14,1,178,345
11002,"Charlottetown/Charlottetown"," 46","Charlottetown",12,53,1,82,16,5,169,352
11002,"Charlottetown/Charlottetown"," 47","Charlottetown",5,60,2,104,35,1,207,446
11002,"Charlottetown/Charlottetown"," 48","Charlottetown",12,54,3,98,40,0,207,360
11002,"Charlottetown/Charlottetown"," 49","Charlottetown",11,29,0,57,22,1,120,293
11002,"Charlottetown/Charlottetown"," 50","Charlottetown",13,27,2,86,27,0,155,322
11002,"Charlottetown/Charlottetown"," 51","Charlottetown",7,57,1,91,27,0,183,331
11002,"Charlottetown/Charlottetown"," 52","Charlottetown",15,29,1,81,23,2,151,336
11002,"Charlottetown/Charlottetown"," 53","Charlottetown",14,38,1,86,32,0,171,358
11002,"Charlottetown/Charlottetown"," 54","Charlottetown",13,22,0,49,24,0,108,291
11002,"Charlottetown/Charlottetown"," 55","Charlottetown",20,39,0,77,26,1,163,353
11002,"Charlottetown/Charlottetown"," 56","Charlottetown",16,33,2,86,28,3,168,353
11002,"Charlottetown/Charlottetown"," 57","Charlottetown",9,42,1,109,30,1,192,345
11002,"Charlottetown/Charlottetown"," 58","Charlottetown",9,66,2,94,32,2,205,361
