Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevan Bowkett,Ross Eadie,Eduard Hiebert,Lesley Hughes,Jordan Loewen,Joy Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 1","West St. Paul",17,38,0,8,1,102,0,166,340
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 2","Rivercrest",11,65,0,11,1,94,0,182,341
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 2-1","West St. Paul",3,39,1,15,0,115,0,173,353
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 3","Middlechurch",7,60,1,11,0,108,1,188,373
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 3-1","West St. Paul",5,14,0,3,0,53,0,75,145
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 4","Middlechurch",14,60,2,25,0,147,2,250,411
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 5","Rivercrest",13,48,0,12,0,125,0,198,380
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 6","Middlechurch",9,63,2,16,0,93,1,184,356
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 7","McNaughton",10,62,4,22,2,97,1,198,427
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 8","Riverdale",12,57,1,26,1,137,1,235,479
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 9","East St. Paul",11,52,2,18,1,170,1,255,449
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 10","East St. Paul",12,35,2,16,2,120,0,187,355
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 11","East St. Paul",4,32,0,15,1,111,0,163,305
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 11-1","East St. Paul",10,40,0,10,0,96,1,157,292
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 12","East St. Paul",11,39,0,13,3,152,0,218,388
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 13A","East St. Paul",14,37,0,19,1,107,0,178,311
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 13B","East St. Paul",6,26,1,11,1,80,0,125,232
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 14","East St. Paul",10,33,1,9,1,93,1,148,252
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 15","East St. Paul",5,40,0,16,0,111,1,173,297
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 16","Birds Hill",12,39,0,9,2,189,0,251,410
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 17","Birds Hill",14,46,0,15,0,111,0,186,312
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 18","Birds Hill",7,55,0,23,4,135,1,225,415
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 19","Birds Hill",11,38,0,21,1,84,0,155,332
