Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karen Durant,Ed Fast,Tim Felger,Bonnie Rai,Lionel Dominique Traverse,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford/Abbotsford"," 1","Abbotsford",21,140,6,35,29,0,231,417
59001,"Abbotsford/Abbotsford"," 2","Abbotsford",22,210,6,22,29,0,289,460
59001,"Abbotsford/Abbotsford"," 3","Abbotsford",22,157,3,26,27,1,236,372
59001,"Abbotsford/Abbotsford"," 4","Abbotsford",24,178,5,33,45,0,285,479
59001,"Abbotsford/Abbotsford"," 5","Abbotsford",32,199,1,21,32,0,285,419
59001,"Abbotsford/Abbotsford"," 6","Abbotsford",15,217,1,13,40,1,287,470
59001,"Abbotsford/Abbotsford"," 7","Abbotsford",12,174,1,38,62,0,287,495
59001,"Abbotsford/Abbotsford"," 7-1","Abbotsford",6,80,0,18,40,0,144,236
59001,"Abbotsford/Abbotsford"," 8","Abbotsford",4,153,0,25,55,3,240,406
59001,"Abbotsford/Abbotsford"," 8-1","Abbotsford",3,45,0,11,27,7,93,169
59001,"Abbotsford/Abbotsford"," 9A","Abbotsford",2,29,1,55,76,0,163,356
59001,"Abbotsford/Abbotsford"," 9B","Abbotsford",3,24,3,24,62,4,120,236
59001,"Abbotsford/Abbotsford"," 9-1","Abbotsford",5,57,0,62,125,5,254,415
59001,"Abbotsford/Abbotsford"," 10","Abbotsford",9,79,2,45,74,5,214,434
59001,"Abbotsford/Abbotsford"," 10-1","Abbotsford",3,61,0,28,31,0,123,218
59001,"Abbotsford/Abbotsford"," 11","Abbotsford",6,86,1,31,67,0,191,375
59001,"Abbotsford/Abbotsford"," 11-1","Abbotsford",3,69,1,28,43,0,144,266
59001,"Abbotsford/Abbotsford"," 12","Abbotsford",14,145,5,32,33,1,230,393
59001,"Abbotsford/Abbotsford"," 13A","Abbotsford",8,89,1,51,26,7,182,293
