Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Andres,Inky Mark,Wendy Menzies,Charles Prefontaine,Kate Storey,Ron Strynadka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 1","Barrows",0,14,13,0,0,36,0,63,133
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 2","Mafeking",3,59,10,1,1,44,0,118,256
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 3","Pelican Rapids",4,12,20,2,5,119,0,162,404
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 4","Birch River",2,98,14,0,7,24,0,145,311
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 5","Birch River",0,57,12,0,4,25,0,98,254
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 6","Bowsman",3,123,14,1,10,34,0,185,347
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 7","Bowsman",1,82,7,0,5,22,0,117,258
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 8","Big Woody",1,61,4,1,9,24,0,100,166
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 9","Swan River",0,118,15,1,8,39,0,181,293
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 10","Swan River",1,113,19,0,22,35,0,190,364
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 11","Swan River",0,169,34,0,17,45,1,266,645
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 12","Swan River",0,208,23,0,14,37,3,285,460
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 13","Swan River",1,71,6,0,4,29,0,111,245
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 14","Swan River",1,95,17,1,4,32,4,154,322
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 15","Swan River",3,118,20,0,6,35,0,182,352
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 16","Swan River",2,127,21,0,13,31,0,194,373
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 17","Swan River",0,95,15,0,10,32,1,153,275
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 18","Swan River",1,115,14,0,18,23,0,171,332
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 19","Minitonas",0,109,6,0,9,15,0,139,235
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 20","Minitonas",7,177,22,0,4,27,0,237,402
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 21","Minitonas",5,116,5,0,9,25,0,160,346
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 22","Swan River",0,76,11,0,7,15,0,109,192
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 23","Benito",0,94,15,1,5,24,0,139,344
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 24","Kenville",1,138,13,1,5,23,0,181,355
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 25","Durban",0,91,8,0,4,18,0,121,245
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 26","Duck Bay",0,15,32,1,2,58,2,110,345
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 27","Camperville",4,22,42,4,11,59,1,143,582
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 28A","Pine Creek 66A",0,7,7,0,2,13,0,29,50
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 28B","Pine Creek 66A",0,2,5,0,1,24,0,32,54
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 28C","Pine Creek 66A",0,2,8,0,0,20,0,30,43
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 29","Pine River",15,57,9,0,3,23,1,108,215
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 30","Winnipegosis",3,90,17,1,5,29,0,145,240
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 31","Winnipegosis",0,66,30,0,4,21,0,121,281
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 32","Winnipegosis",2,55,13,0,5,33,0,108,233
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 33","Mink Creek",14,69,6,2,5,36,1,133,228
