Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Phil Brown,Lori Gadzala,Ed Mahfouz,Pierre Poilievre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"Nepean--Carleton/Nepean--Carleton"," 140","Gloucester",21,36,86,223,2,368,537
35052,"Nepean--Carleton/Nepean--Carleton"," 140-1A","Gloucester",17,45,100,177,2,341,503
35052,"Nepean--Carleton/Nepean--Carleton"," 140-1B","Gloucester",26,21,77,171,1,296,435
35052,"Nepean--Carleton/Nepean--Carleton"," 141","Gloucester",42,49,85,174,0,350,528
35052,"Nepean--Carleton/Nepean--Carleton"," 141-1A","Gloucester",56,21,98,160,1,336,471
35052,"Nepean--Carleton/Nepean--Carleton"," 141-1B","Gloucester",41,30,91,110,1,273,400
35052,"Nepean--Carleton/Nepean--Carleton"," 142","Gloucester",18,56,73,212,1,360,511
35052,"Nepean--Carleton/Nepean--Carleton"," 142-1","Gloucester",10,30,57,126,0,223,309
35052,"Nepean--Carleton/Nepean--Carleton"," 143","Gloucester",26,60,56,180,2,324,472
35052,"Nepean--Carleton/Nepean--Carleton"," 144","Gloucester",39,55,83,169,2,348,518
35052,"Nepean--Carleton/Nepean--Carleton"," 144-1","Gloucester",33,34,84,200,0,351,544
35052,"Nepean--Carleton/Nepean--Carleton"," 145","Gloucester",41,38,94,199,2,374,586
35052,"Nepean--Carleton/Nepean--Carleton"," 146","Gloucester",19,12,41,144,2,218,392
35052,"Nepean--Carleton/Nepean--Carleton"," 147","Osgoode",11,43,63,159,0,276,447
35052,"Nepean--Carleton/Nepean--Carleton"," 147-1","Osgoode",13,42,82,137,0,274,478
35052,"Nepean--Carleton/Nepean--Carleton"," 148","Osgoode",21,28,61,158,4,272,466
35052,"Nepean--Carleton/Nepean--Carleton"," 148-1","Osgoode",18,20,37,124,0,199,370
35052,"Nepean--Carleton/Nepean--Carleton"," 149","Osgoode",37,43,83,278,0,441,704
35052,"Nepean--Carleton/Nepean--Carleton"," 150","Osgoode",16,23,42,151,1,233,396
35052,"Nepean--Carleton/Nepean--Carleton"," 150-1","Osgoode",5,10,17,66,0,98,235
35052,"Nepean--Carleton/Nepean--Carleton"," 151","Osgoode",15,9,18,88,0,130,293
35052,"Nepean--Carleton/Nepean--Carleton"," 152A","Gloucester",31,15,82,123,0,251,394
35052,"Nepean--Carleton/Nepean--Carleton"," 152B","Gloucester",26,18,77,120,2,243,388
35052,"Nepean--Carleton/Nepean--Carleton"," 152C","Gloucester",31,15,78,99,1,224,377
35052,"Nepean--Carleton/Nepean--Carleton"," 152-1","Gloucester",43,25,76,122,1,267,479
35052,"Nepean--Carleton/Nepean--Carleton"," 152-2","Gloucester",7,7,31,101,1,147,267
35052,"Nepean--Carleton/Nepean--Carleton"," 153","Osgoode",23,14,34,176,1,248,458
35052,"Nepean--Carleton/Nepean--Carleton"," 154","Gloucester",26,14,30,124,0,194,461
35052,"Nepean--Carleton/Nepean--Carleton"," 155","Gloucester",21,12,25,115,0,173,362
35052,"Nepean--Carleton/Nepean--Carleton"," 156","Gloucester",Void/Supprimé,,,,,,
35052,"Nepean--Carleton/Nepean--Carleton"," 157","Gloucester",20,18,22,78,2,140,238
35052,"Nepean--Carleton/Nepean--Carleton"," 158","Gloucester",27,35,71,178,1,312,510
35052,"Nepean--Carleton/Nepean--Carleton"," 159","Gloucester",17,8,32,108,3,168,274
