Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Catherine Bell,Jason Draper,John Duncan,Geoff Fleischer,Philip Stone,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59031,"Vancouver Island North/Île de Vancouver-Nord"," 1","Dawsons Landing",4,0,4,0,0,0,8,15
59031,"Vancouver Island North/Île de Vancouver-Nord"," 2","Oweekeno",17,0,1,2,4,0,24,40
59031,"Vancouver Island North/Île de Vancouver-Nord"," 3","Quatsino",7,0,19,1,1,0,28,35
59031,"Vancouver Island North/Île de Vancouver-Nord"," 4","Holberg",22,1,16,7,1,0,47,80
59031,"Vancouver Island North/Île de Vancouver-Nord"," 5","Coal Harbour",59,1,34,1,15,1,111,248
59031,"Vancouver Island North/Île de Vancouver-Nord"," 6","Port Hardy",49,2,62,4,7,0,124,237
59031,"Vancouver Island North/Île de Vancouver-Nord"," 7","Port Hardy",66,0,6,1,0,0,73,242
59031,"Vancouver Island North/Île de Vancouver-Nord"," 8","Port Hardy",78,0,92,6,14,0,190,356
59031,"Vancouver Island North/Île de Vancouver-Nord"," 9","Port Hardy",31,0,28,2,1,0,62,188
59031,"Vancouver Island North/Île de Vancouver-Nord"," 10","Port Hardy",36,0,47,7,2,0,92,177
59031,"Vancouver Island North/Île de Vancouver-Nord"," 11","Port Hardy",37,1,55,4,4,0,101,206
59031,"Vancouver Island North/Île de Vancouver-Nord"," 12","Port Hardy",70,0,47,10,8,1,136,356
59031,"Vancouver Island North/Île de Vancouver-Nord"," 13","Port Hardy",28,0,28,4,2,0,62,150
59031,"Vancouver Island North/Île de Vancouver-Nord"," 14","Port Hardy",35,3,42,7,8,0,95,213
59031,"Vancouver Island North/Île de Vancouver-Nord"," 15","Port Hardy",47,0,47,10,16,0,120,235
59031,"Vancouver Island North/Île de Vancouver-Nord"," 16","Port Hardy",72,0,82,6,13,0,173,297
59031,"Vancouver Island North/Île de Vancouver-Nord"," 17A","Port Hardy",48,0,29,5,11,0,93,323
59031,"Vancouver Island North/Île de Vancouver-Nord"," 17B","Port Hardy",48,0,43,6,10,0,107,312
59031,"Vancouver Island North/Île de Vancouver-Nord"," 18","Winter Harbour",1,0,11,0,0,0,12,16
59031,"Vancouver Island North/Île de Vancouver-Nord"," 19","Port Alice",64,1,46,6,8,0,125,190
59031,"Vancouver Island North/Île de Vancouver-Nord"," 20","Port Alice",60,1,77,3,7,0,148,281
59031,"Vancouver Island North/Île de Vancouver-Nord"," 21","Port Alice",57,2,42,3,8,1,113,215
59031,"Vancouver Island North/Île de Vancouver-Nord"," 22","Sullivan Bay",Void/Supprimé,,,,,,,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 23","Kingcome Inlet",24,0,3,0,1,0,28,45
59031,"Vancouver Island North/Île de Vancouver-Nord"," 24","Minstrel Island",4,1,4,3,1,0,13,14
59031,"Vancouver Island North/Île de Vancouver-Nord"," 25","Echo Bay",6,0,0,0,2,0,8,25
59031,"Vancouver Island North/Île de Vancouver-Nord"," 26A","Sointula",106,2,31,7,21,1,168,267
59031,"Vancouver Island North/Île de Vancouver-Nord"," 26B","Sointula",108,0,48,8,15,0,179,283
59031,"Vancouver Island North/Île de Vancouver-Nord"," 27A","Port McNeill",51,2,70,10,9,0,142,250
