Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Byers,Adriane Carr,John Clarke,Hedy Fry,Michael Hill,Lorne Mayencourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,Vancouver Centre/Vancouver-Centre,1,Vancouver,44,41,4,51,1,44,1,186,364
59029,Vancouver Centre/Vancouver-Centre,2,Vancouver,34,32,2,59,0,55,0,182,364
59029,Vancouver Centre/Vancouver-Centre,3,Vancouver,62,78,1,105,0,42,0,288,473
59029,Vancouver Centre/Vancouver-Centre,4,Vancouver,47,57,1,81,0,50,2,238,440
59029,Vancouver Centre/Vancouver-Centre,5,Vancouver,49,34,1,84,1,62,0,231,385
59029,Vancouver Centre/Vancouver-Centre,6,Vancouver,38,22,1,59,1,32,0,153,318
59029,Vancouver Centre/Vancouver-Centre,7,Vancouver,38,42,0,68,0,17,1,166,306
59029,Vancouver Centre/Vancouver-Centre,8,Vancouver,53,45,1,88,1,38,1,227,390
59029,Vancouver Centre/Vancouver-Centre,9,Vancouver,53,65,0,81,0,35,0,234,381
59029,Vancouver Centre/Vancouver-Centre,10,Vancouver,36,43,4,83,0,37,1,204,360
59029,Vancouver Centre/Vancouver-Centre,11,Vancouver,52,35,0,78,0,67,0,232,447
59029,Vancouver Centre/Vancouver-Centre,12,Vancouver,39,39,0,71,2,54,0,205,386
59029,Vancouver Centre/Vancouver-Centre,13,Vancouver,46,55,0,83,0,45,0,229,395
59029,Vancouver Centre/Vancouver-Centre,14,Vancouver,46,48,1,93,0,29,0,217,383
59029,Vancouver Centre/Vancouver-Centre,15,Vancouver,60,50,2,68,0,34,0,214,377
59029,Vancouver Centre/Vancouver-Centre,16,Vancouver,60,40,1,81,0,39,0,221,406
59029,Vancouver Centre/Vancouver-Centre,17,Vancouver,57,47,1,110,1,77,0,293,534
59029,Vancouver Centre/Vancouver-Centre,18,Vancouver,29,33,2,74,0,38,0,176,369
59029,Vancouver Centre/Vancouver-Centre,19,Vancouver,68,36,0,61,0,39,0,204,411
59029,Vancouver Centre/Vancouver-Centre,20,Vancouver,74,65,1,91,1,45,2,279,519
59029,Vancouver Centre/Vancouver-Centre,21,Vancouver,51,44,0,54,0,39,0,188,343
59029,Vancouver Centre/Vancouver-Centre,22,Vancouver,56,38,0,54,0,22,0,170,336
59029,Vancouver Centre/Vancouver-Centre,23,Vancouver,54,39,1,75,1,34,1,205,365
59029,Vancouver Centre/Vancouver-Centre,24,Vancouver,49,36,1,84,0,35,1,206,378
59029,Vancouver Centre/Vancouver-Centre,25,Vancouver,67,15,5,32,1,14,2,136,301
59029,Vancouver Centre/Vancouver-Centre,26,Vancouver,50,19,3,30,0,16,1,119,281
59029,Vancouver Centre/Vancouver-Centre,27,Vancouver,62,45,0,83,0,44,1,235,481
59029,Vancouver Centre/Vancouver-Centre,28,Vancouver,29,33,1,92,0,99,0,254,488
59029,Vancouver Centre/Vancouver-Centre, 28-1,Vancouver,36,27,0,71,0,63,1,198,489
59029,Vancouver Centre/Vancouver-Centre,29,Vancouver,59,35,1,69,0,102,1,267,500
59029,Vancouver Centre/Vancouver-Centre, 29-1,Vancouver,Merged with No. 30-1/Fusionné avec le nº 30-1,,,,,,,,232
59029,Vancouver Centre/Vancouver-Centre,30,Vancouver,28,24,2,63,0,71,0,188,441
