Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diana Cabott,Ron Cannan,Mark Haley,Tish Lakes,Angela Reid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 1","Carrs",49,133,0,31,39,0,252,448
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 2","Oyama",22,155,0,26,34,0,237,446
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 3","Pixie Beach",30,102,0,10,24,0,166,362
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 4","Okanagan Centre",35,158,1,30,41,0,265,456
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 4-1","Lake Country",5,32,0,11,17,3,68,133
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 5A","Woodsdale",17,69,0,18,30,0,134,311
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 5B","Woodsdale",13,81,1,22,16,0,133,324
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 5-1","Lake Country",17,58,0,15,22,0,112,219
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 6","Okanagan Centre",31,93,0,23,59,0,206,406
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 6-1","Lake Country",17,79,0,13,24,0,133,230
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 7","Winfield",24,137,2,36,42,1,242,450
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 8","Winfield",34,122,0,43,46,0,245,425
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 9","Okanagan Centre",11,68,0,11,24,0,114,219
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 9-1","Lake Country",17,97,1,23,28,1,167,313
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 10","Winfield",29,92,1,48,53,0,223,480
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 11","Winfield",25,102,1,24,21,0,173,315
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 12","Duck Lake 7",12,69,1,61,34,1,178,431
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 13","Duck Lake 7",3,15,0,6,3,0,27,63
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 14","Duck Lake 7",13,116,0,43,14,0,186,404
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 15","Duck Lake 7",25,262,2,41,25,0,355,580
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 16","Kelowna",2,12,0,9,9,0,32,73
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 17","Kelowna",45,164,0,38,40,0,287,500
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 18A","Kelowna",21,98,2,6,11,0,138,314
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 18B","Kelowna",21,119,0,11,17,2,170,352
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 18C","Kelowna",11,114,0,8,9,0,142,328
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 18-1","Kelowna",19,42,0,18,9,0,88,152
