Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Becevello,Rick Chue,Chai Kalevar,George Khouri,Dan McTeague,Andrea Moffat,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 1","Pickering",17,1,1,58,149,39,1,266,479
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 2","Pickering",16,2,1,47,67,32,1,166,419
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 3","Pickering",16,2,1,53,93,37,0,202,457
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 4","Pickering",17,0,2,68,76,19,2,184,435
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 5","Pickering",18,1,1,64,83,32,0,199,413
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 6","Pickering",16,2,0,54,91,41,0,204,486
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 7","Pickering",12,3,0,57,66,15,2,155,277
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 8","Pickering",11,0,0,34,63,28,1,137,428
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 9","Pickering",10,1,0,60,87,34,1,193,416
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 10","Pickering",11,1,1,46,63,33,0,155,334
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 11","Pickering",26,0,0,63,88,35,3,215,367
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 12","Pickering",14,0,3,71,77,29,2,196,473
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 13","Pickering",19,1,0,66,86,31,0,203,341
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 14","Pickering",26,2,1,111,81,38,1,260,461
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 15","Pickering",20,1,1,73,76,24,1,196,381
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 16","Pickering",17,0,0,55,86,18,0,176,299
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 17A","Pickering",16,1,0,49,62,24,0,152,269
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 17B","Pickering",11,0,0,59,64,15,0,149,231
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 18","Pickering",13,0,0,53,52,29,0,147,267
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 19","Pickering",20,2,1,68,121,22,1,235,426
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 20","Pickering",8,1,1,83,93,32,0,218,381
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 21","Pickering",26,0,1,89,142,27,0,285,479
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 22","Pickering",7,0,0,66,101,10,0,184,312
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 22-1","Pickering",24,0,0,95,99,18,1,237,394
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 23","Pickering",19,0,1,123,97,14,1,255,478
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 24","Pickering",20,0,0,95,113,37,2,267,479
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 25","Pickering",19,0,1,67,143,27,0,257,461
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 26","Pickering",16,3,0,59,85,21,0,184,383
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 27","Pickering",20,2,2,83,103,25,0,235,439
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 28","Pickering",17,1,0,72,71,23,2,186,350
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 29","Pickering",8,2,0,54,96,21,1,182,376
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 30","Pickering",16,2,1,86,101,30,1,237,481
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 31A","Pickering",11,1,1,48,70,23,0,154,301
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 31B","Pickering",8,0,1,32,41,12,0,94,253
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 32","Pickering",10,1,1,55,92,34,0,193,377
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 33","Pickering",11,4,1,54,62,23,0,155,295
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 34","Pickering",19,1,1,81,70,28,0,200,385
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 35","Pickering",14,1,0,97,79,32,0,223,411
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 36","Pickering",10,1,0,56,71,40,1,179,327
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 37","Pickering",19,1,0,81,85,31,0,217,347
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 38","Pickering",9,1,0,83,99,32,0,224,368
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 39","Pickering",19,1,0,72,102,32,2,228,379
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 40","Pickering",18,1,0,73,66,13,0,171,330
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 41A","Pickering",15,0,0,44,86,16,1,162,273
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 41B","Pickering",8,0,0,69,63,5,0,145,242
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 42","Pickering",17,0,1,75,90,17,0,200,327
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 43A","Pickering",7,0,0,73,68,10,0,158,274
