Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Catharine Johannson,Frank Komarniski,Ray Larkin,Marcelle Marion,Roger F. Poisson,Judy Wasylycia-Leis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46012,"Winnipeg North/Winnipeg-Nord"," 1","Winnipeg",4,0,30,24,0,110,1,169,486
46012,"Winnipeg North/Winnipeg-Nord"," 2","Winnipeg",4,0,44,20,0,111,0,179,383
46012,"Winnipeg North/Winnipeg-Nord"," 3","Winnipeg",11,0,40,14,0,151,1,217,371
46012,"Winnipeg North/Winnipeg-Nord"," 4","Winnipeg",12,0,58,25,1,144,1,241,452
46012,"Winnipeg North/Winnipeg-Nord"," 5","Winnipeg",11,1,36,18,1,110,0,177,367
46012,"Winnipeg North/Winnipeg-Nord"," 6","Winnipeg",7,0,72,23,0,139,0,241,415
46012,"Winnipeg North/Winnipeg-Nord"," 7","Winnipeg",5,0,36,20,0,121,2,184,467
46012,"Winnipeg North/Winnipeg-Nord"," 8","Winnipeg",9,0,43,22,0,110,1,185,432
46012,"Winnipeg North/Winnipeg-Nord"," 9","Winnipeg",1,1,32,19,0,78,1,132,398
46012,"Winnipeg North/Winnipeg-Nord"," 10","Winnipeg",8,0,50,19,0,126,0,203,434
46012,"Winnipeg North/Winnipeg-Nord"," 11","Winnipeg",13,2,61,24,1,124,0,225,484
46012,"Winnipeg North/Winnipeg-Nord"," 12","Winnipeg",14,0,46,26,0,146,1,233,450
46012,"Winnipeg North/Winnipeg-Nord"," 13","Winnipeg",4,1,45,15,2,118,0,185,460
46012,"Winnipeg North/Winnipeg-Nord"," 14","Winnipeg",12,1,51,23,0,145,1,233,444
46012,"Winnipeg North/Winnipeg-Nord"," 15","Winnipeg",13,0,35,21,1,131,1,202,397
46012,"Winnipeg North/Winnipeg-Nord"," 16","Winnipeg",7,0,44,30,1,160,2,244,532
46012,"Winnipeg North/Winnipeg-Nord"," 17","Winnipeg",9,4,47,18,0,104,0,182,416
46012,"Winnipeg North/Winnipeg-Nord"," 18","Winnipeg",1,0,38,18,1,107,3,168,425
46012,"Winnipeg North/Winnipeg-Nord"," 19","Winnipeg",7,0,45,18,0,162,2,234,429
46012,"Winnipeg North/Winnipeg-Nord"," 20","Winnipeg",3,1,46,11,0,105,1,167,387
46012,"Winnipeg North/Winnipeg-Nord"," 21","Winnipeg",4,1,51,14,0,93,2,165,414
46012,"Winnipeg North/Winnipeg-Nord"," 22","Winnipeg",6,3,48,13,1,120,3,194,422
46012,"Winnipeg North/Winnipeg-Nord"," 23","Winnipeg",5,0,15,12,1,55,0,88,333
46012,"Winnipeg North/Winnipeg-Nord"," 24","Winnipeg",5,1,32,25,1,116,1,181,431
46012,"Winnipeg North/Winnipeg-Nord"," 25","Winnipeg",4,3,47,29,0,96,1,180,378
46012,"Winnipeg North/Winnipeg-Nord"," 26","Winnipeg",4,1,28,9,0,53,1,96,230
46012,"Winnipeg North/Winnipeg-Nord"," 27","Winnipeg",3,2,40,18,2,109,1,175,436
