Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Céline Brault,Lawrence Cannon,Cindy Duncan McMillan,Benoit Legros,André Sylvestre,Marius Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Pontiac/Pontiac"," 1","Lac-Rapide",0,0,0,0,0,0,0,0,60
24050,"Pontiac/Pontiac"," 2","Montcerf",23,51,32,1,5,59,2,173,391
24050,"Pontiac/Pontiac"," 3","Lytton",11,29,14,0,1,30,0,85,217
24050,"Pontiac/Pontiac"," 4","Grand-Remous",20,54,47,0,4,72,3,200,494
24050,"Pontiac/Pontiac"," 5","Grand-Remous",4,10,13,0,0,23,0,50,169
24050,"Pontiac/Pontiac"," 6","Grand-Remous",16,47,27,3,9,43,0,145,362
24050,"Pontiac/Pontiac"," 7","Aumond",21,45,46,0,5,66,1,184,428
24050,"Pontiac/Pontiac"," 7-1","Aumond",12,16,12,0,1,18,0,59,136
24050,"Pontiac/Pontiac"," 8","Bois-Franc",27,63,28,0,3,61,4,186,317
24050,"Pontiac/Pontiac"," 9","Egan-Sud",24,66,44,0,5,69,1,209,457
24050,"Pontiac/Pontiac"," 10","Kitigan Zibi",17,5,21,0,4,7,0,54,877
24050,"Pontiac/Pontiac"," 11","Déléage",20,62,32,1,3,85,2,205,498
24050,"Pontiac/Pontiac"," 12","Déléage",17,28,26,0,1,53,0,125,296
24050,"Pontiac/Pontiac"," 13","Déléage",26,39,37,0,3,44,3,152,388
24050,"Pontiac/Pontiac"," 14","Déléage",27,38,14,0,3,60,0,142,397
24050,"Pontiac/Pontiac"," 15","Sainte-Thérèse-de-la-Gatineau",23,59,52,1,4,82,1,222,411
24050,"Pontiac/Pontiac"," 16","Messines",19,54,30,0,5,65,0,173,466
24050,"Pontiac/Pontiac"," 17","Messines",16,49,28,0,4,70,3,170,396
24050,"Pontiac/Pontiac"," 18","Messines",28,70,58,0,10,71,4,241,454
24050,"Pontiac/Pontiac"," 19","Blue Sea",10,20,24,0,5,27,1,87,175
24050,"Pontiac/Pontiac"," 19-1","Blue Sea",30,39,37,0,1,49,1,157,380
24050,"Pontiac/Pontiac"," 20","Bouchette",27,42,35,0,3,66,1,174,348
24050,"Pontiac/Pontiac"," 21","Bouchette",11,35,32,0,5,39,0,122,254
24050,"Pontiac/Pontiac"," 22","Maniwaki",14,23,11,0,2,28,0,78,248
24050,"Pontiac/Pontiac"," 23","Maniwaki",8,30,29,0,2,42,2,113,354
24050,"Pontiac/Pontiac"," 24","Maniwaki",19,57,29,0,9,64,0,178,454
24050,"Pontiac/Pontiac"," 25","Maniwaki",20,43,21,1,5,35,2,127,374
24050,"Pontiac/Pontiac"," 26","Maniwaki",10,25,19,0,5,44,2,105,308
24050,"Pontiac/Pontiac"," 27","Maniwaki",19,38,22,2,7,38,1,127,320
24050,"Pontiac/Pontiac"," 28","Maniwaki",16,39,28,0,4,48,2,137,319
24050,"Pontiac/Pontiac"," 29","Maniwaki",9,42,17,0,4,37,0,109,358
24050,"Pontiac/Pontiac"," 30","Maniwaki",11,22,11,0,3,28,0,75,242
24050,"Pontiac/Pontiac"," 31","Maniwaki",11,41,30,1,3,38,1,125,425
24050,"Pontiac/Pontiac"," 32","Cayamant",13,45,19,0,4,42,0,123,331
24050,"Pontiac/Pontiac"," 32-1","Cayamant",11,35,27,0,2,47,0,122,330
24050,"Pontiac/Pontiac"," 33","Gracefield",13,18,12,0,2,32,1,78,258
24050,"Pontiac/Pontiac"," 34","Gracefield",29,37,33,2,2,37,1,141,377
24050,"Pontiac/Pontiac"," 35","Gracefield",14,40,30,1,2,32,0,119,372
24050,"Pontiac/Pontiac"," 36","Gracefield",11,21,15,1,0,22,3,73,204
24050,"Pontiac/Pontiac"," 37","Gracefield",11,54,31,1,6,46,1,150,464
24050,"Pontiac/Pontiac"," 38","Gracefield",28,52,33,0,1,21,1,136,388
24050,"Pontiac/Pontiac"," 39","Alleyn-et-Cawood",9,41,17,0,5,3,1,76,150
24050,"Pontiac/Pontiac"," 40","Kazabazua",17,35,27,0,4,9,0,92,273
24050,"Pontiac/Pontiac"," 41","Lac-Sainte-Marie",25,116,39,0,12,28,1,221,441
24050,"Pontiac/Pontiac"," 42","Kazabazua",20,98,32,0,3,11,1,165,382
24050,"Pontiac/Pontiac"," 43","Low",30,130,47,1,12,13,1,234,403
24050,"Pontiac/Pontiac"," 44","Low",25,71,35,1,12,17,0,161,355
24050,"Pontiac/Pontiac"," 45","Denholm",18,65,71,1,6,38,4,203,414
24050,"Pontiac/Pontiac"," 46","Rapides-des-Joachims",1,5,2,0,1,5,1,15,135
24050,"Pontiac/Pontiac"," 47","Sheen-Esher-Aberdeen-et-Malakoff",6,32,26,0,4,1,0,69,102
24050,"Pontiac/Pontiac"," 48","Waltham",31,83,36,1,8,0,0,159,320
24050,"Pontiac/Pontiac"," 49","Chichester",14,63,43,1,2,1,2,126,297
24050,"Pontiac/Pontiac"," 50","L'Isle-aux-Allumettes",18,86,64,0,13,5,3,189,375
24050,"Pontiac/Pontiac"," 51","Chapeau",19,64,58,0,2,0,0,143,342
24050,"Pontiac/Pontiac"," 52","L'Isle-aux-Allumettes",16,90,46,0,8,8,0,168,336
24050,"Pontiac/Pontiac"," 53","Mansfield-et-Pontefract",9,28,12,0,2,15,0,66,266
24050,"Pontiac/Pontiac"," 54","Mansfield-et-Pontefract",25,60,33,0,2,12,1,133,411
24050,"Pontiac/Pontiac"," 55","Mansfield-et-Pontefract",30,75,25,0,9,21,1,161,467
24050,"Pontiac/Pontiac"," 56","Fort-Coulonge",19,45,30,0,3,9,1,107,366
24050,"Pontiac/Pontiac"," 57","Fort-Coulonge",20,21,17,0,2,9,1,70,203
24050,"Pontiac/Pontiac"," 58","Fort-Coulonge",14,50,33,0,2,18,1,118,376
24050,"Pontiac/Pontiac"," 59","Fort-Coulonge",15,49,39,0,1,7,2,113,366
24050,"Pontiac/Pontiac"," 60","Mansfield-et-Pontefract",14,23,15,0,0,8,0,60,212
24050,"Pontiac/Pontiac"," 61","Mansfield-et-Pontefract",15,24,23,0,5,3,0,70,275
24050,"Pontiac/Pontiac"," 62","Otter Lake",17,65,37,0,1,6,0,126,318
24050,"Pontiac/Pontiac"," 63","Otter Lake",13,106,43,0,0,6,1,169,423
24050,"Pontiac/Pontiac"," 64","Ladysmith",18,100,43,0,16,8,0,185,315
