Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sébastien Caron,Gilles Duceppe,François Yo Gourd,François Grégoire,Serge Lachapelle,Daniel "F4J" Laforest,Charles K. Langford,Samie Pagé-Quirion,Dylan Perceval-Maxwell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 160","Montréal",Void/Supprimé,,,,,,,,,,,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 161","Montréal",93,173,2,40,1,0,34,1,10,5,359,623
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 162","Montréal",23,111,2,29,0,0,4,0,16,2,187,386
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 163","Montréal",20,114,5,39,1,0,6,2,10,1,198,370
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 164","Montréal",28,100,1,24,0,0,7,0,11,1,172,354
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 165","Montréal",22,86,3,27,0,0,5,0,7,3,153,448
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 166","Montréal",30,103,1,25,0,1,8,0,13,5,186,368
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 167","Montréal",36,160,5,49,1,0,15,0,21,0,287,511
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 168","Montréal",20,126,2,36,2,1,11,0,25,1,224,346
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 169","Montréal",14,94,0,29,0,2,10,0,11,1,161,313
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 170","Montréal",33,100,1,22,0,0,8,1,9,0,174,363
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 171","Montréal",36,133,6,60,0,0,10,1,17,1,264,429
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 172","Montréal",30,133,3,44,1,0,8,0,24,1,244,436
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 173","Montréal",34,118,3,49,1,2,12,2,14,3,238,457
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 174","Montréal",28,115,3,57,0,1,8,0,17,2,231,401
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 175","Montréal",24,71,0,22,1,0,8,0,11,6,143,348
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 176","Montréal",21,91,2,37,2,1,4,0,12,3,173,353
