Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sébastien Caron,Gilles Duceppe,François Yo Gourd,François Grégoire,Serge Lachapelle,Daniel "F4J" Laforest,Charles K. Langford,Samie Pagé-Quirion,Dylan Perceval-Maxwell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 88","Montréal",38,108,1,54,0,0,15,1,18,0,235,494
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 89","Montréal",58,128,1,52,0,0,13,1,16,5,274,435
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 90","Montréal",53,74,2,33,0,3,11,0,16,5,197,442
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 91","Montréal",50,92,6,64,1,0,5,1,32,5,256,464
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 92","Montréal",33,76,21,33,1,0,2,0,26,2,194,314
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 92-1","Montréal",20,82,0,28,0,2,4,0,18,1,155,323
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 93","Montréal",88,68,1,35,1,1,28,2,9,8,241,428
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 94","Montréal",66,80,2,42,2,0,12,0,21,1,226,434
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 95","Montréal",81,91,6,31,1,2,15,0,18,0,245,423
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 96","Montréal",78,73,1,40,1,0,13,1,20,3,230,493
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 97","Montréal",50,104,2,26,0,0,4,0,13,1,200,309
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 98","Montréal",36,138,3,43,0,0,10,0,33,1,264,452
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 99","Montréal",22,76,0,34,0,0,4,0,20,1,157,314
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 100","Montréal",56,154,3,54,1,0,4,2,19,5,298,450
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 101","Montréal",38,106,3,35,0,0,8,0,25,0,215,392
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 102","Montréal",44,69,1,26,0,1,18,0,11,1,171,361
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 103","Montréal",27,94,2,36,0,0,4,0,14,1,178,295
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 104","Montréal",21,80,6,29,1,0,4,0,16,0,157,289
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 105","Montréal",38,124,1,29,0,1,10,0,12,2,217,360
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 106","Montréal",45,112,2,48,0,0,9,1,21,0,238,458
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 107","Montréal",38,145,5,23,0,0,10,0,24,0,245,399
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 108","Montréal",40,122,3,41,0,0,3,1,15,0,225,385
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 109","Montréal",32,125,1,44,0,0,5,1,25,3,236,379
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 110","Montréal",63,101,4,39,1,1,16,0,26,1,252,471
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 111","Montréal",46,87,1,45,0,0,6,0,31,0,216,399
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 112","Montréal",50,118,3,50,0,1,16,0,32,0,270,446
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 113","Montréal",42,111,3,54,0,0,7,0,22,2,241,474
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 114","Montréal",61,112,1,67,0,0,10,1,30,3,285,492
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 115","Montréal",56,90,2,76,1,1,8,1,31,1,267,543
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 116A","Montréal",28,57,2,34,0,0,8,0,12,2,143,295
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 116B","Montréal",33,53,2,39,2,0,10,0,15,2,156,292
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 117","Montréal",66,49,1,46,1,0,14,1,24,1,203,455
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 118","Montréal",42,37,5,56,1,0,11,0,27,1,180,353
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 119","Montréal",50,74,2,41,0,0,4,0,29,0,200,420
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 120","Montréal",66,139,2,46,0,0,10,2,33,1,299,318
