Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ruby Dhalla,Dave Finlay,Parm Gill,Dimitrios Kabitsis,Mani Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35007,"Brampton--Springdale/Brampton--Springdale"," 1","Brampton",96,4,77,1,29,0,207,518
35007,"Brampton--Springdale/Brampton--Springdale"," 1-1","Brampton",118,12,98,1,26,1,256,474
35007,"Brampton--Springdale/Brampton--Springdale"," 1-2","Brampton",Merged with No. 1-4/Fusionné avec le nº 1-4,,,,,,,24
35007,"Brampton--Springdale/Brampton--Springdale"," 1-3","Brampton",131,8,108,0,28,5,280,565
35007,"Brampton--Springdale/Brampton--Springdale"," 1-4","Brampton",51,4,42,0,24,1,122,227
35007,"Brampton--Springdale/Brampton--Springdale"," 1-5","Brampton",Merged with No. 1-4/Fusionné avec le nº 1-4,,,,,,,51
35007,"Brampton--Springdale/Brampton--Springdale"," 1-6","Brampton",150,3,84,1,39,0,277,534
35007,"Brampton--Springdale/Brampton--Springdale"," 1-7","Brampton",71,8,66,0,15,1,161,296
35007,"Brampton--Springdale/Brampton--Springdale"," 1-8A","Brampton",63,4,60,0,22,0,149,354
35007,"Brampton--Springdale/Brampton--Springdale"," 1-8B","Brampton",80,4,50,0,24,1,159,342
35007,"Brampton--Springdale/Brampton--Springdale"," 1-9A","Brampton",72,5,47,0,16,1,141,342
35007,"Brampton--Springdale/Brampton--Springdale"," 1-9B","Brampton",81,6,69,0,19,1,176,390
35007,"Brampton--Springdale/Brampton--Springdale"," 1-9C","Brampton",76,3,77,0,22,1,179,380
35007,"Brampton--Springdale/Brampton--Springdale"," 2","Brampton",90,5,65,0,28,3,191,472
35007,"Brampton--Springdale/Brampton--Springdale"," 2-1","Brampton",48,2,41,0,4,1,96,179
35007,"Brampton--Springdale/Brampton--Springdale"," 2-2","Brampton",32,9,35,0,14,1,91,204
35007,"Brampton--Springdale/Brampton--Springdale"," 2-3","Brampton",51,2,35,0,10,0,98,236
35007,"Brampton--Springdale/Brampton--Springdale"," 2-4","Brampton",31,3,22,0,10,1,67,172
35007,"Brampton--Springdale/Brampton--Springdale"," 3","Brampton",30,5,24,1,3,0,63,175
35007,"Brampton--Springdale/Brampton--Springdale"," 4","Brampton",96,3,72,0,17,5,193,444
35007,"Brampton--Springdale/Brampton--Springdale"," 5","Brampton",67,12,93,1,27,2,202,442
35007,"Brampton--Springdale/Brampton--Springdale"," 6","Brampton",112,11,95,2,32,7,259,463
35007,"Brampton--Springdale/Brampton--Springdale"," 7","Brampton",73,10,55,1,26,0,165,390
35007,"Brampton--Springdale/Brampton--Springdale"," 8","Brampton",79,6,50,1,18,1,155,363
35007,"Brampton--Springdale/Brampton--Springdale"," 9","Brampton",99,12,66,0,22,0,199,373
35007,"Brampton--Springdale/Brampton--Springdale"," 10A","Brampton",71,8,61,0,18,1,159,363
35007,"Brampton--Springdale/Brampton--Springdale"," 10B","Brampton",78,6,70,0,22,1,177,403
35007,"Brampton--Springdale/Brampton--Springdale"," 11A","Brampton",124,8,104,0,19,8,263,562
35007,"Brampton--Springdale/Brampton--Springdale"," 11B","Brampton",154,19,101,0,32,4,310,576
35007,"Brampton--Springdale/Brampton--Springdale"," 11-1","Brampton",91,8,64,1,27,6,197,351
35007,"Brampton--Springdale/Brampton--Springdale"," 12","Brampton",106,4,79,0,13,2,204,419
35007,"Brampton--Springdale/Brampton--Springdale"," 13","Brampton",71,8,71,0,18,4,172,371
35007,"Brampton--Springdale/Brampton--Springdale"," 14","Brampton",82,11,64,1,22,0,180,383
35007,"Brampton--Springdale/Brampton--Springdale"," 15","Brampton",73,6,70,2,14,0,165,392
35007,"Brampton--Springdale/Brampton--Springdale"," 16","Brampton",54,7,67,0,10,1,139,309
35007,"Brampton--Springdale/Brampton--Springdale"," 16-1","Brampton",45,4,37,0,8,0,94,227
35007,"Brampton--Springdale/Brampton--Springdale"," 17","Brampton",110,7,94,0,16,2,229,465
35007,"Brampton--Springdale/Brampton--Springdale"," 18","Brampton",97,12,74,1,25,2,211,469
35007,"Brampton--Springdale/Brampton--Springdale"," 19","Brampton",85,6,71,0,19,5,186,411
35007,"Brampton--Springdale/Brampton--Springdale"," 20","Brampton",103,9,62,0,23,4,201,489
35007,"Brampton--Springdale/Brampton--Springdale"," 21","Brampton",119,7,64,0,14,2,206,405
35007,"Brampton--Springdale/Brampton--Springdale"," 21-1","Brampton",40,7,70,1,11,1,130,254
35007,"Brampton--Springdale/Brampton--Springdale"," 22","Brampton",101,10,77,0,19,4,211,467
35007,"Brampton--Springdale/Brampton--Springdale"," 23","Brampton",76,12,60,0,22,2,172,402
35007,"Brampton--Springdale/Brampton--Springdale"," 24","Brampton",64,8,60,0,8,0,140,343
35007,"Brampton--Springdale/Brampton--Springdale"," 25","Brampton",91,11,57,0,11,0,170,403
35007,"Brampton--Springdale/Brampton--Springdale"," 26","Brampton",98,4,96,0,28,0,226,452
35007,"Brampton--Springdale/Brampton--Springdale"," 26-1","Brampton",83,4,111,4,18,0,220,495
35007,"Brampton--Springdale/Brampton--Springdale"," 27","Brampton",125,9,120,1,30,4,289,598
35007,"Brampton--Springdale/Brampton--Springdale"," 28","Brampton",111,3,72,0,20,2,208,437
35007,"Brampton--Springdale/Brampton--Springdale"," 29A","Brampton",39,7,28,0,15,0,89,274
35007,"Brampton--Springdale/Brampton--Springdale"," 29B","Brampton",48,2,56,1,19,1,127,313
35007,"Brampton--Springdale/Brampton--Springdale"," 30","Brampton",80,4,80,0,22,6,192,422
35007,"Brampton--Springdale/Brampton--Springdale"," 31","Brampton",78,3,37,0,21,4,143,363
35007,"Brampton--Springdale/Brampton--Springdale"," 31-1","Brampton",87,7,57,0,19,4,174,343
35007,"Brampton--Springdale/Brampton--Springdale"," 32","Brampton",96,17,68,2,24,1,208,426
35007,"Brampton--Springdale/Brampton--Springdale"," 33","Brampton",97,9,104,1,46,1,258,515
35007,"Brampton--Springdale/Brampton--Springdale"," 34","Brampton",67,5,64,0,23,0,159,358
35007,"Brampton--Springdale/Brampton--Springdale"," 35","Brampton",94,7,83,0,34,1,219,509
35007,"Brampton--Springdale/Brampton--Springdale"," 36","Brampton",110,14,53,0,21,2,200,463
35007,"Brampton--Springdale/Brampton--Springdale"," 37","Brampton",51,17,104,0,11,1,184,293
35007,"Brampton--Springdale/Brampton--Springdale"," 37-1","Brampton",Merged with No. 37-3/Fusionné avec le nº 37-3,,,,,,,57
35007,"Brampton--Springdale/Brampton--Springdale"," 37-2","Brampton",Merged with No. 37-4/Fusionné avec le nº 37-4,,,,,,,60
35007,"Brampton--Springdale/Brampton--Springdale"," 37-3","Brampton",50,12,72,0,13,1,148,130
35007,"Brampton--Springdale/Brampton--Springdale"," 37-4","Brampton",41,10,71,0,9,1,132,88
35007,"Brampton--Springdale/Brampton--Springdale"," 37-5","Brampton",Merged with No. 37/Fusionné avec le nº 37,,,,,,,52
35007,"Brampton--Springdale/Brampton--Springdale"," 38","Brampton",82,5,62,0,23,0,172,372
35007,"Brampton--Springdale/Brampton--Springdale"," 39","Brampton",36,9,48,0,12,3,108,231
35007,"Brampton--Springdale/Brampton--Springdale"," 40","Brampton",72,12,50,2,13,3,152,340
35007,"Brampton--Springdale/Brampton--Springdale"," 41","Brampton",65,9,46,0,16,2,138,321
35007,"Brampton--Springdale/Brampton--Springdale"," 42","Brampton",49,2,57,1,16,4,129,343
35007,"Brampton--Springdale/Brampton--Springdale"," 43","Brampton",69,2,44,0,27,0,142,301
35007,"Brampton--Springdale/Brampton--Springdale"," 43-1","Brampton",109,15,93,1,30,6,254,551
35007,"Brampton--Springdale/Brampton--Springdale"," 44","Brampton",58,7,69,0,13,2,149,358
35007,"Brampton--Springdale/Brampton--Springdale"," 45","Brampton",95,6,78,0,19,7,205,464
35007,"Brampton--Springdale/Brampton--Springdale"," 46","Brampton",33,3,45,0,16,0,97,293
35007,"Brampton--Springdale/Brampton--Springdale"," 47","Brampton",90,21,113,0,11,0,235,437
35007,"Brampton--Springdale/Brampton--Springdale"," 48","Brampton",75,18,59,0,9,2,163,305
35007,"Brampton--Springdale/Brampton--Springdale"," 48-1","Brampton",34,5,53,1,3,0,96,191
35007,"Brampton--Springdale/Brampton--Springdale"," 49","Brampton",75,29,95,0,15,0,214,381
35007,"Brampton--Springdale/Brampton--Springdale"," 49-1","Brampton",22,5,35,0,2,0,64,124
35007,"Brampton--Springdale/Brampton--Springdale"," 50","Brampton",82,28,102,0,21,0,233,426
35007,"Brampton--Springdale/Brampton--Springdale"," 51","Brampton",122,36,82,1,27,0,268,452
35007,"Brampton--Springdale/Brampton--Springdale"," 52","Brampton",69,28,77,0,18,3,195,371
35007,"Brampton--Springdale/Brampton--Springdale"," 53","Brampton",75,17,73,1,19,0,185,425
35007,"Brampton--Springdale/Brampton--Springdale"," 54","Brampton",57,31,71,0,20,2,181,393
35007,"Brampton--Springdale/Brampton--Springdale"," 55","Brampton",34,18,63,0,30,1,146,338
35007,"Brampton--Springdale/Brampton--Springdale"," 56","Brampton",45,22,72,0,25,2,166,366
35007,"Brampton--Springdale/Brampton--Springdale"," 57","Brampton",54,31,68,0,30,0,183,378
35007,"Brampton--Springdale/Brampton--Springdale"," 58","Brampton",61,38,100,1,21,0,221,394
35007,"Brampton--Springdale/Brampton--Springdale"," 59","Brampton",84,18,109,1,13,0,225,378
35007,"Brampton--Springdale/Brampton--Springdale"," 60","Brampton",67,30,93,1,16,1,208,394
35007,"Brampton--Springdale/Brampton--Springdale"," 61","Brampton",83,33,119,1,7,3,246,445
35007,"Brampton--Springdale/Brampton--Springdale"," 62","Brampton",85,28,113,0,23,2,251,500
35007,"Brampton--Springdale/Brampton--Springdale"," 63","Brampton",142,24,141,2,18,0,327,563
