Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Simon Dougherty,Jim Karygiannis,Benson Lau,Adrian Molder,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 1","Scarborough",20,136,51,3,1,211,450
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 2","Scarborough",17,136,57,10,2,222,411
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 3","Scarborough",27,160,54,10,0,251,560
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 4","Scarborough",27,155,83,5,0,270,544
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 5","Scarborough",17,132,69,14,0,232,572
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 6","Scarborough",15,70,52,8,0,145,294
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 6-1","Scarborough",17,79,42,7,0,145,309
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 7","Scarborough",31,147,55,13,0,246,458
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 8","Scarborough",21,104,58,10,1,194,457
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 9","Scarborough",19,108,47,4,0,178,341
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 10","Scarborough",22,98,31,2,1,154,302
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 11","Scarborough",16,122,58,2,0,198,395
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 12","Scarborough",19,146,43,8,0,216,478
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 13","Scarborough",9,145,74,19,5,252,517
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 14","Scarborough",14,131,82,16,2,245,498
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 15","Scarborough",14,117,62,4,0,197,479
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 15-1","Scarborough",8,96,33,3,0,140,395
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 15-2","Scarborough",28,89,51,4,1,173,501
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 16","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 17","Scarborough",30,159,65,7,3,264,563
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 18","Scarborough",6,152,65,8,5,236,488
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 19","Scarborough",16,102,48,13,3,182,368
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 20","Scarborough",24,137,65,4,0,230,459
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 21","Scarborough",36,138,64,7,0,245,465
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 22","Scarborough",10,160,82,8,0,260,515
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 23","Scarborough",21,161,53,7,0,242,520
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 24","Scarborough",38,179,74,13,1,305,587
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 25","Scarborough",13,157,76,12,1,259,509
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 26","Scarborough",19,164,60,10,2,255,450
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 27","Scarborough",11,164,90,17,3,285,649
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 28","Scarborough",30,124,40,9,3,206,454
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 29","Scarborough",22,128,48,16,4,218,378
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 30","Scarborough",23,141,65,8,0,237,440
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 31","Scarborough",36,184,44,18,2,284,603
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 32","Scarborough",25,158,38,16,2,239,520
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 33","Scarborough",16,139,84,15,0,254,512
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 34","Scarborough",15,117,50,9,2,193,444
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 35","Scarborough",20,96,30,4,0,150,327
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 36","Scarborough",21,179,57,8,3,268,567
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 37","Scarborough",29,128,29,7,0,193,483
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 38","Scarborough",14,117,48,4,2,185,384
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 39","Scarborough",18,150,44,3,0,215,480
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 40","Scarborough",21,151,55,6,1,234,464
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 41","Scarborough",39,154,68,11,2,274,519
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 42","Scarborough",28,160,77,7,2,274,549
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 43","Scarborough",22,138,54,9,3,226,436
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 44","Scarborough",23,141,58,2,1,225,435
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 45","Scarborough",19,128,83,13,3,246,459
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 46","Scarborough",34,150,67,6,0,257,488
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 47","Scarborough",35,174,41,6,1,257,528
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 48","Scarborough",8,134,45,4,4,195,367
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 49","Scarborough",16,104,42,11,2,175,383
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 50","Scarborough",21,128,29,9,0,187,467
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 51","Scarborough",21,103,36,6,0,166,390
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 52","Scarborough",26,124,44,8,0,202,484
