Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Philip Bender,Manuel Couto,Drew Garvie,Tom King,Kornelis Klevering,Gloria Kovach,Karen Levenson,Mike Nagy,John Turmel,Frank Valeriote,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Guelph/Guelph"," 75","Guelph",2,0,2,64,0,58,1,32,1,52,1,213,559
35027,"Guelph/Guelph"," 76","Guelph",0,0,0,58,1,58,0,30,1,44,0,192,507
35027,"Guelph/Guelph"," 77","Guelph",1,0,0,53,3,54,0,46,0,62,0,219,479
35027,"Guelph/Guelph"," 78","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 79","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 80","Guelph",1,1,0,40,0,65,0,36,0,55,0,198,368
35027,"Guelph/Guelph"," 81","Guelph",0,1,0,42,0,53,0,43,0,54,0,193,384
35027,"Guelph/Guelph"," 82","Guelph",2,0,0,38,0,111,0,48,2,90,1,292,498
35027,"Guelph/Guelph"," 83","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 84","Guelph",1,0,0,49,0,92,0,59,0,111,0,312,551
35027,"Guelph/Guelph"," 85","Guelph",0,0,1,31,1,51,1,29,0,60,1,175,367
35027,"Guelph/Guelph"," 86","Guelph",0,0,0,35,1,69,0,23,0,67,0,195,403
35027,"Guelph/Guelph"," 87","Guelph",1,0,0,28,0,101,1,30,1,87,0,249,416
35027,"Guelph/Guelph"," 88","Guelph",0,0,0,35,1,65,0,38,0,74,2,215,511
35027,"Guelph/Guelph"," 88-1A","Guelph",3,1,1,23,0,80,0,25,0,50,2,185,351
35027,"Guelph/Guelph"," 88-1B","Guelph",1,1,3,20,1,52,2,21,1,55,3,160,322
35027,"Guelph/Guelph"," 89","Guelph",2,0,1,50,2,47,0,136,0,87,0,325,546
35027,"Guelph/Guelph"," 90","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 91","Guelph",0,0,0,62,0,69,0,68,0,93,2,294,546
35027,"Guelph/Guelph"," 92","Guelph",0,0,0,51,1,70,0,87,0,72,1,282,503
35027,"Guelph/Guelph"," 93","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 94","Guelph",0,0,0,39,1,42,1,50,0,43,0,176,312
35027,"Guelph/Guelph"," 95A","Guelph",0,0,0,50,0,52,0,52,0,80,0,234,365
35027,"Guelph/Guelph"," 95B","Guelph",0,0,0,30,0,15,0,10,0,22,0,77,121
35027,"Guelph/Guelph"," 95-1","Guelph",1,0,1,38,1,99,1,53,1,94,2,291,584
35027,"Guelph/Guelph"," 96","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 97A","Guelph",1,1,0,31,1,38,0,21,0,30,0,123,324
35027,"Guelph/Guelph"," 97B","Guelph",2,1,0,25,0,50,0,23,0,57,0,158,357
35027,"Guelph/Guelph"," 97-1","Guelph",0,0,2,48,0,78,3,32,0,63,1,227,565
35027,"Guelph/Guelph"," 98","Guelph",4,0,0,63,0,95,1,42,0,111,0,316,558
35027,"Guelph/Guelph"," 99","Guelph",2,0,0,45,1,99,0,44,1,62,1,255,529
35027,"Guelph/Guelph"," 100","Guelph",3,0,0,41,2,108,4,27,1,102,1,289,550
35027,"Guelph/Guelph"," 101","Guelph",0,0,0,45,0,111,0,50,0,71,0,277,453
35027,"Guelph/Guelph"," 102","Guelph",0,0,0,47,1,90,0,36,0,57,1,232,405
35027,"Guelph/Guelph"," 103","Guelph",0,0,0,33,0,121,0,52,0,76,1,283,493
35027,"Guelph/Guelph"," 104","Guelph",1,0,1,42,0,168,0,46,0,73,2,333,512
35027,"Guelph/Guelph"," 105","Guelph",0,0,0,35,0,119,0,43,0,109,0,306,485
35027,"Guelph/Guelph"," 106","Guelph",1,0,0,37,0,65,0,35,0,73,0,211,407
35027,"Guelph/Guelph"," 107","Guelph",0,0,0,45,1,93,0,46,0,57,1,243,435
35027,"Guelph/Guelph"," 108","Guelph",1,0,1,57,1,58,0,39,1,84,0,242,505
35027,"Guelph/Guelph"," 109","Guelph",0,0,0,46,0,21,0,71,0,61,0,199,325
35027,"Guelph/Guelph"," 110","Guelph",1,0,1,52,0,20,0,74,0,47,0,195,374
35027,"Guelph/Guelph"," 111","Guelph",1,0,0,56,2,18,0,89,0,42,3,211,486
35027,"Guelph/Guelph"," 112","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 113","Guelph",0,0,0,66,0,31,0,121,1,72,1,292,439
35027,"Guelph/Guelph"," 114","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 115","Guelph",0,0,0,64,0,38,1,129,1,93,0,326,526
35027,"Guelph/Guelph"," 116","Guelph",2,0,1,54,2,39,0,78,0,72,3,251,399
35027,"Guelph/Guelph"," 117","Guelph",0,0,0,80,2,45,1,109,0,99,0,336,528
