Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Arbour,Jake Cole,Justin MacKinnon,Gordon O'Connor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 1","West Carleton",19,55,56,150,1,281,526
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 2","West Carleton",29,36,47,172,1,285,516
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 3","West Carleton",31,28,42,172,0,273,503
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 4","West Carleton",28,23,33,118,0,202,344
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 5","West Carleton",32,24,27,109,1,193,323
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 6","West Carleton",23,42,67,171,3,306,463
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 7","West Carleton",22,28,43,100,0,193,426
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 8","West Carleton",20,36,39,153,0,248,475
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 9","West Carleton",22,41,46,204,2,315,539
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 10","West Carleton",22,31,36,150,0,239,399
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 11","West Carleton",28,29,34,158,0,249,406
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 12","West Carleton",7,8,8,130,0,153,262
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 13","West Carleton",19,15,23,150,1,208,387
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 14","West Carleton",26,47,49,175,0,297,507
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 15","West Carleton",15,25,20,122,0,182,351
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 16","West Carleton",18,58,38,212,1,327,538
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 17","West Carleton",30,30,55,182,1,298,490
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 18","West Carleton",20,32,40,109,0,201,343
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 19","West Carleton",9,27,42,168,0,246,386
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 20","Kanata",25,49,75,149,2,300,430
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 21A","Kanata",31,28,64,87,0,210,366
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 21B","Kanata",30,26,75,140,0,271,424
