Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rick Barsky,Kelly Block,Roy Bluehorn,Marcel Leon Bourassa,Amber Jones,Kevin Stricker,Nettie Wiebe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 1","Lizard Lake",0,63,1,1,7,0,12,0,84,171
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 2","Struan",0,65,5,0,5,0,25,0,100,223
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 3","Monarchvale",0,102,1,0,5,0,30,1,139,259
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 4","Springwater",0,119,1,0,7,0,43,0,170,347
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 5","Biggar",1,154,3,0,12,0,64,1,235,566
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 6","Biggar",1,56,5,0,7,1,37,0,107,241
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 7","Biggar",1,49,4,2,5,0,41,0,102,181
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 8","Biggar",0,29,3,0,2,0,34,0,68,165
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 9","Biggar",1,37,2,0,3,0,25,0,68,196
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 10","Biggar",2,79,4,1,13,0,60,0,159,312
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 11","Herschel",0,81,4,0,10,1,30,0,126,193
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 12","Marriott",0,98,3,1,4,0,35,1,142,244
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 13","McGee",0,112,3,1,5,0,25,0,146,298
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 14","Sovereign",1,139,1,0,3,0,25,0,169,303
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 15","Rosetown",0,116,6,0,6,0,50,1,179,308
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 16","Rosetown",2,93,3,1,3,0,40,0,142,212
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 17","Rosetown",0,75,1,0,1,0,44,0,121,207
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 18","Rosetown",0,85,8,1,5,0,27,0,126,218
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 19","Rosetown",1,134,2,0,5,0,40,1,183,296
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 20","Rosetown",2,164,12,2,8,0,69,0,257,571
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 21","Langham",1,111,11,0,6,2,59,0,190,331
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 22","Asquith",1,168,12,0,17,0,91,0,289,541
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 23","Kinley",0,158,0,0,12,0,52,0,222,371
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 24","Perdue",0,114,6,1,9,0,59,1,190,323
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 25","Asquith",3,159,8,1,22,0,98,1,292,491
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 26","Dunfermline",0,135,6,0,13,2,79,0,235,405
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 27","Grandora",0,57,10,0,9,0,53,0,129,186
