Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jamilé Ghaddar,Gordon Guyatt,Arlene MacFarlane-VanderBeek,Peter Ormond,David Sweet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,1,Flamborough,0,18,33,21,81,1,154,258
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,2,Flamborough,0,18,48,28,70,0,164,309
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,3,Flamborough,1,23,38,20,92,1,175,357
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,4,Flamborough,0,37,64,35,176,0,312,603
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,5,Flamborough,Void/Supprimé,,,,,,,
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,6,Flamborough,0,36,36,17,116,0,205,335
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,7,Flamborough,1,21,49,26,133,0,230,404
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,8,Flamborough,1,23,31,10,82,0,147,268
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,9,Flamborough,2,29,67,24,118,0,240,431
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,10,Flamborough,0,13,50,13,108,0,184,296
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,11,Flamborough,0,3,48,16,129,0,196,319
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,12,Flamborough,0,17,58,17,128,0,220,397
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,13,Flamborough,0,21,44,17,106,0,188,303
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,14,Flamborough,0,17,32,27,100,0,176,308
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,15,Flamborough,0,14,28,19,85,0,146,323
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,16,Flamborough,0,23,22,20,113,0,178,310
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,17,Flamborough,3,18,26,10,79,0,136,278
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,18,Flamborough,1,19,28,11,126,0,185,272
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,19,Flamborough,1,33,40,20,146,2,242,380
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale, 20A,Flamborough,1,50,51,21,197,1,321,519
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale, 20B,Flamborough,0,64,57,29,178,0,328,534
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,21,Flamborough,Void/Supprimé,,,,,,,
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,22,Flamborough,0,30,28,16,85,0,159,282
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,23,Flamborough,1,35,32,7,123,0,198,349
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,24,Flamborough,2,27,49,23,176,0,277,455
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,25,Flamborough,1,20,31,11,105,1,169,260
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,26,Flamborough,0,8,25,20,101,1,155,330
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,27,Flamborough,1,24,27,16,136,0,204,315
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,28,Flamborough,0,25,48,13,118,0,204,350
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,29,Flamborough,2,21,24,10,81,0,138,245
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,30,Flamborough,0,26,29,19,105,0,179,276
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,31,Flamborough,0,25,35,10,85,0,155,307
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,32,Flamborough,1,39,45,19,131,0,235,340
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,33,Flamborough,0,36,32,15,111,0,194,300
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,34,Flamborough,1,20,28,15,130,0,194,313
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,35,Flamborough,1,27,18,10,107,1,164,274
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,36,Flamborough,3,24,48,12,95,1,183,356
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,37,Flamborough,0,24,61,15,89,1,190,331
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,38,Flamborough,0,41,60,27,144,0,272,441
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,39,Flamborough,1,40,56,22,100,0,219,365
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,40,Flamborough,1,38,63,30,141,0,273,401
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,41,Flamborough,0,39,58,23,101,2,223,340
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,42,Flamborough,0,27,75,26,138,2,268,398
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,43,Flamborough,1,24,16,15,113,0,169,284
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,44,Flamborough,0,21,36,12,119,0,188,315
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,45,Flamborough,1,34,24,24,109,1,193,374
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,46,Flamborough,0,45,37,16,90,1,189,385
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,47,Flamborough,2,46,44,21,140,3,256,451
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,48,Flamborough,0,43,72,27,163,0,305,539
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,49,Flamborough,0,17,40,11,76,0,144,262
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,50,Flamborough,0,21,44,26,119,0,210,414
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,51,Flamborough,1,19,48,20,97,2,187,333
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,52,Flamborough,0,34,47,28,111,0,220,362
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,53,Flamborough,0,37,37,15,89,0,178,362
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,54,Flamborough,0,13,41,14,98,0,166,344
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,55,Flamborough,0,11,33,14,76,1,135,227
