Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marianne Breton Fontaine,Christine Dandenault,Diane Dicaire,Luc Labbé,Simon Landry,Philippe Larochelle,Blair T. Longley,Réal Ménard,Jean-Claude Rocheleau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Hochelaga/Hochelaga"," 1","Montréal",1,2,109,39,5,13,0,75,39,5,288,521
24021,"Hochelaga/Hochelaga"," 2","Montréal",3,1,64,30,1,6,2,68,30,3,208,353
24021,"Hochelaga/Hochelaga"," 3","Montréal",2,0,65,29,0,6,1,64,35,1,203,492
24021,"Hochelaga/Hochelaga"," 4","Montréal",0,0,51,36,1,2,1,64,24,4,183,321
24021,"Hochelaga/Hochelaga"," 5","Montréal",0,2,69,27,1,7,0,94,30,2,232,380
24021,"Hochelaga/Hochelaga"," 6","Montréal",0,0,92,45,3,8,0,90,37,2,277,478
24021,"Hochelaga/Hochelaga"," 7","Montréal",3,2,72,36,0,6,0,85,24,3,231,438
24021,"Hochelaga/Hochelaga"," 8","Montréal",0,1,97,49,0,7,1,52,26,3,236,379
24021,"Hochelaga/Hochelaga"," 9","Montréal",1,0,79,43,0,2,0,53,36,4,218,404
24021,"Hochelaga/Hochelaga"," 10","Montréal",1,1,82,39,0,7,3,75,31,1,240,381
24021,"Hochelaga/Hochelaga"," 11","Montréal",0,0,76,36,0,4,0,64,19,0,199,379
24021,"Hochelaga/Hochelaga"," 12","Montréal",0,1,76,16,0,5,0,67,23,0,188,370
24021,"Hochelaga/Hochelaga"," 13","Montréal",1,0,24,11,0,1,0,18,5,1,61,398
24021,"Hochelaga/Hochelaga"," 14","Montréal",2,2,109,37,4,6,1,26,16,2,205,325
24021,"Hochelaga/Hochelaga"," 15","Montréal",0,1,53,17,1,1,0,41,12,0,126,222
24021,"Hochelaga/Hochelaga"," 16","Montréal",0,0,54,18,0,9,0,85,27,3,196,377
24021,"Hochelaga/Hochelaga"," 17","Montréal",0,1,67,18,0,5,0,65,12,3,171,366
24021,"Hochelaga/Hochelaga"," 18","Montréal",4,2,54,18,0,5,0,82,34,3,202,356
24021,"Hochelaga/Hochelaga"," 19","Montréal",3,2,62,19,1,4,1,69,17,1,179,310
24021,"Hochelaga/Hochelaga"," 20","Montréal",2,0,68,30,0,6,1,80,32,2,221,342
24021,"Hochelaga/Hochelaga"," 21","Montréal",3,0,59,31,0,6,0,94,20,2,215,384
24021,"Hochelaga/Hochelaga"," 22","Montréal",0,1,28,10,0,5,1,59,15,2,121,241
24021,"Hochelaga/Hochelaga"," 23","Montréal",2,3,28,18,1,7,1,60,24,2,146,268
24021,"Hochelaga/Hochelaga"," 24","Montréal",1,0,78,25,1,12,0,86,29,2,234,460
24021,"Hochelaga/Hochelaga"," 25","Montréal",1,2,81,19,5,5,2,86,37,5,243,414
24021,"Hochelaga/Hochelaga"," 26","Montréal",0,2,67,21,1,4,0,89,33,5,222,362
24021,"Hochelaga/Hochelaga"," 27","Montréal",0,0,48,28,1,10,1,82,32,2,204,310
24021,"Hochelaga/Hochelaga"," 28","Montréal",0,0,74,37,0,13,2,80,33,6,245,366
24021,"Hochelaga/Hochelaga"," 29","Montréal",2,2,45,24,0,3,0,75,24,7,182,311
24021,"Hochelaga/Hochelaga"," 30","Montréal",0,1,48,10,1,12,1,75,37,1,186,387
24021,"Hochelaga/Hochelaga"," 31","Montréal",0,0,39,23,0,3,0,64,23,2,154,315
24021,"Hochelaga/Hochelaga"," 32","Montréal",0,0,58,25,0,12,1,110,31,3,240,462
24021,"Hochelaga/Hochelaga"," 33","Montréal",0,0,42,17,0,7,0,75,30,4,175,389
24021,"Hochelaga/Hochelaga"," 34","Montréal",1,0,47,21,0,9,1,80,33,2,194,373
24021,"Hochelaga/Hochelaga"," 35","Montréal",1,1,44,13,1,5,0,72,17,1,155,328
24021,"Hochelaga/Hochelaga"," 36","Montréal",1,0,64,24,2,3,1,83,27,1,206,442
24021,"Hochelaga/Hochelaga"," 37","Montréal",1,0,44,20,0,9,1,96,28,3,202,459
24021,"Hochelaga/Hochelaga"," 38","Montréal",0,3,61,20,0,7,1,132,25,6,255,388
24021,"Hochelaga/Hochelaga"," 39","Montréal",1,0,48,27,1,4,0,93,40,1,215,472
24021,"Hochelaga/Hochelaga"," 40","Montréal",0,2,31,11,1,3,0,84,23,1,156,251
24021,"Hochelaga/Hochelaga"," 41","Montréal",0,0,47,21,0,4,0,55,28,0,155,308
24021,"Hochelaga/Hochelaga"," 42","Montréal",0,2,57,30,2,9,0,106,32,2,240,459
