Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Aubin,Jean Guy Dubé,Yvon Godin,Odette Robichaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 57A","Bathurst",3,19,83,15,2,122,309
13001,"Acadie--Bathurst/Acadie--Bathurst"," 57B ","Mobile poll/Bureau itinérant",Merged with No. 513B/Fusionné avec le nº 513B,,,,,,44
13001,"Acadie--Bathurst/Acadie--Bathurst"," 58","Bathurst",4,10,49,18,0,81,256
13001,"Acadie--Bathurst/Acadie--Bathurst"," 59","Bathurst",7,25,37,24,1,94,263
13001,"Acadie--Bathurst/Acadie--Bathurst"," 60","Bathurst",2,8,53,12,0,75,234
13001,"Acadie--Bathurst/Acadie--Bathurst"," 61","Bathurst",4,18,95,20,2,139,339
13001,"Acadie--Bathurst/Acadie--Bathurst"," 62","Bathurst",9,48,101,20,2,180,332
13001,"Acadie--Bathurst/Acadie--Bathurst"," 63","Bathurst",5,37,97,24,1,164,311
13001,"Acadie--Bathurst/Acadie--Bathurst"," 64","Bathurst",4,19,132,21,2,178,422
13001,"Acadie--Bathurst/Acadie--Bathurst"," 65","Bathurst",6,33,92,30,1,162,385
13001,"Acadie--Bathurst/Acadie--Bathurst"," 66","Bathurst",2,27,104,25,2,160,330
13001,"Acadie--Bathurst/Acadie--Bathurst"," 67","Salmon Beach",13,61,88,15,1,178,321
13001,"Acadie--Bathurst/Acadie--Bathurst"," 68","Bathurst",2,17,68,27,2,116,300
13001,"Acadie--Bathurst/Acadie--Bathurst"," 69","North Tetagouche",6,29,96,29,3,163,276
13001,"Acadie--Bathurst/Acadie--Bathurst"," 70","North Tetagouche",6,22,83,14,0,125,210
13001,"Acadie--Bathurst/Acadie--Bathurst"," 71","North Tetagouche",5,24,88,34,2,153,248
13001,"Acadie--Bathurst/Acadie--Bathurst"," 72","South Tetagouche",11,51,99,42,1,204,350
13001,"Acadie--Bathurst/Acadie--Bathurst"," 73","South Tetagouche",7,22,88,16,1,134,250
13001,"Acadie--Bathurst/Acadie--Bathurst"," 74","South Tetagouche",4,39,78,13,1,135,285
13001,"Acadie--Bathurst/Acadie--Bathurst"," 75","Sainte-Anne",4,36,140,34,1,215,386
13001,"Acadie--Bathurst/Acadie--Bathurst"," 76","Bathurst",5,35,109,28,1,178,329
13001,"Acadie--Bathurst/Acadie--Bathurst"," 77","Middle River",6,36,145,27,0,214,402
13001,"Acadie--Bathurst/Acadie--Bathurst"," 78","Reserve Papineau 11",Merged with No. 77/Fusionné avec le nº 77,,,,,,2
13001,"Acadie--Bathurst/Acadie--Bathurst"," 79A","Big River",5,22,97,15,2,141,254
13001,"Acadie--Bathurst/Acadie--Bathurst"," 79B","Big River",6,32,69,25,2,134,258
13001,"Acadie--Bathurst/Acadie--Bathurst"," 80","Papineau",1,14,79,14,2,110,216
13001,"Acadie--Bathurst/Acadie--Bathurst"," 81","Chamberlain Settlement",4,9,68,9,1,91,228
13001,"Acadie--Bathurst/Acadie--Bathurst"," 82","Allardville",1,25,104,18,2,150,257
13001,"Acadie--Bathurst/Acadie--Bathurst"," 83","Allardville",4,14,124,22,2,166,274
13001,"Acadie--Bathurst/Acadie--Bathurst"," 84","Allardville est",1,25,191,25,3,245,420
13001,"Acadie--Bathurst/Acadie--Bathurst"," 85","Jeanne-Mance",6,20,153,19,5,203,349
13001,"Acadie--Bathurst/Acadie--Bathurst"," 86","Saint-Sauveur",1,19,200,30,1,251,357
13001,"Acadie--Bathurst/Acadie--Bathurst"," 87","Allardville",0,5,97,10,0,112,180
13001,"Acadie--Bathurst/Acadie--Bathurst"," 88","Janesville",4,61,134,13,1,213,330
13001,"Acadie--Bathurst/Acadie--Bathurst"," 89","Pokeshaw",5,49,80,23,3,160,240
13001,"Acadie--Bathurst/Acadie--Bathurst"," 90","Dugas--Anse-Bleu",0,1,68,8,3,80,146
13001,"Acadie--Bathurst/Acadie--Bathurst"," 91","Anse-Bleue",3,13,158,34,2,210,333
13001,"Acadie--Bathurst/Acadie--Bathurst"," 92","Grande Anse",1,29,157,39,2,228,347
13001,"Acadie--Bathurst/Acadie--Bathurst"," 93","Grande Anse",1,13,118,38,0,170,316
13001,"Acadie--Bathurst/Acadie--Bathurst"," 94","Saint-Léolin",4,16,159,47,2,228,359
13001,"Acadie--Bathurst/Acadie--Bathurst"," 95","Saint-Léolin",2,7,106,40,1,156,250
13001,"Acadie--Bathurst/Acadie--Bathurst"," 96","Maisonnette",2,12,127,17,1,159,220
13001,"Acadie--Bathurst/Acadie--Bathurst"," 97","Maisonnette",1,19,128,47,3,198,260
13001,"Acadie--Bathurst/Acadie--Bathurst"," 98","Bertrand",4,31,151,50,1,237,331
13001,"Acadie--Bathurst/Acadie--Bathurst"," 99","Bertrand",7,30,142,39,1,219,316
13001,"Acadie--Bathurst/Acadie--Bathurst"," 100","Bertrand",6,28,152,28,1,215,340
13001,"Acadie--Bathurst/Acadie--Bathurst"," 101","Sainte-Anne-du-Bocage",5,29,120,58,3,215,373
13001,"Acadie--Bathurst/Acadie--Bathurst"," 102A","Caraquet",5,32,107,82,0,226,438
13001,"Acadie--Bathurst/Acadie--Bathurst"," 102B","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,10
13001,"Acadie--Bathurst/Acadie--Bathurst"," 103","Pointe-Rocheuse",4,26,87,70,1,188,333
13001,"Acadie--Bathurst/Acadie--Bathurst"," 104","Caraquet",4,9,72,72,1,158,337
13001,"Acadie--Bathurst/Acadie--Bathurst"," 105","Caraquet",3,24,74,60,1,162,300
13001,"Acadie--Bathurst/Acadie--Bathurst"," 106","Caraquet",2,36,111,54,4,207,426
13001,"Acadie--Bathurst/Acadie--Bathurst"," 107","Caraquet",2,25,114,43,1,185,357
13001,"Acadie--Bathurst/Acadie--Bathurst"," 108","Caraquet",4,51,113,74,5,247,426
13001,"Acadie--Bathurst/Acadie--Bathurst"," 109","Caraquet",5,32,120,70,1,228,386
13001,"Acadie--Bathurst/Acadie--Bathurst"," 110","Bas-Caraquet",6,25,86,27,2,146,280
13001,"Acadie--Bathurst/Acadie--Bathurst"," 111","Bas-Caraquet",1,33,99,67,4,204,326
13001,"Acadie--Bathurst/Acadie--Bathurst"," 112","Bas-Caraquet",1,8,104,35,1,149,308
13001,"Acadie--Bathurst/Acadie--Bathurst"," 113","Bas-Caraquet",3,26,126,40,0,195,309
13001,"Acadie--Bathurst/Acadie--Bathurst"," 114","Pokesudie",1,20,98,28,2,149,240
13001,"Acadie--Bathurst/Acadie--Bathurst"," 115","Centre-Saint-Simon",3,33,86,73,3,198,310
13001,"Acadie--Bathurst/Acadie--Bathurst"," 116","Haut-Saint-Simon",0,18,100,63,1,182,299
13001,"Acadie--Bathurst/Acadie--Bathurst"," 117","Blanchard Settlement",0,30,159,47,3,239,345
13001,"Acadie--Bathurst/Acadie--Bathurst"," 118","Miscou Plains",4,24,56,20,4,108,160
13001,"Acadie--Bathurst/Acadie--Bathurst"," 119","Miscou Centre",2,49,125,53,1,230,364
13001,"Acadie--Bathurst/Acadie--Bathurst"," 120","Pigeon Hill",1,27,36,21,0,85,135
13001,"Acadie--Bathurst/Acadie--Bathurst"," 121","Pigeon Hill",4,47,122,63,5,241,375
13001,"Acadie--Bathurst/Acadie--Bathurst"," 122","Cap-Bateau",4,29,106,32,7,178,269
13001,"Acadie--Bathurst/Acadie--Bathurst"," 123","Coteau Road",2,20,131,46,0,199,305
13001,"Acadie--Bathurst/Acadie--Bathurst"," 124","Petite-Rivière-de-l'Ile",1,23,94,30,2,150,261
13001,"Acadie--Bathurst/Acadie--Bathurst"," 125","Petite-Rivière-de-l'Ile",1,28,127,42,0,198,303
13001,"Acadie--Bathurst/Acadie--Bathurst"," 126","Sainte-Cécile",2,20,48,16,1,87,149
13001,"Acadie--Bathurst/Acadie--Bathurst"," 127","Pointe-Canot",4,21,97,20,2,144,250
13001,"Acadie--Bathurst/Acadie--Bathurst"," 128","Petite-Lamèque",3,29,89,31,1,153,283
13001,"Acadie--Bathurst/Acadie--Bathurst"," 129","Pointe-Alexandre",1,32,90,29,2,154,278
13001,"Acadie--Bathurst/Acadie--Bathurst"," 130","Haut-Lamèque",1,38,80,32,3,154,256
13001,"Acadie--Bathurst/Acadie--Bathurst"," 131","Chiasson",3,38,128,50,2,221,439
