Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Clements,Mary Trapani Hynes,Alex Kovalenko,Eugene McDermott,Yasmin Ratansi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35016,"Don Valley East/Don Valley-Est"," 1","North York",8,22,5,51,104,3,193,405
35016,"Don Valley East/Don Valley-Est"," 2","North York",3,9,1,44,77,0,134,283
35016,"Don Valley East/Don Valley-Est"," 2-1","North York",10,10,0,67,91,1,179,342
35016,"Don Valley East/Don Valley-Est"," 3","North York",16,21,4,65,92,0,198,372
35016,"Don Valley East/Don Valley-Est"," 4","North York",19,21,0,69,109,1,219,414
35016,"Don Valley East/Don Valley-Est"," 5","North York",12,23,0,70,129,0,234,452
35016,"Don Valley East/Don Valley-Est"," 6","North York",4,36,3,83,127,1,254,488
35016,"Don Valley East/Don Valley-Est"," 7","North York",17,30,0,54,102,3,206,373
35016,"Don Valley East/Don Valley-Est"," 8","North York",19,29,1,58,70,2,179,430
35016,"Don Valley East/Don Valley-Est"," 9","North York",11,36,2,29,145,1,224,464
35016,"Don Valley East/Don Valley-Est"," 10","North York",13,22,1,37,59,0,132,292
35016,"Don Valley East/Don Valley-Est"," 11","North York",15,41,2,56,100,0,214,445
35016,"Don Valley East/Don Valley-Est"," 12","North York",15,19,0,38,96,0,168,339
35016,"Don Valley East/Don Valley-Est"," 13","North York",Void/Supprimé,,,,,,,
35016,"Don Valley East/Don Valley-Est"," 14","North York",12,18,1,70,126,0,227,442
35016,"Don Valley East/Don Valley-Est"," 15","North York",8,24,3,103,169,1,308,493
35016,"Don Valley East/Don Valley-Est"," 16","North York",8,25,0,71,113,0,217,460
35016,"Don Valley East/Don Valley-Est"," 17","North York",8,24,2,36,96,0,166,363
35016,"Don Valley East/Don Valley-Est"," 18","North York",8,25,1,38,80,0,152,353
35016,"Don Valley East/Don Valley-Est"," 19","North York",10,29,7,55,109,0,210,391
35016,"Don Valley East/Don Valley-Est"," 20","North York",3,19,2,45,111,0,180,372
35016,"Don Valley East/Don Valley-Est"," 21","North York",11,30,6,49,100,0,196,371
35016,"Don Valley East/Don Valley-Est"," 22","North York",4,31,3,41,93,2,174,413
35016,"Don Valley East/Don Valley-Est"," 23","North York",12,25,3,49,109,0,198,419
35016,"Don Valley East/Don Valley-Est"," 24","North York",9,43,2,55,121,0,230,524
35016,"Don Valley East/Don Valley-Est"," 25","North York",10,31,1,44,132,2,220,543
35016,"Don Valley East/Don Valley-Est"," 26","North York",11,30,2,39,82,1,165,360
35016,"Don Valley East/Don Valley-Est"," 27","North York",9,27,2,37,90,0,165,410
35016,"Don Valley East/Don Valley-Est"," 28","North York",11,21,0,44,77,0,153,409
35016,"Don Valley East/Don Valley-Est"," 29","North York",10,18,1,53,118,1,201,404
35016,"Don Valley East/Don Valley-Est"," 30","North York",13,16,3,67,99,3,201,397
35016,"Don Valley East/Don Valley-Est"," 31","North York",11,25,2,60,97,2,197,377
35016,"Don Valley East/Don Valley-Est"," 32","North York",12,24,0,57,147,1,241,451
35016,"Don Valley East/Don Valley-Est"," 33","North York",4,36,0,21,69,0,130,369
35016,"Don Valley East/Don Valley-Est"," 34","North York",3,22,1,54,80,1,161,423
35016,"Don Valley East/Don Valley-Est"," 35","North York",17,19,0,71,102,0,209,405
35016,"Don Valley East/Don Valley-Est"," 36","North York",6,35,1,48,62,4,156,421
35016,"Don Valley East/Don Valley-Est"," 37","North York",6,11,2,25,22,1,67,215
35016,"Don Valley East/Don Valley-Est"," 38","North York",4,32,3,34,82,0,155,432
35016,"Don Valley East/Don Valley-Est"," 39","North York",7,36,1,30,85,0,159,371
35016,"Don Valley East/Don Valley-Est"," 40","North York",9,22,5,42,47,0,125,340
35016,"Don Valley East/Don Valley-Est"," 41A","North York",6,27,2,35,54,0,124,312
35016,"Don Valley East/Don Valley-Est"," 41B","North York",9,20,2,42,54,1,128,289
35016,"Don Valley East/Don Valley-Est"," 42","North York",4,22,2,46,105,2,181,450
35016,"Don Valley East/Don Valley-Est"," 43","North York",18,52,1,32,76,2,181,415
35016,"Don Valley East/Don Valley-Est"," 44","North York",10,35,1,49,57,0,152,423
35016,"Don Valley East/Don Valley-Est"," 44-1","North York",17,20,1,40,96,0,174,416
35016,"Don Valley East/Don Valley-Est"," 45","North York",2,17,0,26,49,0,94,238
35016,"Don Valley East/Don Valley-Est"," 46","North York",2,16,4,35,55,0,112,212
35016,"Don Valley East/Don Valley-Est"," 47","North York",13,18,0,71,90,1,193,337
35016,"Don Valley East/Don Valley-Est"," 48","North York",12,12,0,64,85,0,173,374
35016,"Don Valley East/Don Valley-Est"," 49","North York",16,17,0,79,88,0,200,358
35016,"Don Valley East/Don Valley-Est"," 50","North York",17,13,0,56,116,0,202,410
35016,"Don Valley East/Don Valley-Est"," 51","North York",7,6,1,32,50,0,96,181
