Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Carrier,Tristan Desjardins Drouin,Régent Millette,Cynthia Roy,Wilson Saintelmy,Alexandre Salameh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Alfred-Pellan/Alfred-Pellan"," 16","Laval",81,3,2,18,26,19,5,154,228
24003,"Alfred-Pellan/Alfred-Pellan"," 17","Laval",77,4,2,22,34,26,7,172,328
24003,"Alfred-Pellan/Alfred-Pellan"," 18","Laval",64,2,1,15,66,50,4,202,252
24003,"Alfred-Pellan/Alfred-Pellan"," 19","Laval",90,5,0,21,39,43,2,200,308
24003,"Alfred-Pellan/Alfred-Pellan"," 20","Laval",134,11,3,40,74,64,10,336,478
24003,"Alfred-Pellan/Alfred-Pellan"," 21","Laval",87,10,2,28,38,17,3,185,320
24003,"Alfred-Pellan/Alfred-Pellan"," 22","Laval",80,4,1,38,29,30,2,184,276
24003,"Alfred-Pellan/Alfred-Pellan"," 23","Laval",138,7,5,34,38,37,3,262,465
24003,"Alfred-Pellan/Alfred-Pellan"," 24","Laval",116,8,1,41,53,32,5,256,400
24003,"Alfred-Pellan/Alfred-Pellan"," 25","Laval",96,4,1,32,83,32,3,251,345
24003,"Alfred-Pellan/Alfred-Pellan"," 26","Laval",99,11,2,32,71,31,3,249,396
24003,"Alfred-Pellan/Alfred-Pellan"," 27","Laval",61,5,1,19,24,19,2,131,257
24003,"Alfred-Pellan/Alfred-Pellan"," 28","Laval",134,8,1,39,50,32,4,268,427
24003,"Alfred-Pellan/Alfred-Pellan"," 29","Laval",110,8,2,36,34,26,7,223,404
24003,"Alfred-Pellan/Alfred-Pellan"," 30","Laval",161,16,2,41,71,43,8,342,538
24003,"Alfred-Pellan/Alfred-Pellan"," 31","Laval",126,5,2,30,95,26,6,290,514
24003,"Alfred-Pellan/Alfred-Pellan"," 32","Laval",82,3,0,21,46,13,2,167,289
24003,"Alfred-Pellan/Alfred-Pellan"," 33","Laval",67,6,0,16,40,22,1,152,328
24003,"Alfred-Pellan/Alfred-Pellan"," 34","Laval",91,10,1,28,94,39,4,267,512
24003,"Alfred-Pellan/Alfred-Pellan"," 35","Laval",128,4,3,36,91,28,9,299,529
24003,"Alfred-Pellan/Alfred-Pellan"," 36","Laval",92,14,0,29,84,21,4,244,517
24003,"Alfred-Pellan/Alfred-Pellan"," 37","Laval",92,6,1,22,74,24,4,223,423
24003,"Alfred-Pellan/Alfred-Pellan"," 38","Laval",111,10,1,30,72,41,4,269,503
24003,"Alfred-Pellan/Alfred-Pellan"," 39","Laval",104,9,0,32,103,38,4,290,554
24003,"Alfred-Pellan/Alfred-Pellan"," 40A","Laval",62,13,0,33,88,30,4,230,426
24003,"Alfred-Pellan/Alfred-Pellan"," 40B","Laval",54,5,2,31,88,28,5,213,412
24003,"Alfred-Pellan/Alfred-Pellan"," 40-1","Laval",73,4,0,31,49,28,5,190,326
24003,"Alfred-Pellan/Alfred-Pellan"," 41","Laval",132,4,1,48,82,36,8,311,509
24003,"Alfred-Pellan/Alfred-Pellan"," 42","Laval",54,5,2,20,86,40,4,211,414
24003,"Alfred-Pellan/Alfred-Pellan"," 42-1","Laval",72,7,1,19,58,24,2,183,327
24003,"Alfred-Pellan/Alfred-Pellan"," 43","Laval",75,4,1,29,42,39,3,193,329
24003,"Alfred-Pellan/Alfred-Pellan"," 44","Laval",130,6,0,40,58,34,6,274,455
24003,"Alfred-Pellan/Alfred-Pellan"," 45","Laval",84,3,0,27,37,9,0,160,335
24003,"Alfred-Pellan/Alfred-Pellan"," 46","Laval",146,5,2,23,54,21,4,255,466
24003,"Alfred-Pellan/Alfred-Pellan"," 47","Laval",92,12,2,39,40,32,2,219,459
24003,"Alfred-Pellan/Alfred-Pellan"," 48","Laval",66,9,2,11,37,20,1,146,298
24003,"Alfred-Pellan/Alfred-Pellan"," 49","Laval",114,6,2,28,75,25,13,263,494
24003,"Alfred-Pellan/Alfred-Pellan"," 50","Laval",124,6,2,22,37,22,6,219,393
24003,"Alfred-Pellan/Alfred-Pellan"," 51","Laval",136,7,3,30,61,34,6,277,442
24003,"Alfred-Pellan/Alfred-Pellan"," 52","Laval",115,5,2,35,55,27,6,245,429
24003,"Alfred-Pellan/Alfred-Pellan"," 53","Laval",112,5,0,27,55,36,5,240,382
24003,"Alfred-Pellan/Alfred-Pellan"," 54","Laval",125,8,3,26,68,35,4,269,407
24003,"Alfred-Pellan/Alfred-Pellan"," 55","Laval",92,9,2,27,64,28,4,226,452
24003,"Alfred-Pellan/Alfred-Pellan"," 56","Laval",94,11,2,25,63,30,2,227,348
24003,"Alfred-Pellan/Alfred-Pellan"," 57","Laval",124,11,1,47,70,40,5,298,422
24003,"Alfred-Pellan/Alfred-Pellan"," 58","Laval",141,10,0,40,89,40,5,325,489
24003,"Alfred-Pellan/Alfred-Pellan"," 59","Laval",22,5,0,23,81,64,0,195,363
24003,"Alfred-Pellan/Alfred-Pellan"," 59-1","Laval",97,8,0,64,122,74,4,369,622
24003,"Alfred-Pellan/Alfred-Pellan"," 60","Laval",24,2,1,8,98,60,2,195,338
24003,"Alfred-Pellan/Alfred-Pellan"," 60-1","Laval",57,5,0,36,76,38,1,213,414
24003,"Alfred-Pellan/Alfred-Pellan"," 61","Laval",32,5,0,19,124,47,0,227,382
24003,"Alfred-Pellan/Alfred-Pellan"," 62","Laval",67,7,0,33,128,57,2,294,490
24003,"Alfred-Pellan/Alfred-Pellan"," 63","Laval",67,10,1,23,118,63,1,283,449
24003,"Alfred-Pellan/Alfred-Pellan"," 64","Laval",85,8,3,41,67,32,4,240,402
24003,"Alfred-Pellan/Alfred-Pellan"," 64-1","Laval",106,2,1,22,41,20,3,195,331
24003,"Alfred-Pellan/Alfred-Pellan"," 65","Laval",121,13,1,33,59,33,3,263,410
24003,"Alfred-Pellan/Alfred-Pellan"," 66","Laval",82,5,2,28,44,18,0,179,385
24003,"Alfred-Pellan/Alfred-Pellan"," 67","Laval",134,5,1,53,67,50,3,313,476
24003,"Alfred-Pellan/Alfred-Pellan"," 68","Laval",56,6,0,18,66,29,4,179,347
24003,"Alfred-Pellan/Alfred-Pellan"," 69","Laval",108,2,0,36,54,35,3,238,434
24003,"Alfred-Pellan/Alfred-Pellan"," 70","Laval",126,6,1,38,70,42,3,286,404
24003,"Alfred-Pellan/Alfred-Pellan"," 71","Laval",99,4,2,34,79,44,3,265,418
24003,"Alfred-Pellan/Alfred-Pellan"," 72","Laval",84,7,1,33,62,32,0,219,455
24003,"Alfred-Pellan/Alfred-Pellan"," 73","Laval",99,17,0,23,70,26,0,235,392
24003,"Alfred-Pellan/Alfred-Pellan"," 74","Laval",59,10,1,28,79,40,2,219,377
24003,"Alfred-Pellan/Alfred-Pellan"," 75","Laval",105,6,1,37,74,32,2,257,378
24003,"Alfred-Pellan/Alfred-Pellan"," 76","Laval",78,11,1,40,41,21,0,192,317
24003,"Alfred-Pellan/Alfred-Pellan"," 77","Laval",66,5,1,16,57,20,5,170,417
24003,"Alfred-Pellan/Alfred-Pellan"," 78","Laval",37,1,0,17,79,35,0,169,308
24003,"Alfred-Pellan/Alfred-Pellan"," 78-1","Laval",87,9,0,28,59,31,2,216,388
24003,"Alfred-Pellan/Alfred-Pellan"," 79","Laval",91,12,0,24,105,36,6,274,513
24003,"Alfred-Pellan/Alfred-Pellan"," 80","Laval",88,5,2,34,49,35,4,217,477
24003,"Alfred-Pellan/Alfred-Pellan"," 81","Laval",64,4,0,15,41,14,0,138,257
24003,"Alfred-Pellan/Alfred-Pellan"," 82","Laval",52,6,1,13,53,33,5,163,272
24003,"Alfred-Pellan/Alfred-Pellan"," 82-1","Laval",47,1,0,9,33,27,1,118,218
24003,"Alfred-Pellan/Alfred-Pellan"," 83A","Laval",14,7,0,21,82,38,1,163,364
24003,"Alfred-Pellan/Alfred-Pellan"," 83B","Laval",21,3,0,22,101,38,0,185,379
24003,"Alfred-Pellan/Alfred-Pellan"," 83-1","Laval",22,4,0,18,118,59,1,222,400
24003,"Alfred-Pellan/Alfred-Pellan"," 83-2","Laval",10,2,0,21,152,68,1,254,544
24003,"Alfred-Pellan/Alfred-Pellan"," 83-3","Laval",17,2,0,6,122,62,1,210,357
24003,"Alfred-Pellan/Alfred-Pellan"," 84","Laval",20,5,1,16,155,63,0,260,416
24003,"Alfred-Pellan/Alfred-Pellan"," 85","Laval",14,10,1,22,134,39,1,221,472
24003,"Alfred-Pellan/Alfred-Pellan"," 86","Laval",72,4,0,15,39,17,4,151,393
24003,"Alfred-Pellan/Alfred-Pellan"," 87","Laval",103,6,0,42,41,31,2,225,437
24003,"Alfred-Pellan/Alfred-Pellan"," 88","Laval",123,6,0,47,57,33,5,271,404
24003,"Alfred-Pellan/Alfred-Pellan"," 89","Laval",114,17,0,46,67,32,5,281,391
24003,"Alfred-Pellan/Alfred-Pellan"," 90","Laval",81,5,1,28,44,24,3,186,349
24003,"Alfred-Pellan/Alfred-Pellan"," 91","Laval",101,9,1,54,57,45,3,270,437
24003,"Alfred-Pellan/Alfred-Pellan"," 92","Laval",90,11,1,22,33,21,5,183,392
24003,"Alfred-Pellan/Alfred-Pellan"," 93","Laval",88,11,1,35,52,31,0,218,361
24003,"Alfred-Pellan/Alfred-Pellan"," 94","Laval",115,22,1,50,98,62,2,350,527
24003,"Alfred-Pellan/Alfred-Pellan"," 95","Laval",81,5,2,28,51,35,3,205,319
24003,"Alfred-Pellan/Alfred-Pellan"," 96","Laval",104,12,0,32,60,56,2,266,460
24003,"Alfred-Pellan/Alfred-Pellan"," 97","Laval",79,6,2,16,45,38,3,189,352
24003,"Alfred-Pellan/Alfred-Pellan"," 98","Laval",35,4,1,16,78,53,1,188,268
24003,"Alfred-Pellan/Alfred-Pellan"," 99","Laval",79,5,1,14,101,60,2,262,399
24003,"Alfred-Pellan/Alfred-Pellan"," 100","Laval",52,6,2,33,109,58,1,261,355
24003,"Alfred-Pellan/Alfred-Pellan"," 101","Laval",80,7,0,31,76,63,0,257,383
24003,"Alfred-Pellan/Alfred-Pellan"," 102","Laval",48,9,1,26,107,62,1,254,354
24003,"Alfred-Pellan/Alfred-Pellan"," 103","Laval",70,7,1,24,43,24,4,173,286
24003,"Alfred-Pellan/Alfred-Pellan"," 104","Laval",73,7,2,23,70,39,1,215,361
24003,"Alfred-Pellan/Alfred-Pellan"," 105","Laval",69,6,3,26,89,40,0,233,353
24003,"Alfred-Pellan/Alfred-Pellan"," 106","Laval",76,8,0,43,96,63,3,289,450
24003,"Alfred-Pellan/Alfred-Pellan"," 107","Laval",58,7,3,24,113,40,1,246,352
24003,"Alfred-Pellan/Alfred-Pellan"," 108","Laval",75,14,1,36,91,41,1,259,391
24003,"Alfred-Pellan/Alfred-Pellan"," 109","Laval",75,9,1,26,49,19,4,183,379
24003,"Alfred-Pellan/Alfred-Pellan"," 110","Laval",106,9,0,35,105,41,0,296,479
24003,"Alfred-Pellan/Alfred-Pellan"," 111","Laval",75,5,1,18,99,41,3,242,389
24003,"Alfred-Pellan/Alfred-Pellan"," 112","Laval",114,9,1,31,58,27,3,243,486
24003,"Alfred-Pellan/Alfred-Pellan"," 113","Laval",84,7,1,21,80,28,3,224,418
24003,"Alfred-Pellan/Alfred-Pellan"," 114","Laval",94,4,1,31,92,57,4,283,475
24003,"Alfred-Pellan/Alfred-Pellan"," 115","Laval",93,6,0,30,99,40,3,271,451
24003,"Alfred-Pellan/Alfred-Pellan"," 116","Laval",88,9,3,31,45,32,3,211,396
24003,"Alfred-Pellan/Alfred-Pellan"," 117","Laval",80,4,2,18,79,36,0,219,333
24003,"Alfred-Pellan/Alfred-Pellan"," 118","Laval",91,5,0,31,68,30,2,227,398
24003,"Alfred-Pellan/Alfred-Pellan"," 119","Laval",74,5,0,23,90,46,5,243,387
24003,"Alfred-Pellan/Alfred-Pellan"," 120","Laval",33,8,0,30,183,73,5,332,517
