Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Gerald Derome,Philip Fernandez,David Peter Gentili,El- Farouk Khaki,Ellen Michelson,Bob Rae,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Toronto Centre/Toronto-Centre"," 481","Toronto",0,1,0,31,41,36,116,0,0,225,394
35093,"Toronto Centre/Toronto-Centre"," 482","Toronto",0,1,0,45,10,18,97,1,2,174,333
35093,"Toronto Centre/Toronto-Centre"," 483","Toronto",1,0,0,11,17,6,40,0,0,75,208
35093,"Toronto Centre/Toronto-Centre"," 484","Toronto",1,1,0,21,4,16,47,0,0,90,193
35093,"Toronto Centre/Toronto-Centre"," 485","Toronto",0,0,0,27,11,13,63,0,0,114,217
35093,"Toronto Centre/Toronto-Centre"," 486","Toronto",1,1,0,27,21,23,70,0,1,144,250
35093,"Toronto Centre/Toronto-Centre"," 487","Toronto",0,1,1,31,26,26,104,1,2,192,353
35093,"Toronto Centre/Toronto-Centre"," 488","Toronto",0,1,0,10,25,1,32,0,1,70,255
35093,"Toronto Centre/Toronto-Centre"," 489","Toronto",2,1,1,16,19,4,55,1,0,99,292
35093,"Toronto Centre/Toronto-Centre"," 490","Toronto",1,1,0,9,27,16,55,2,2,113,251
35093,"Toronto Centre/Toronto-Centre"," 491","Toronto",0,0,0,15,43,12,57,1,0,128,254
35093,"Toronto Centre/Toronto-Centre"," 492","Toronto",0,0,1,37,38,41,108,0,0,225,328
35093,"Toronto Centre/Toronto-Centre"," 493","Toronto",2,0,0,11,24,20,83,1,0,141,239
35093,"Toronto Centre/Toronto-Centre"," 494","Toronto",1,0,1,20,11,13,52,0,0,98,164
35093,"Toronto Centre/Toronto-Centre"," 495","Toronto",0,0,0,7,14,19,76,1,0,117,187
35093,"Toronto Centre/Toronto-Centre"," 500A","Mobile poll/Bureau itinérant",1,0,0,9,4,2,11,0,0,27,68
35093,"Toronto Centre/Toronto-Centre"," 500B","Mobile poll/Bureau itinérant",1,0,1,6,12,1,25,0,0,46,96
35093,"Toronto Centre/Toronto-Centre"," 600","Toronto",1,0,0,175,7,49,279,0,1,512,
35093,"Toronto Centre/Toronto-Centre"," 601","Toronto",0,1,1,123,15,46,316,0,4,506,
35093,"Toronto Centre/Toronto-Centre"," 602","Toronto",0,0,0,64,35,44,219,0,0,362,
35093,"Toronto Centre/Toronto-Centre"," 603","Toronto",1,1,1,34,57,15,148,0,3,260,
35093,"Toronto Centre/Toronto-Centre"," 604","Toronto",0,0,1,28,56,43,188,4,3,323,
35093,"Toronto Centre/Toronto-Centre"," 605","Toronto",1,1,0,133,40,31,251,2,0,459,
35093,"Toronto Centre/Toronto-Centre"," 606","Toronto",1,0,0,49,80,31,257,1,1,420,
35093,"Toronto Centre/Toronto-Centre"," 607","Toronto",5,1,0,48,87,65,306,0,1,513,
35093,"Toronto Centre/Toronto-Centre"," 608","Toronto",0,0,0,67,81,42,239,0,3,432,
35093,"Toronto Centre/Toronto-Centre"," 609","Toronto",1,1,2,49,54,41,144,1,0,293,
35093,"Toronto Centre/Toronto-Centre"," 610","Toronto",2,1,0,30,35,26,130,2,1,227,
35093,"Toronto Centre/Toronto-Centre"," 611","Toronto",3,0,2,130,73,58,354,0,3,623,
35093,"Toronto Centre/Toronto-Centre"," 612","Toronto",4,1,0,46,79,59,200,0,2,391,
35093,"Toronto Centre/Toronto-Centre",,Group 1/Groupe 1,2,1,1,34,23,19,128,2,5,215,285
35093,"Toronto Centre/Toronto-Centre",,Group 2/Groupe 2,2,1,0,97,74,83,380,1,15,653,

