Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Gerald Derome,Philip Fernandez,David Peter Gentili,El- Farouk Khaki,Ellen Michelson,Bob Rae,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Toronto Centre/Toronto-Centre"," 49","Toronto",0,0,0,21,24,25,106,0,1,177,336
35093,"Toronto Centre/Toronto-Centre"," 50","Toronto",0,1,0,33,54,33,133,0,0,254,564
35093,"Toronto Centre/Toronto-Centre"," 51","Toronto",0,0,0,12,59,33,112,0,3,219,445
35093,"Toronto Centre/Toronto-Centre"," 52","Toronto",2,0,1,27,24,45,109,3,1,212,390
35093,"Toronto Centre/Toronto-Centre"," 53","Toronto",Void/Supprimé,,,,,,,,,,
35093,"Toronto Centre/Toronto-Centre"," 54","Toronto",0,0,1,36,67,45,168,1,0,318,610
35093,"Toronto Centre/Toronto-Centre"," 55","Toronto",1,0,0,19,47,37,107,1,1,213,382
35093,"Toronto Centre/Toronto-Centre"," 56","Toronto",0,0,1,14,51,40,80,0,0,186,395
35093,"Toronto Centre/Toronto-Centre"," 57","Toronto",1,0,0,30,44,34,119,0,0,228,509
35093,"Toronto Centre/Toronto-Centre"," 58","Toronto",1,1,0,18,60,22,100,2,4,208,447
35093,"Toronto Centre/Toronto-Centre"," 59","Toronto",0,0,0,20,61,40,142,1,1,265,473
35093,"Toronto Centre/Toronto-Centre"," 60","Toronto",3,0,0,30,20,26,107,0,1,187,363
35093,"Toronto Centre/Toronto-Centre"," 61","Toronto",0,0,0,32,42,29,152,0,2,257,497
35093,"Toronto Centre/Toronto-Centre"," 62","Toronto",1,0,0,15,22,22,89,0,1,150,282
35093,"Toronto Centre/Toronto-Centre"," 63","Toronto",0,0,0,13,22,15,40,1,0,91,212
35093,"Toronto Centre/Toronto-Centre"," 64","Toronto",0,1,0,71,36,48,146,2,0,304,613
35093,"Toronto Centre/Toronto-Centre"," 65","Toronto",0,0,1,21,43,14,87,0,0,166,360
35093,"Toronto Centre/Toronto-Centre"," 65-1","Toronto",0,0,0,15,36,34,167,0,1,253,405
35093,"Toronto Centre/Toronto-Centre"," 66","Toronto",0,1,0,49,1,12,90,2,0,155,349
35093,"Toronto Centre/Toronto-Centre"," 67","Toronto",0,1,0,36,56,31,118,0,2,244,475
35093,"Toronto Centre/Toronto-Centre"," 68","Toronto",1,2,1,22,54,43,97,0,0,220,398
35093,"Toronto Centre/Toronto-Centre"," 68-1A","Toronto",0,0,0,23,32,27,101,0,1,184,418
35093,"Toronto Centre/Toronto-Centre"," 68-1B","Mobile poll/Bureau itinérant",Merged with No. 36-1B/Fusionné avec le nº 36-1B,,,,,,,,,,64
35093,"Toronto Centre/Toronto-Centre"," 69","Toronto",3,0,1,36,48,23,74,0,2,187,431
35093,"Toronto Centre/Toronto-Centre"," 70","Toronto",0,1,0,26,42,22,93,0,4,188,378
35093,"Toronto Centre/Toronto-Centre"," 71","Toronto",Void/Supprimé,,,,,,,,,,
35093,"Toronto Centre/Toronto-Centre"," 72","Toronto",0,0,0,30,22,38,137,4,0,231,387
35093,"Toronto Centre/Toronto-Centre"," 73","Toronto",0,0,0,29,13,34,150,6,0,232,386
35093,"Toronto Centre/Toronto-Centre"," 74","Toronto",1,1,0,37,16,31,157,3,0,246,412
35093,"Toronto Centre/Toronto-Centre"," 75","Toronto",1,0,1,34,26,56,147,4,0,269,427
35093,"Toronto Centre/Toronto-Centre"," 76","Toronto",0,0,0,19,29,45,98,4,0,195,357
35093,"Toronto Centre/Toronto-Centre"," 77","Toronto",1,0,0,38,44,35,109,0,1,228,392
35093,"Toronto Centre/Toronto-Centre"," 78","Toronto",0,0,1,26,31,42,121,4,1,226,422
35093,"Toronto Centre/Toronto-Centre"," 79","Toronto",0,0,0,28,127,56,191,3,2,407,683
35093,"Toronto Centre/Toronto-Centre"," 80","Toronto",5,2,1,14,16,11,10,4,5,68,251
35093,"Toronto Centre/Toronto-Centre"," 81A","Toronto",0,0,2,12,21,15,45,0,4,99,270
35093,"Toronto Centre/Toronto-Centre"," 81B","Toronto",1,1,1,8,29,13,45,0,2,100,303
35093,"Toronto Centre/Toronto-Centre"," 82","Toronto",0,1,0,28,46,23,107,2,4,211,447
35093,"Toronto Centre/Toronto-Centre"," 83","Toronto",0,1,0,13,51,40,75,0,0,180,416
35093,"Toronto Centre/Toronto-Centre"," 84","Toronto",1,1,0,31,10,10,72,0,1,126,214
35093,"Toronto Centre/Toronto-Centre"," 85","Toronto",0,0,0,5,12,2,14,0,0,33,73
35093,"Toronto Centre/Toronto-Centre"," 86A","Toronto",0,0,0,24,22,22,93,0,0,161,319
35093,"Toronto Centre/Toronto-Centre"," 86B","Toronto",0,1,0,13,15,23,110,0,0,162,317
35093,"Toronto Centre/Toronto-Centre"," 87","Toronto",0,1,0,20,32,38,94,0,2,187,377
35093,"Toronto Centre/Toronto-Centre"," 88","Toronto",0,0,2,21,34,34,125,0,0,216,309
