Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Orville Lewis,Keith Milligan,Rebecca Ridlington,Gail Shea,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11003,"Egmont/Egmont"," 1","Seacow Pond",5,86,3,101,2,197,334
11003,"Egmont/Egmont"," 2","Nail Pond",14,89,2,97,1,203,403
11003,"Egmont/Egmont"," 3","Judes Point",4,90,2,94,0,190,314
11003,"Egmont/Egmont"," 4","Tignish Corner",9,52,2,115,2,180,330
11003,"Egmont/Egmont"," 5","Profits Corner",12,67,5,85,5,174,311
11003,"Egmont/Egmont"," 6","Skinners Pond",10,67,1,91,3,172,329
11003,"Egmont/Egmont"," 7","Ebbsfleet",9,110,7,95,2,223,409
11003,"Egmont/Egmont"," 8","St. Louis",8,86,3,80,3,180,357
11003,"Egmont/Egmont"," 9","St. Felix",9,105,2,107,1,224,359
11003,"Egmont/Egmont"," 10","Montrose",19,81,7,106,1,214,355
11003,"Egmont/Egmont"," 11","Alma",13,69,6,67,1,156,324
11003,"Egmont/Egmont"," 12","St. Lawrence",21,66,7,97,4,195,301
11003,"Egmont/Egmont"," 13","Brockton",12,78,6,115,3,214,345
11003,"Egmont/Egmont"," 14","Rosebank",12,66,2,101,0,181,313
11003,"Egmont/Egmont"," 15","Alberton West",10,92,4,115,1,222,372
11003,"Egmont/Egmont"," 16","Alberton East",8,78,4,93,0,183,365
11003,"Egmont/Egmont"," 17","Mill River",13,87,9,141,1,251,401
11003,"Egmont/Egmont"," 18","Northport",12,92,4,94,1,203,407
11003,"Egmont/Egmont"," 19","Cascumpec",21,68,11,118,1,219,367
11003,"Egmont/Egmont"," 20","Howlan",10,86,6,61,0,163,355
11003,"Egmont/Egmont"," 21","O'Leary South",18,77,4,75,4,178,365
11003,"Egmont/Egmont"," 22","O'Leary North",9,59,2,92,2,164,337
11003,"Egmont/Egmont"," 23","Glengarry",10,88,7,55,1,161,318
11003,"Egmont/Egmont"," 24","West Cape",9,89,8,82,2,190,358
11003,"Egmont/Egmont"," 25","Hebron",16,79,4,80,2,181,363
11003,"Egmont/Egmont"," 26","Coleman",6,63,3,76,0,148,298
11003,"Egmont/Egmont"," 27","Portage",11,75,0,53,1,140,333
11003,"Egmont/Egmont"," 28","Conway",20,156,5,63,0,244,391
11003,"Egmont/Egmont"," 29","East Bideford",12,115,3,70,0,200,348
11003,"Egmont/Egmont"," 30","Enmore",22,92,4,83,0,201,397
11003,"Egmont/Egmont"," 31","Port Hill",5,130,7,60,2,204,339
11003,"Egmont/Egmont"," 32","Lennox Island",1,128,2,11,0,142,195
11003,"Egmont/Egmont"," 33","Birch Hill",5,37,3,25,0,70,138
11003,"Egmont/Egmont"," 34","Birch Hill",13,112,5,45,0,175,241
11003,"Egmont/Egmont"," 35","Cross River",8,102,4,35,0,149,228
11003,"Egmont/Egmont"," 36","St. Philip",20,139,7,65,3,234,348
11003,"Egmont/Egmont"," 37","Urbainville",19,118,12,100,2,251,372
11003,"Egmont/Egmont"," 38","Maximeville",19,139,10,78,1,247,375
11003,"Egmont/Egmont"," 39","Wellington",25,111,12,87,2,237,361
11003,"Egmont/Egmont"," 40","Central Lot 16",21,93,10,95,4,223,330
11003,"Egmont/Egmont"," 41","Union Corner",26,104,7,83,2,222,318
11003,"Egmont/Egmont"," 42","St. Nicholas",21,68,12,56,0,157,263
11003,"Egmont/Egmont"," 43","Miscouche South",22,101,7,105,1,236,378
11003,"Egmont/Egmont"," 44","Summerside",46,83,11,123,1,264,406
11003,"Egmont/Egmont"," 45","Summerside",24,74,9,80,1,188,314
11003,"Egmont/Egmont"," 46","Miscouche North",30,85,8,78,2,203,377
11003,"Egmont/Egmont"," 47","Slemon Park",64,98,16,119,2,299,518
11003,"Egmont/Egmont"," 48","Summerside",42,91,8,127,1,269,482
11003,"Egmont/Egmont"," 49","Summerside",37,100,6,158,1,302,540
11003,"Egmont/Egmont"," 50","Summerside",29,93,4,78,0,204,360
11003,"Egmont/Egmont"," 51","Linkletter",19,58,1,66,0,144,339
11003,"Egmont/Egmont"," 52","Summerside",30,84,10,81,2,207,440
11003,"Egmont/Egmont"," 53","Summerside",25,69,6,75,2,177,395
11003,"Egmont/Egmont"," 54","Summerside",34,86,14,91,1,226,503
11003,"Egmont/Egmont"," 55","Summerside",13,123,6,98,4,244,409
11003,"Egmont/Egmont"," 56","Summerside",36,85,13,91,3,228,389
11003,"Egmont/Egmont"," 57","Summerside",20,83,9,86,0,198,405
11003,"Egmont/Egmont"," 58","Summerside",19,75,12,68,0,174,350
11003,"Egmont/Egmont"," 59","Summerside",19,70,13,67,0,169,320
11003,"Egmont/Egmont"," 60","Summerside",22,50,14,56,1,143,303
11003,"Egmont/Egmont"," 61","Summerside",31,67,9,88,0,195,375
11003,"Egmont/Egmont"," 62","Summerside",20,64,11,69,0,164,370
11003,"Egmont/Egmont"," 63","Summerside",40,61,12,73,1,187,388
11003,"Egmont/Egmont"," 64","Summerside",21,89,10,82,2,204,335
11003,"Egmont/Egmont"," 65","Summerside",15,82,11,87,0,195,353
11003,"Egmont/Egmont"," 66","Summerside",24,87,8,67,1,187,358
11003,"Egmont/Egmont"," 67","Summerside",22,70,7,68,2,169,396
11003,"Egmont/Egmont"," 68","Summerside",34,105,15,91,1,246,416
11003,"Egmont/Egmont"," 69","Summerside",35,78,11,116,0,240,412
11003,"Egmont/Egmont"," 70","Sherbrooke",30,56,8,76,0,170,289
11003,"Egmont/Egmont"," 71","Summerside",26,54,6,66,0,152,279
11003,"Egmont/Egmont"," 72","Summerside",21,90,11,78,0,200,387
11003,"Egmont/Egmont"," 73","Summerside",26,78,5,86,1,196,354
11003,"Egmont/Egmont"," 74","Summerside",14,91,13,103,0,221,356
11003,"Egmont/Egmont"," 75","Summerside",25,84,11,112,0,232,384
11003,"Egmont/Egmont"," 76","Lower Bedeque",Void/Supprimé,,,,,,
11003,"Egmont/Egmont"," 500","Mobile poll/Bureau itinérant",5,68,4,36,4,117,151
11003,"Egmont/Egmont"," 501","Mobile poll/Bureau itinérant",4,43,1,41,4,93,122
11003,"Egmont/Egmont"," 600","Tignish",23,204,11,328,2,568,
11003,"Egmont/Egmont"," 601","Alberton",11,150,7,168,2,338,
11003,"Egmont/Egmont"," 602","O'Leary",14,193,8,212,5,432,
11003,"Egmont/Egmont"," 603","Tyne Valley",4,78,0,45,0,127,
11003,"Egmont/Egmont"," 604","Wellington",11,93,9,86,0,199,
11003,"Egmont/Egmont"," 605","Miscouche",18,65,7,66,0,156,
11003,"Egmont/Egmont"," 606","Summerside",38,194,10,224,1,467,
11003,"Egmont/Egmont"," 607","Summerside",51,221,14,261,1,548,
11003,"Egmont/Egmont",,Group 1/Groupe 1,13,31,4,60,2,110,236
11003,"Egmont/Egmont",,Group 2/Groupe 2,16,262,12,232,4,526,

