Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gilbert Barrette,Bruno Côté,Pierre Grandmaitre,Marc Lemay,Ghislain Loiselle,Christine Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 103","La Morandière",22,3,17,53,1,5,5,106,208
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 104","Rochebaucourt",Void/Supprimé,,,,,,,,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 105","Champneuf",2,1,12,33,1,8,0,57,99
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 106","Barville",10,2,40,104,0,9,0,165,347
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 107","Barraute",59,2,38,90,3,14,3,209,407
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 108","Barraute",31,1,37,70,1,9,3,152,355
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 109","Barraute",26,9,45,99,1,21,4,205,428
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 110","Arntfield",36,6,56,105,0,24,3,230,393
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 111","Évain",53,6,37,102,3,27,2,230,402
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 112","Évain",29,4,28,121,3,19,2,206,350
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 113","Évain",38,0,32,106,1,29,5,211,416
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 114","Évain",38,4,40,105,0,21,6,214,435
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 115","Évain",23,6,34,114,2,12,5,196,399
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 116","Évain",29,5,29,78,3,11,0,155,305
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 117","Évain",29,1,35,74,3,18,3,163,311
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 118","Montbeillard",38,7,33,119,0,22,1,220,566
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 118-1","Rouyn-Noranda",11,2,12,24,0,3,1,53,129
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 119","Beaudry",45,9,45,116,1,19,1,236,399
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 120","Beaudry",35,1,25,154,1,22,0,238,473
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 121","Cloutier",29,7,15,50,0,13,1,115,220
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 122","Rollet",28,5,51,40,5,17,2,148,296
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 123","Rémigny",37,3,35,38,2,8,1,124,263
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 124","Lac-Dufault",32,5,22,74,2,12,1,148,371
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 125","Lac-Dufault",45,4,50,108,0,14,3,224,459
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 126","Rouyn-Noranda",40,0,34,72,4,7,3,160,396
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 127","Rouyn-Noranda",22,2,26,70,3,17,2,142,347
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 128","Rouyn-Noranda",33,2,30,114,2,18,2,201,397
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 129","Rouyn-Noranda",50,6,44,124,1,11,1,237,428
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 130","Rouyn-Noranda",29,4,26,93,1,18,2,173,342
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 131","Rouyn-Noranda",42,3,42,115,1,18,0,221,375
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 132","Rouyn-Noranda",29,4,36,104,1,13,0,187,315
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 133","Rouyn-Noranda",44,1,38,90,3,20,3,199,385
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 134","Rouyn-Noranda",55,4,53,109,1,29,2,253,439
