Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cowling,Irma DeVries,Sandra Gardiner,Julian Ichim,Kerry McManus,Gary Ralph Schellenberger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Perth--Wellington/Perth--Wellington"," 1","Minto",16,6,33,2,41,84,3,185,390
35070,"Perth--Wellington/Perth--Wellington"," 2","Minto",12,5,12,0,29,44,0,102,239
35070,"Perth--Wellington/Perth--Wellington"," 3","Minto",26,6,47,0,26,135,0,240,508
35070,"Perth--Wellington/Perth--Wellington"," 4","Minto",17,1,37,0,43,110,1,209,402
35070,"Perth--Wellington/Perth--Wellington"," 5","Minto",22,3,49,0,26,113,2,215,432
35070,"Perth--Wellington/Perth--Wellington"," 6","Minto",16,7,27,0,38,103,2,193,401
35070,"Perth--Wellington/Perth--Wellington"," 7","Minto",18,4,61,0,19,97,0,199,331
35070,"Perth--Wellington/Perth--Wellington"," 8","Minto",7,1,33,0,23,90,0,154,280
35070,"Perth--Wellington/Perth--Wellington"," 8-1","Minto",9,3,40,0,25,86,0,163,284
35070,"Perth--Wellington/Perth--Wellington"," 9","Minto",20,9,21,0,19,103,1,173,311
35070,"Perth--Wellington/Perth--Wellington"," 10","Minto",25,10,46,1,25,116,0,223,406
35070,"Perth--Wellington/Perth--Wellington"," 10-1","Minto",22,5,28,0,38,107,0,200,332
35070,"Perth--Wellington/Perth--Wellington"," 11","Minto",10,7,40,0,22,79,1,159,287
35070,"Perth--Wellington/Perth--Wellington"," 12","Minto",19,9,39,0,51,119,1,238,426
35070,"Perth--Wellington/Perth--Wellington"," 13","Minto",23,5,33,1,31,95,1,189,354
35070,"Perth--Wellington/Perth--Wellington"," 14","Minto",23,4,58,0,44,133,0,262,496
35070,"Perth--Wellington/Perth--Wellington"," 15","North Perth",9,10,46,0,30,133,1,229,416
35070,"Perth--Wellington/Perth--Wellington"," 16","North Perth",Void/Supprimé,,,,,,,,
35070,"Perth--Wellington/Perth--Wellington"," 17","North Perth",16,11,39,0,37,131,3,237,403
35070,"Perth--Wellington/Perth--Wellington"," 18","North Perth",11,13,22,0,23,90,0,159,320
35070,"Perth--Wellington/Perth--Wellington"," 19","North Perth",9,1,12,0,8,66,0,96,222
35070,"Perth--Wellington/Perth--Wellington"," 20","Mount Forest",14,5,42,0,22,131,0,214,407
35070,"Perth--Wellington/Perth--Wellington"," 21","Mount Forest",17,4,48,0,37,119,0,225,428
35070,"Perth--Wellington/Perth--Wellington"," 21-1","Mount Forest",6,6,5,0,8,39,0,64,153
35070,"Perth--Wellington/Perth--Wellington"," 22","Mount Forest",15,6,26,0,30,89,1,167,325
35070,"Perth--Wellington/Perth--Wellington"," 22-1","Mount Forest",9,4,30,0,22,54,0,119,246
35070,"Perth--Wellington/Perth--Wellington"," 23","Mount Forest",22,10,28,0,29,105,0,194,430
35070,"Perth--Wellington/Perth--Wellington"," 24","Mount Forest",11,0,16,0,16,53,2,98,278
35070,"Perth--Wellington/Perth--Wellington"," 24-1","Mount Forest",7,0,14,0,10,35,1,67,161
