Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Chan,Wei Ping Chen,Dale Jackaman,Dobie Yiu-Chung To,Michael Anthony Wolfe,Alice Wong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Richmond/Richmond"," 1","Richmond",63,1,45,2,27,53,1,192,297
59023,"Richmond/Richmond"," 2","Richmond",44,0,37,0,23,67,0,171,264
59023,"Richmond/Richmond"," 3","Richmond",94,0,13,0,10,143,0,260,545
59023,"Richmond/Richmond"," 4","Richmond",64,0,6,0,8,148,1,227,409
59023,"Richmond/Richmond"," 5","Richmond",64,0,12,1,13,85,0,175,317
59023,"Richmond/Richmond"," 6","Richmond",67,0,23,0,15,91,3,199,350
59023,"Richmond/Richmond"," 7","Richmond",84,2,14,3,14,145,1,263,543
59023,"Richmond/Richmond"," 8","Richmond",89,3,11,0,11,121,0,235,571
59023,"Richmond/Richmond"," 8-1","Richmond",54,3,31,1,14,73,1,177,392
59023,"Richmond/Richmond"," 9","Richmond",41,0,9,0,8,100,0,158,430
59023,"Richmond/Richmond"," 9-1","Richmond",68,0,10,0,3,125,1,207,467
59023,"Richmond/Richmond"," 10","Richmond",79,2,22,0,12,120,0,235,442
59023,"Richmond/Richmond"," 11","Richmond",84,3,30,0,19,109,4,249,493
59023,"Richmond/Richmond"," 12","Richmond",65,2,19,0,21,108,2,217,448
59023,"Richmond/Richmond"," 13","Richmond",85,0,30,1,13,105,1,235,433
59023,"Richmond/Richmond"," 14","Richmond",89,2,33,0,28,120,1,273,512
59023,"Richmond/Richmond"," 15","Richmond",74,2,20,2,14,102,0,214,495
59023,"Richmond/Richmond"," 16","Richmond",73,0,25,0,17,113,1,229,461
59023,"Richmond/Richmond"," 17","Richmond",89,3,23,0,11,96,0,222,383
59023,"Richmond/Richmond"," 18","Richmond",62,1,34,0,29,84,0,210,366
59023,"Richmond/Richmond"," 19A","Richmond",72,0,12,0,5,105,1,195,427
59023,"Richmond/Richmond"," 19B","Mobile poll/Bureau itinérant",30,0,15,1,3,48,4,101,129
59023,"Richmond/Richmond"," 20","Richmond",75,3,33,0,7,146,0,264,491
59023,"Richmond/Richmond"," 21","Richmond",78,2,18,0,14,122,1,235,452
59023,"Richmond/Richmond"," 22","Richmond",41,3,33,0,12,66,0,155,409
59023,"Richmond/Richmond"," 23","Richmond",68,0,33,0,20,101,1,223,383
59023,"Richmond/Richmond"," 24","Richmond",102,1,19,1,21,152,1,297,527
59023,"Richmond/Richmond"," 25","Richmond",96,1,46,3,25,119,1,291,463
59023,"Richmond/Richmond"," 26","Richmond",39,2,15,0,4,47,1,108,179
59023,"Richmond/Richmond"," 27","Richmond",Merged with No. 26/Fusionné avec le nº 26,,,,,,,,75
59023,"Richmond/Richmond"," 27-1A","Richmond",79,1,25,0,18,128,0,251,538
59023,"Richmond/Richmond"," 27-1B","Richmond",57,0,15,0,8,79,0,159,389
59023,"Richmond/Richmond"," 28","Richmond",27,1,33,1,11,58,0,131,306
59023,"Richmond/Richmond"," 29","Richmond",69,4,25,1,17,107,1,224,420
59023,"Richmond/Richmond"," 30","Richmond",49,2,16,0,6,88,0,161,312
59023,"Richmond/Richmond"," 30-1","Richmond",38,4,6,0,3,62,2,115,294
59023,"Richmond/Richmond"," 31","Richmond",96,1,15,0,12,110,0,234,458
59023,"Richmond/Richmond"," 32","Richmond",70,5,21,1,10,172,0,279,530
59023,"Richmond/Richmond"," 33","Richmond",38,1,38,0,21,66,1,165,326
59023,"Richmond/Richmond"," 34","Richmond",100,4,47,0,21,159,2,333,720
59023,"Richmond/Richmond"," 35","Richmond",35,1,25,0,7,62,0,130,294
59023,"Richmond/Richmond"," 36","Richmond",84,1,38,1,16,133,1,274,495
59023,"Richmond/Richmond"," 37","Richmond",70,4,39,0,22,104,2,241,468
59023,"Richmond/Richmond"," 38","Richmond",79,1,25,2,15,106,1,229,475
59023,"Richmond/Richmond"," 39","Richmond",66,0,35,2,18,99,1,221,500
59023,"Richmond/Richmond"," 40","Richmond",29,2,23,0,6,30,2,92,245
59023,"Richmond/Richmond"," 41","Richmond",88,2,29,0,21,163,1,304,595
59023,"Richmond/Richmond"," 42","Richmond",60,0,26,0,11,109,3,209,455
59023,"Richmond/Richmond"," 43","Richmond",77,3,27,0,25,134,0,266,492
59023,"Richmond/Richmond"," 44","Richmond",89,4,23,1,7,97,2,223,450
59023,"Richmond/Richmond"," 45","Richmond",80,1,21,0,11,112,0,225,459
59023,"Richmond/Richmond"," 46","Richmond",39,3,22,1,6,51,0,122,312
59023,"Richmond/Richmond"," 47","Richmond",49,3,18,0,11,119,3,203,599
59023,"Richmond/Richmond"," 48","Richmond",64,0,28,0,13,103,1,209,436
59023,"Richmond/Richmond"," 49","Richmond",54,4,38,0,13,118,1,228,432
59023,"Richmond/Richmond"," 50","Richmond",Merged with No. 51/Fusionné avec le nº 51,,,,,,,,4
59023,"Richmond/Richmond"," 51","Richmond",108,4,54,0,19,171,4,360,732
59023,"Richmond/Richmond"," 51-1","Richmond",38,1,17,0,4,42,2,104,278
59023,"Richmond/Richmond"," 52","Richmond",60,3,16,0,3,88,0,170,437
59023,"Richmond/Richmond"," 52-1","Richmond",31,1,7,0,2,52,2,95,270
59023,"Richmond/Richmond"," 53","Richmond",43,4,32,0,6,95,1,181,339
59023,"Richmond/Richmond"," 54","Richmond",89,5,36,0,6,98,2,236,504
59023,"Richmond/Richmond"," 55","Richmond",Void/Supprimé,,,,,,,,
59023,"Richmond/Richmond"," 56","Richmond",59,2,26,4,16,118,0,225,445
59023,"Richmond/Richmond"," 56-1","Richmond",28,1,8,0,2,77,0,116,327
59023,"Richmond/Richmond"," 57","Richmond",61,2,12,1,20,84,1,181,500
59023,"Richmond/Richmond"," 58","Richmond",66,3,41,0,25,70,2,207,492
59023,"Richmond/Richmond"," 59","Richmond",52,3,35,0,16,88,0,194,386
59023,"Richmond/Richmond"," 60","Richmond",45,0,23,0,23,82,0,173,359
59023,"Richmond/Richmond"," 61","Richmond",23,0,14,0,2,52,0,91,186
59023,"Richmond/Richmond"," 62","Richmond",98,1,47,0,22,164,0,332,656
59023,"Richmond/Richmond"," 63","Richmond",51,2,17,0,10,105,0,185,334
59023,"Richmond/Richmond"," 64","Richmond",64,1,42,0,15,96,4,222,426
59023,"Richmond/Richmond"," 64-1","Richmond",35,0,18,0,13,47,0,113,233
59023,"Richmond/Richmond"," 65","Richmond",74,6,34,1,23,91,1,230,486
59023,"Richmond/Richmond"," 66A","Richmond",43,1,18,0,21,46,1,130,277
59023,"Richmond/Richmond"," 66B","Mobile poll/Bureau itinérant",Merged with No. 400/Fusionné avec le nº 400,,,,,,,,40
59023,"Richmond/Richmond"," 67","Richmond",71,4,18,0,6,108,0,207,548
59023,"Richmond/Richmond"," 68","Richmond",42,1,32,0,13,53,2,143,396
59023,"Richmond/Richmond"," 69","Richmond",41,2,24,0,7,49,1,124,331
59023,"Richmond/Richmond"," 70","Richmond",39,5,8,1,2,55,1,111,422
59023,"Richmond/Richmond"," 70-1","Richmond",43,4,9,0,1,48,0,105,455
59023,"Richmond/Richmond"," 71","Richmond",60,1,22,0,6,86,0,175,562
59023,"Richmond/Richmond"," 72","Richmond",31,4,25,0,7,58,0,125,365
59023,"Richmond/Richmond"," 73","Richmond",86,1,17,0,17,87,1,209,499
59023,"Richmond/Richmond"," 74","Richmond",68,2,22,3,7,102,1,205,547
59023,"Richmond/Richmond"," 75","Richmond",41,3,25,0,14,72,2,157,369
59023,"Richmond/Richmond"," 75-1","Richmond",21,2,13,0,2,48,1,87,302
59023,"Richmond/Richmond"," 76","Richmond",45,0,38,0,17,69,0,169,420
59023,"Richmond/Richmond"," 77","Richmond",49,1,26,1,15,80,2,174,417
59023,"Richmond/Richmond"," 77-1","Richmond",54,2,22,0,12,76,0,166,488
59023,"Richmond/Richmond"," 78","Richmond",80,3,46,1,19,67,1,217,541
59023,"Richmond/Richmond"," 79","Richmond",49,0,29,0,8,89,1,176,419
59023,"Richmond/Richmond"," 79-1","Richmond",50,0,13,0,2,70,0,135,348
59023,"Richmond/Richmond"," 80","Richmond",46,3,19,0,9,76,2,155,373
59023,"Richmond/Richmond"," 81","Richmond",44,1,19,0,13,86,1,164,419
59023,"Richmond/Richmond"," 82","Richmond",49,4,12,0,6,58,0,129,326
59023,"Richmond/Richmond"," 83","Richmond",84,1,37,2,18,136,1,279,630
59023,"Richmond/Richmond"," 84","Richmond",44,0,19,0,7,96,0,166,386
59023,"Richmond/Richmond"," 85","Richmond",52,4,27,0,12,74,0,169,401
59023,"Richmond/Richmond"," 85-1","Richmond",50,3,17,0,3,75,0,148,418
59023,"Richmond/Richmond"," 86","Richmond",58,7,15,0,10,77,1,168,516
59023,"Richmond/Richmond"," 87","Richmond",57,4,29,0,6,108,4,208,526
59023,"Richmond/Richmond"," 88","Richmond",44,2,27,0,10,74,2,159,398
59023,"Richmond/Richmond"," 88-1","Richmond",51,3,8,0,5,60,2,129,280
59023,"Richmond/Richmond"," 89","Richmond",67,0,28,2,18,83,1,199,450
59023,"Richmond/Richmond"," 90","Richmond",61,1,27,0,7,123,0,219,503
59023,"Richmond/Richmond"," 91","Richmond",74,2,18,0,10,143,2,249,517
59023,"Richmond/Richmond"," 92","Richmond",42,4,5,2,6,62,0,121,395
59023,"Richmond/Richmond"," 92-1","Richmond",Merged with No. 92-3/Fusionné avec le nº 92-3,,,,,,,,202
59023,"Richmond/Richmond"," 92-2","Richmond",Merged with No. 92-4/Fusionné avec le nº 92-4,,,,,,,,106
59023,"Richmond/Richmond"," 92-3","Richmond",44,1,15,0,10,72,0,142,205
59023,"Richmond/Richmond"," 92-4","Richmond",48,3,34,0,19,48,0,152,255
59023,"Richmond/Richmond"," 93","Richmond",28,1,6,3,3,61,0,102,256
59023,"Richmond/Richmond"," 93-1","Richmond",64,3,26,0,16,70,1,180,352
59023,"Richmond/Richmond"," 94","Richmond",81,0,14,1,10,116,1,223,537
59023,"Richmond/Richmond"," 95","Richmond",47,4,13,0,4,93,0,161,306
59023,"Richmond/Richmond"," 95-1","Richmond",42,2,8,0,5,73,0,130,299
59023,"Richmond/Richmond"," 96","Richmond",48,4,15,1,4,81,0,153,376
59023,"Richmond/Richmond"," 97","Richmond",46,0,26,1,10,57,3,143,420
59023,"Richmond/Richmond"," 98","Richmond",Void/Supprimé,,,,,,,,
59023,"Richmond/Richmond"," 99","Richmond",28,1,20,0,18,42,1,110,255
59023,"Richmond/Richmond"," 100","Richmond",103,9,35,0,8,140,2,297,779
59023,"Richmond/Richmond"," 100-1","Richmond",29,1,8,1,9,62,0,110,389
59023,"Richmond/Richmond"," 100-2","Richmond",59,3,16,1,4,81,0,164,492
59023,"Richmond/Richmond"," 101","Richmond",49,1,26,0,8,61,0,145,360
59023,"Richmond/Richmond"," 102","Richmond",63,5,20,1,15,117,0,221,531
59023,"Richmond/Richmond"," 103","Richmond",46,2,19,0,12,72,0,151,413
59023,"Richmond/Richmond"," 104A","Richmond",36,2,21,1,5,31,0,96,277
59023,"Richmond/Richmond"," 104B","Mobile poll/Bureau itinérant",Merged with No. 19B/Fusionné avec le nº 19B,,,,,,,,58
59023,"Richmond/Richmond"," 105","Richmond",77,2,22,2,10,124,1,238,521
59023,"Richmond/Richmond"," 105-1","Richmond",56,3,15,0,1,95,2,172,394
59023,"Richmond/Richmond"," 105-2","Richmond",40,0,19,1,5,69,1,135,385
59023,"Richmond/Richmond"," 105-3","Richmond",33,0,7,1,5,71,0,117,379
59023,"Richmond/Richmond"," 105-4","Richmond",52,1,10,0,3,70,0,136,324
59023,"Richmond/Richmond"," 106","Richmond",64,3,19,0,6,96,3,191,527
59023,"Richmond/Richmond"," 106-1","Richmond",52,3,17,1,11,72,1,157,428
59023,"Richmond/Richmond"," 106-2","Richmond",21,2,20,0,7,40,1,91,213
59023,"Richmond/Richmond"," 107","Richmond",88,1,22,0,16,129,2,258,547
59023,"Richmond/Richmond"," 107-1","Richmond",49,1,18,0,7,95,0,170,442
59023,"Richmond/Richmond"," 107-2","Richmond",32,2,6,0,1,42,0,83,231
59023,"Richmond/Richmond"," 108","Richmond",47,3,16,0,10,107,0,183,415
