Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carole Devine,Denis Gagné,Cheryl Gallant,Ben Hoffman,Sue McSheffrey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 1","Deux-Rivières",2,0,8,1,4,0,15,33
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 2","Head",9,1,33,7,15,0,65,159
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 3","Rolphton",35,0,113,13,27,0,188,322
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 4","Point Alexander",53,2,93,13,24,4,189,378
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 5","Deep River",47,0,43,21,16,1,128,229
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 5-1","Deep River",94,0,78,14,15,0,201,348
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 6","Deep River",102,1,130,23,22,1,279,451
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 7","Deep River",104,1,72,21,34,1,233,425
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 8","Deep River",58,4,80,13,22,2,179,388
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 9","Deep River",107,3,78,18,26,1,233,456
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 10","Deep River",81,1,60,14,13,1,170,310
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 11","Deep River",63,1,65,12,22,1,164,292
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 12","Deep River",44,0,53,12,17,0,126,298
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 13","Wylie",25,2,30,5,5,0,67,121
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 14","Chalk River",40,0,118,13,31,0,202,335
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 15","Chalk River",41,2,88,10,24,0,165,282
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 16","Mountain View",55,2,148,9,19,0,233,543
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 17","Petawawa",10,0,42,10,7,0,69,190
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 17-1","Petawawa",5,1,38,2,6,0,52,178
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 18","Petawawa",8,1,34,1,4,0,48,173
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 19","Petawawa",4,0,45,3,5,1,58,208
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 20","Petawawa",Void/Supprimé,,,,,,,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 21","Petawawa",5,1,43,3,8,0,60,179
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 22","Petawawa",52,0,122,13,24,1,212,430
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 23","Petawawa",30,1,43,7,13,0,94,208
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 23-1","Petawawa",17,1,83,10,10,2,123,272
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 24","Petawawa",31,0,70,9,23,1,134,356
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 25","Petawawa",20,0,69,5,9,1,104,340
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 26","Petawawa",2,0,42,4,4,0,52,172
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 27","Petawawa",5,1,26,3,9,1,45,124
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 28","Petawawa",32,2,117,14,24,2,191,382
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 29","Petawawa",31,2,89,12,28,1,163,306
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 30","Petawawa",29,2,95,7,19,0,152,317
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 31","Petawawa",31,0,106,7,15,0,159,312
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 31-1","Petawawa",18,2,64,3,8,0,95,201
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 32","Petawawa",28,3,133,10,27,1,202,444
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 33","Petawawa",39,2,114,13,24,0,192,433
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 34","Petawawa",37,1,121,15,22,0,196,434
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 35","Petawawa",66,4,124,15,31,0,240,472
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 36","Petawawa",33,0,72,7,10,0,122,228
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 36-1","Petawawa",55,4,119,12,17,0,207,388
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 37","Petawawa",26,1,72,8,16,0,123,275
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 38","Petawawa",56,0,140,11,21,0,228,454
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 39","Petawawa",32,1,133,7,22,0,195,380
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 40","Forest Lea",42,2,170,6,19,0,239,431
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 40-1","Laurentian Valley",10,0,47,6,7,1,71,145
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 41","Alice",41,0,204,15,31,2,293,535
