Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rodrigo Alfaro,Gaëtan Bérard,Gérard Labelle,François Pilon,Pablo Rodriguez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Honoré-Mercier/Honoré-Mercier"," 1","Montréal",38,15,120,14,103,3,293,544
24022,"Honoré-Mercier/Honoré-Mercier"," 2","Montréal",35,8,116,50,59,0,268,500
24022,"Honoré-Mercier/Honoré-Mercier"," 3","Montréal",48,12,90,32,65,7,254,509
24022,"Honoré-Mercier/Honoré-Mercier"," 4","Montréal",34,5,47,19,64,5,174,338
24022,"Honoré-Mercier/Honoré-Mercier"," 4-1","Montréal",67,8,42,23,173,0,313,503
24022,"Honoré-Mercier/Honoré-Mercier"," 5","Montréal",22,7,26,10,64,0,129,247
24022,"Honoré-Mercier/Honoré-Mercier"," 6","Montréal",36,10,56,39,97,5,243,520
24022,"Honoré-Mercier/Honoré-Mercier"," 7","Montréal",29,8,61,24,74,5,201,319
24022,"Honoré-Mercier/Honoré-Mercier"," 8","Montréal",40,5,63,34,109,2,253,541
24022,"Honoré-Mercier/Honoré-Mercier"," 9","Montréal",57,8,38,20,118,1,242,458
24022,"Honoré-Mercier/Honoré-Mercier"," 9-1","Montréal",28,4,52,22,96,1,203,405
24022,"Honoré-Mercier/Honoré-Mercier"," 10","Montréal",23,7,70,26,64,3,193,340
24022,"Honoré-Mercier/Honoré-Mercier"," 11","Montréal",24,1,49,9,76,0,159,276
24022,"Honoré-Mercier/Honoré-Mercier"," 12","Montréal",41,8,108,38,98,5,298,512
24022,"Honoré-Mercier/Honoré-Mercier"," 13","Montréal",31,9,90,31,118,5,284,522
24022,"Honoré-Mercier/Honoré-Mercier"," 14","Montréal",28,4,32,12,139,3,218,416
24022,"Honoré-Mercier/Honoré-Mercier"," 15","Montréal",59,5,41,25,167,0,297,521
24022,"Honoré-Mercier/Honoré-Mercier"," 16","Montréal",39,8,45,9,135,4,240,475
