Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Baird,Frances Coates,Alex McDonald,David Page,David Pratt,Marlene Rivier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 1","Nepean",117,16,0,1,71,11,0,216,372
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 2","Nepean",Void/Supprimé,,,,,,,,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 3","Nepean",93,19,0,1,89,21,0,223,386
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 4","Nepean",91,18,0,2,93,17,0,221,373
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 5","Nepean",107,12,0,0,80,13,1,213,404
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 6","Nepean",129,18,0,1,99,18,1,266,406
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 7","Nepean",105,18,0,5,96,18,0,242,386
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 8","Nepean",162,32,0,1,133,20,0,348,494
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 9","Nepean",138,18,0,1,89,18,0,264,425
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 10","Nepean",40,13,0,1,95,23,4,176,323
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 11","Nepean",61,7,0,1,51,4,1,125,154
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 12","Nepean",38,3,0,2,46,29,0,118,304
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 13","Nepean",89,5,1,3,85,57,0,240,457
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 14","Nepean",70,7,2,3,69,26,2,179,355
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 15","Nepean",49,13,2,0,54,42,2,162,317
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 15-1","Nepean",38,7,0,0,49,17,6,117,319
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 16","Nepean",64,6,0,0,66,27,0,163,339
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 17","Nepean",23,2,1,0,25,13,0,64,186
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 18","Nepean",47,3,0,2,47,22,0,121,331
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 19","Nepean",47,2,0,0,54,12,0,115,289
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 20","Nepean",96,6,1,2,59,17,1,182,293
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 21","Ottawa",106,8,0,1,126,28,1,270,401
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 22","Ottawa",36,7,0,0,24,22,2,91,168
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 23","Ottawa",97,30,3,2,92,44,2,270,498
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 24","Ottawa",52,14,3,2,67,59,0,197,387
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 25","Ottawa",50,16,2,3,49,16,0,136,337
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 26","Ottawa",67,18,0,4,65,34,0,188,311
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 27","Ottawa",57,14,0,4,62,25,0,162,361
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 28","Ottawa",68,19,1,0,108,29,1,226,367
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 29","Ottawa",46,10,0,0,78,24,2,160,262
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 30","Ottawa",36,15,2,1,79,22,1,156,419
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 31","Ottawa",57,12,1,0,65,27,0,162,321
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 32","Ottawa",85,22,2,1,95,29,0,234,377
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 33","Ottawa",68,22,0,3,95,34,0,222,367
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 34","Ottawa",74,17,2,2,114,32,1,242,370
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 35","Ottawa",79,14,1,2,86,23,2,207,339
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 36","Ottawa",81,32,0,0,61,27,0,201,346
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 37","Ottawa",47,18,1,0,48,22,0,136,244
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 38","Ottawa",Void/Supprimé,,,,,,,,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 39","Ottawa",117,21,2,4,79,38,1,262,478
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 39-1","Ottawa",141,15,0,2,132,18,2,310,454
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 39-2","Ottawa",159,15,0,3,126,10,3,316,443
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 40","Ottawa",Void/Supprimé,,,,,,,,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 41","Ottawa",57,18,0,2,66,16,0,159,257
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 42","Ottawa",90,11,2,0,90,32,2,227,370
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 43","Ottawa",56,3,0,3,50,10,0,122,252
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 44","Ottawa",72,24,0,0,79,39,2,216,405
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 45","Ottawa",140,15,0,4,84,18,0,261,362
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 46","Ottawa",121,13,1,0,134,29,0,298,514
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 47","Ottawa",115,17,2,1,105,39,0,279,447
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 48","Ottawa",94,17,0,1,85,23,1,221,438
