Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Christie,Stephen Harper,Larry R. Heather,Holly Heffernan,Marlene Lamontagne,Dennis Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 73","Calgary",18,166,0,18,14,1,0,217,421
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 74","Calgary",22,154,3,10,20,1,0,210,386
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 75","Calgary",20,111,2,10,13,0,1,157,287
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 76","Calgary",24,159,1,21,16,0,5,226,409
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 77","Calgary",21,125,1,19,18,2,0,186,340
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 78","Calgary",26,199,4,31,23,1,0,284,569
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 79","Calgary",23,113,2,28,23,1,1,191,405
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 80","Calgary",20,166,0,21,15,0,0,222,411
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 81","Calgary",28,155,1,25,25,1,0,235,474
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 82","Calgary",28,132,0,25,29,0,2,216,393
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 83","Calgary",18,124,2,13,14,3,1,175,314
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 84","Calgary",15,110,0,13,19,3,0,160,307
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 85","Calgary",28,225,0,26,29,3,0,311,518
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 86","Calgary",17,161,1,13,7,3,0,202,340
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 87","Calgary",19,119,1,22,21,2,0,184,401
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 88","Calgary",17,95,1,15,5,1,2,136,380
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 89","Calgary",16,127,1,12,9,0,1,166,318
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 90","Calgary",17,127,2,18,7,0,1,172,359
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 91","Calgary",40,168,4,13,20,0,0,245,427
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 92","Calgary",15,164,1,8,15,0,0,203,414
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 93","Calgary",8,150,0,13,22,2,1,196,357
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 94","Calgary",12,158,0,23,11,0,1,205,377
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 95","Calgary",37,173,1,17,22,1,0,251,437
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 96","Calgary",21,144,0,23,16,3,0,207,383
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 97","Calgary",16,118,3,25,17,1,2,182,355
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 98","Calgary",13,136,1,23,20,3,1,197,398
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 99","Calgary",26,128,1,26,15,2,0,198,408
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 100","Calgary",17,153,0,19,15,1,1,206,375
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 101","Calgary",13,134,0,13,27,0,0,187,332
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 102","Calgary",21,181,0,10,24,1,1,238,424
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 103","Calgary",30,192,0,18,34,0,0,274,468
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 104","Calgary",14,134,0,19,17,1,1,186,349
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 105","Calgary",10,98,1,6,17,1,1,134,274
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 106","Calgary",23,159,1,19,16,0,1,219,389
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 107","Calgary",18,148,2,11,26,0,0,205,349
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 108","Calgary",14,185,0,10,29,1,0,239,431
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 109","Calgary",17,176,2,11,27,3,1,237,387
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 110","Calgary",19,198,0,11,36,0,1,265,440
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 111","Calgary",30,197,0,9,24,1,1,262,438
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 112","Calgary",15,73,2,13,11,0,1,115,307
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 113","Calgary",13,170,0,20,22,1,1,227,402
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 114","Calgary",19,157,2,15,26,1,0,220,402
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 115","Calgary",17,148,1,16,28,0,0,210,448
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 116","Calgary",Void/Supprimé,,,,,,,,
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 117","Calgary",7,141,2,4,10,2,0,166,326
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 118","Calgary",19,89,0,21,18,0,1,148,348
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 119","Calgary",22,154,4,14,12,2,0,208,362
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 120","Calgary",14,160,0,12,28,2,1,217,369
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 121","Calgary",26,191,2,12,22,4,0,257,389
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 122","Calgary",17,185,1,9,31,1,0,244,384
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 123","Calgary",22,142,1,7,13,2,0,187,341
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 124","Calgary",19,166,4,16,15,5,1,226,383
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 125","Calgary",13,126,1,11,15,2,1,169,317
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 126","Calgary",21,165,2,23,20,3,0,234,462
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 127","Calgary",6,129,3,16,17,1,0,172,367
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 128","Calgary",16,101,1,18,30,1,0,167,303
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 129","Calgary",17,148,3,12,13,0,1,194,320
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 130","Calgary",17,133,3,20,13,0,0,186,343
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 131","Calgary",14,84,0,21,9,0,2,130,354
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 132","Calgary",14,99,0,11,14,1,0,139,380
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 133","Calgary",15,64,0,18,15,0,1,113,301
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 134","Calgary",25,72,1,25,15,0,0,138,388
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 135","Calgary",14,101,1,22,24,2,1,165,438
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 136","Calgary",20,177,3,12,26,1,0,239,394
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 137","Calgary",34,128,0,26,19,2,0,209,514
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 137-1","Calgary",Void/Supprimé,,,,,,,,
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 138","Calgary",36,153,0,20,20,3,4,236,505
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 139","Calgary",25,158,0,13,21,0,1,218,372
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 140","Calgary",16,163,2,13,22,1,1,218,390
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 141","Calgary",21,185,0,17,32,4,2,261,448
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 142","Calgary",19,164,0,10,28,0,0,221,355
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 143","Calgary",24,176,2,15,24,0,0,241,404
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 144","Calgary",24,138,2,23,10,0,0,197,390
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 145","Calgary",22,173,1,22,15,3,0,236,381
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 146","Calgary",30,163,2,28,17,1,0,241,445
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 147","Calgary",17,165,1,35,22,3,1,244,403
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 148","Calgary",21,95,1,25,14,4,0,160,342
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 149","Calgary",20,215,4,9,14,0,1,263,471
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 150","Calgary",19,92,0,26,14,1,0,152,324
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 151","Calgary",17,197,0,9,29,1,0,253,387
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 152","Calgary",19,203,0,19,35,4,1,281,526
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 153","Calgary",11,185,1,7,24,2,0,230,348
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 154","Calgary",8,223,1,9,22,0,1,264,435
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 155","Calgary",14,217,2,13,20,1,1,268,492
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 156","Calgary",17,246,1,10,29,2,0,305,511
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 157","Calgary",17,227,2,10,16,0,2,274,469
