Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachid Arab,Dona Cadman,Psam Frank,Alex Joehl,Dan Kashagama,Bernadette Keenan,Nikolas Langlands,Marc Muhammad,Kevin Pielak,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59028,"Surrey North/Surrey-Nord"," 1","Surrey",55,38,1,2,10,3,1,9,1,0,120,301
59028,"Surrey North/Surrey-Nord"," 2","Surrey",33,47,0,2,14,1,0,11,0,0,108,263
59028,"Surrey North/Surrey-Nord"," 3","Surrey",45,66,0,1,10,5,3,16,3,0,149,342
59028,"Surrey North/Surrey-Nord"," 4","Surrey",55,65,0,0,10,4,2,15,1,1,153,375
59028,"Surrey North/Surrey-Nord"," 5","Surrey",56,78,0,2,18,2,1,33,3,0,193,423
59028,"Surrey North/Surrey-Nord"," 6","Surrey",72,58,0,1,18,2,0,43,1,1,196,462
59028,"Surrey North/Surrey-Nord"," 7","Surrey",35,38,2,3,11,0,0,12,3,1,105,304
59028,"Surrey North/Surrey-Nord"," 8","Surrey",48,64,0,0,4,3,0,22,2,0,143,252
59028,"Surrey North/Surrey-Nord"," 9","Surrey",58,57,0,0,13,2,0,30,2,1,163,329
59028,"Surrey North/Surrey-Nord"," 10","Surrey",62,47,0,0,13,0,0,22,2,1,147,372
59028,"Surrey North/Surrey-Nord"," 11","Surrey",74,75,1,2,15,0,0,47,4,0,218,447
59028,"Surrey North/Surrey-Nord"," 12","Surrey",67,97,1,2,17,7,0,25,5,0,221,424
59028,"Surrey North/Surrey-Nord"," 13","Surrey",93,58,1,0,6,0,0,20,2,1,181,405
59028,"Surrey North/Surrey-Nord"," 14","Surrey",86,77,0,3,24,2,1,26,1,1,221,551
59028,"Surrey North/Surrey-Nord"," 15","Surrey",58,101,0,3,15,2,2,28,4,0,213,522
59028,"Surrey North/Surrey-Nord"," 16","Surrey",61,53,0,3,17,1,0,15,2,0,152,319
59028,"Surrey North/Surrey-Nord"," 17","Surrey",72,71,1,0,18,2,1,28,5,0,198,564
59028,"Surrey North/Surrey-Nord"," 18","Surrey",66,39,5,4,21,3,1,26,1,2,168,451
59028,"Surrey North/Surrey-Nord"," 19","Surrey",76,104,0,0,18,2,0,23,9,0,232,339
59028,"Surrey North/Surrey-Nord"," 20","Surrey",87,61,0,4,14,1,1,16,11,1,196,390
59028,"Surrey North/Surrey-Nord"," 21","Surrey",59,65,0,2,8,0,0,26,4,0,164,314
59028,"Surrey North/Surrey-Nord"," 22","Surrey",69,86,0,2,11,1,0,28,7,4,208,384
59028,"Surrey North/Surrey-Nord"," 23","Surrey",69,110,0,0,20,4,1,15,2,1,222,425
59028,"Surrey North/Surrey-Nord"," 24","Surrey",101,107,1,2,23,1,1,37,3,2,278,532
59028,"Surrey North/Surrey-Nord"," 25","Surrey",69,131,1,3,10,1,0,24,4,1,244,517
59028,"Surrey North/Surrey-Nord"," 26","Surrey",76,102,0,2,9,3,1,9,1,0,203,381
59028,"Surrey North/Surrey-Nord"," 27","Surrey",76,96,1,1,17,3,2,28,2,2,228,392
59028,"Surrey North/Surrey-Nord"," 28","Surrey",65,90,0,0,8,0,0,29,1,2,195,369
59028,"Surrey North/Surrey-Nord"," 29","Surrey",62,113,1,1,11,2,0,26,1,2,219,400
59028,"Surrey North/Surrey-Nord"," 30","Surrey",52,73,0,1,15,0,0,15,2,3,161,294
59028,"Surrey North/Surrey-Nord"," 31","Surrey",93,72,2,1,17,0,0,23,5,2,215,553
59028,"Surrey North/Surrey-Nord"," 32","Surrey",76,95,1,2,15,2,2,19,2,1,215,457
59028,"Surrey North/Surrey-Nord"," 33","Surrey",53,52,0,1,15,0,0,16,3,2,142,346
59028,"Surrey North/Surrey-Nord"," 34","Surrey",51,60,0,4,11,0,2,18,4,1,151,318
59028,"Surrey North/Surrey-Nord"," 35","Surrey",66,111,1,3,12,2,0,18,7,2,222,406
59028,"Surrey North/Surrey-Nord"," 36","Surrey",68,95,1,3,12,1,0,22,2,2,206,369
59028,"Surrey North/Surrey-Nord"," 37","Surrey",80,91,0,0,11,3,1,7,0,0,193,394
59028,"Surrey North/Surrey-Nord"," 38","Surrey",83,145,2,4,18,2,0,26,5,6,291,501
59028,"Surrey North/Surrey-Nord"," 39","Surrey",75,111,1,1,13,3,0,21,3,4,232,415
59028,"Surrey North/Surrey-Nord"," 40","Surrey",82,124,1,1,13,1,1,24,8,0,255,444
59028,"Surrey North/Surrey-Nord"," 41","Surrey",Void/Supprimé,,,,,,,,,,,
59028,"Surrey North/Surrey-Nord"," 42","Surrey",66,113,0,2,12,3,0,31,2,2,231,510
59028,"Surrey North/Surrey-Nord"," 43","Surrey",41,101,2,1,8,2,0,13,0,1,169,455
59028,"Surrey North/Surrey-Nord"," 44","Surrey",73,80,0,2,14,0,1,24,5,1,200,384
59028,"Surrey North/Surrey-Nord"," 45","Surrey",79,75,0,1,18,1,1,16,6,0,197,404
59028,"Surrey North/Surrey-Nord"," 46","Surrey",76,73,0,1,4,2,0,14,6,3,179,419
59028,"Surrey North/Surrey-Nord"," 47","Surrey",89,89,0,2,11,1,0,9,1,3,205,464
59028,"Surrey North/Surrey-Nord"," 48","Surrey",77,61,2,3,9,4,2,24,13,1,196,418
