Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brigitte Sansoucy,Jacques Tétreault,Ève-Mary Thaï Thi Lac,Denise Tremblay,René Vincelette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 1A","Saint-Louis",21,6,84,23,23,6,163,291
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 1B","Saint-Louis",23,2,95,14,26,2,162,303
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 2","Saint-Marcel-de-Richelieu",29,7,112,31,53,2,234,401
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 3","Saint-Hugues",24,4,55,14,18,3,118,240
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 4","Saint-Hugues",26,9,121,30,33,5,224,371
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 5","Saint-Hugues",52,10,124,40,74,3,303,463
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 6","Saint-Bernard-de-Michaudville",22,10,171,29,46,2,280,436
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 7","Saint-Jude",30,6,164,30,32,2,264,443
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 8","Saint-Jude",32,13,135,25,36,9,250,436
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 9","Saint-Barnabé-Sud",25,10,104,28,49,5,221,344
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 10","Saint-Barnabé-Sud",29,4,96,26,42,3,200,305
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 11","Sainte-Hélène-de-Bagot",30,4,100,16,48,6,204,437
