Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Huguette Allen,Alice Brown,Gordie Campbell,Janna Francis,Colin Mayes,Darren Seymour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 97B","Head of the Lake",25,46,0,32,76,1,0,180,324
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 98","Desert Cove",32,69,0,38,225,2,1,367,571
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 99","Goose Lake",19,27,1,14,57,1,0,119,260
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 99-1","Goose Lake",29,47,2,17,76,6,0,177,362
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 100A","Swan Lake",18,33,2,10,87,1,0,151,276
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 100B","Swan Lake",27,24,1,10,80,1,0,143,289
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 101","Cools",29,49,1,18,104,1,0,202,351
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 102","Swan Lake",26,35,1,19,99,1,1,182,323
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 103","Vernon",36,38,1,17,106,1,1,200,344
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 104","Vernon",38,27,0,21,74,0,0,160,286
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 105","Vernon",47,40,1,20,117,1,0,226,387
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 106","Vernon",28,28,1,46,145,0,0,248,441
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 106-1","Vernon",32,22,2,20,126,0,0,202,356
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 107","Kedleston",74,36,2,16,123,5,0,256,485
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 108","Silver Star",48,37,4,18,97,1,0,205,392
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 108-1","Silver Star",34,18,0,9,53,1,0,115,226
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 109","Vernon",46,32,1,12,121,2,0,214,443
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 110","Vernon",63,44,2,36,125,0,0,270,473
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 111","Vernon",44,48,1,20,116,2,0,231,421
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 112","Vernon",37,23,2,20,91,1,0,174,303
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 113","Vernon",28,27,2,24,115,3,1,200,306
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 114","Vernon",36,22,1,33,124,1,0,217,400
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 114-1","Vernon",28,16,3,18,75,3,1,144,248
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 115A","Vernon",27,31,2,9,81,1,0,151,266
