Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adele Boucher Rymhs,Liliane Maisonneuve,Edwin Siggelkow,Mélanie Simard,Jennifer Villebrun,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,Peace River/Peace River, 197-1,Grande Prairie,28,20,0,0,19,152,2,221,779
48022,Peace River/Peace River,198,Grande Prairie,11,6,3,0,6,36,0,62,357
48022,Peace River/Peace River,199,Grande Prairie,27,9,0,1,16,87,1,141,415
48022,Peace River/Peace River,200,Grande Prairie,12,1,1,0,5,38,0,57,147
48022,Peace River/Peace River,201,Grande Prairie,13,2,1,0,9,66,0,91,272
48022,Peace River/Peace River,202,Grande Prairie,19,8,1,1,11,93,0,133,371
48022,Peace River/Peace River,203,Grande Prairie,24,7,1,1,12,99,1,145,387
48022,Peace River/Peace River,204,Grande Prairie,15,13,1,0,6,100,0,135,399
48022,Peace River/Peace River,205,Grande Prairie,21,6,2,0,10,66,0,105,336
48022,Peace River/Peace River,206,Grande Prairie,17,7,0,0,17,76,0,117,322
48022,Peace River/Peace River,207,Grande Prairie,18,4,0,3,15,82,0,122,247
48022,Peace River/Peace River,208,Grande Prairie,25,22,0,1,24,170,0,242,516
48022,Peace River/Peace River,209,Grande Prairie,34,25,0,3,21,189,1,273,604
48022,Peace River/Peace River,210,Grande Prairie,31,10,0,0,27,176,1,245,500
48022,Peace River/Peace River,211,Clairmont,15,16,1,0,11,200,1,244,424
48022,Peace River/Peace River,212,Clairmont,17,4,0,0,7,71,0,99,295
48022,Peace River/Peace River,213,Clairmont,29,3,1,0,13,95,0,141,496
48022,Peace River/Peace River, 213-1,Clairmont,35,10,3,0,14,157,1,220,499
48022,Peace River/Peace River, 213-2,Clairmont,Merged with No. 213-1/Fusionné avec le nº 213-1,,,,,,,,217
48022,Peace River/Peace River,214,Kleskun Hill,13,3,1,0,12,122,1,152,309
48022,Peace River/Peace River,215,Bezanson,23,3,2,5,16,195,1,245,486
48022,Peace River/Peace River,216,Grovedale,22,16,5,0,22,182,0,247,478
48022,Peace River/Peace River,217,Grande Prairie,29,21,1,0,8,163,1,223,411
48022,Peace River/Peace River,218,Grande Prairie,29,13,4,2,22,276,0,346,622
48022,Peace River/Peace River, 218-1,Grande Prairie County No. 1,Merged with No. 218/Fusionné avec le nº 218,,,,,,,,115
48022,Peace River/Peace River,219,Grande Prairie,18,10,2,1,16,100,0,147,505
48022,Peace River/Peace River,220,Grande Prairie County No. 1,17,27,2,2,23,242,0,313,575
48022,Peace River/Peace River,221,Grande Prairie,13,7,1,2,13,114,3,153,488
48022,Peace River/Peace River,222,Wapiti,9,3,8,2,15,132,0,169,307
48022,Peace River/Peace River,223,Goodwin,6,2,0,0,5,64,0,77,125
48022,Peace River/Peace River,224,DeBolt,14,2,1,0,20,116,1,154,322
48022,Peace River/Peace River,225,Crooked Creek,9,5,3,0,7,67,0,91,392
48022,Peace River/Peace River,226,Puskwaskau River,17,6,0,0,10,47,0,80,175
48022,Peace River/Peace River,227,Sturgeon Heights,6,2,0,0,6,56,0,70,172
48022,Peace River/Peace River,228,New Fish Creek,8,3,4,0,6,125,1,147,257
48022,Peace River/Peace River,229,Sturgeon Lake 154,35,19,1,3,10,22,4,94,357
48022,Peace River/Peace River,230,Sturgeon Lake 154,18,18,0,2,2,19,0,59,216
48022,Peace River/Peace River,231,Valleyview,12,4,4,0,13,188,0,221,440
48022,Peace River/Peace River,232,Valleyview,23,6,2,1,12,99,0,143,319
48022,Peace River/Peace River,233,Valleyview,16,5,1,0,8,61,0,91,276
48022,Peace River/Peace River,234,Valleyview,9,7,1,1,9,57,1,85,247
48022,Peace River/Peace River,235,Valleyview,23,8,2,1,10,103,0,147,549
48022,Peace River/Peace River, 235-1,Valleyview,9,3,1,2,16,48,0,79,144
48022,Peace River/Peace River,236,Sweethouse Creek,34,4,1,0,12,202,0,253,507
48022,Peace River/Peace River,237,Sunset House,4,2,2,0,6,49,0,63,129
48022,Peace River/Peace River,238,Little Smoky,10,3,3,0,20,170,0,206,409
48022,Peace River/Peace River,500,Mobile poll/Bureau itinérant,8,1,7,0,2,53,0,71,108
48022,Peace River/Peace River,501,Mobile poll/Bureau itinérant,11,4,1,1,4,42,2,65,94
48022,Peace River/Peace River,502,Mobile poll/Bureau itinérant,11,6,1,1,5,35,0,59,131
48022,Peace River/Peace River,503,Mobile poll/Bureau itinérant,10,5,1,0,1,45,2,64,68
48022,Peace River/Peace River,504,Mobile poll/Bureau itinérant,17,31,1,2,2,77,1,131,160
48022,Peace River/Peace River,505,Mobile poll/Bureau itinérant,14,16,1,2,5,113,0,151,211
48022,Peace River/Peace River,506,Mobile poll/Bureau itinérant,7,9,5,2,2,43,4,72,127
48022,Peace River/Peace River,507,Mobile poll/Bureau itinérant,19,12,0,2,3,107,0,143,233
48022,Peace River/Peace River,600,Rainbow Lake,5,0,1,0,0,13,0,19,
48022,Peace River/Peace River,601,MacKenzie No. 23--High Level,9,3,2,0,4,62,0,80,
48022,Peace River/Peace River,602,MacKenzie No. 23--Fort Vermilion,4,0,0,0,6,29,0,39,
48022,Peace River/Peace River,603,Manning,3,9,0,0,2,48,0,62,
48022,Peace River/Peace River,604,Worsley,8,1,0,0,0,31,0,40,
48022,Peace River/Peace River,605,Fairview,34,12,5,2,10,204,1,268,
48022,Peace River/Peace River,606,Grimshaw,26,16,0,0,8,118,0,168,
48022,Peace River/Peace River,607,Peace River,50,32,2,1,25,147,0,257,
48022,Peace River/Peace River,608,Falher,24,13,0,1,9,127,2,176,
48022,Peace River/Peace River,609,Spirit River,9,6,0,1,5,81,0,102,
48022,Peace River/Peace River,610,Beaverlodge,18,8,0,1,15,188,0,230,
48022,Peace River/Peace River,611,Sexsmith,17,3,0,0,11,168,0,199,
48022,Peace River/Peace River,612,Grande Prairie--Dimsdale,59,30,1,0,25,341,0,456,
48022,Peace River/Peace River,613,Grande Prairie,39,36,2,0,30,346,2,455,
48022,Peace River/Peace River,614,Grande Prairie--Wapiti,44,30,3,0,19,202,1,299,
48022,Peace River/Peace River,615,Clairmont,11,6,0,0,5,48,0,70,
48022,Peace River/Peace River,616,Greenview No. 16--DeBolt,0,1,1,0,4,29,0,35,
48022,Peace River/Peace River,617,Valleyview,10,5,0,0,11,156,0,182,
48022,Peace River/Peace River,,Group 1/Groupe 1,18,25,2,5,16,39,5,110,164
48022,Peace River/Peace River,,Group 2/Groupe 2,41,45,7,4,48,408,7,560,

